T_MeV,mu_low_MeV,mu_high_MeV,xi
50.0,368.74434299999996,377.5980015,0.4
60.0,366.077037,375.10004000000004,0.4
70.0,363.2314365,370.28434649999997,0.4
80.0,359.7846915,365.669237,0.4
90.0,355.29983500000003,359.2358125,0.4
100.0,349.32564449999995,351.0491445,0.4
110.0,341.265302,341.5029975,0.4
112.5,338.8212625,338.83784049999997,0.4
112.8125,338.495176,338.509824,0.4
112.96875,338.33232699999996,338.3333225,0.4
113.046875,338.2493395,338.2498845,0.4
113.0859375,338.2076905,338.208478,0.4
113.10546875,338.1868475,338.1877565,0.4
113.115234375,338.1764215,338.1773915,0.4
