process,s,sigma
uubar_to_ddbar,10.0,1.0515208697778178
uubar_to_ddbar,10.416666666666666,1.075372002172756
uubar_to_ddbar,10.833333333333334,1.1015155820454547
uubar_to_ddbar,11.25,1.1297289016197314
uubar_to_ddbar,11.666666666666666,1.1598172982809092
uubar_to_ddbar,12.083333333333334,1.1916098007768132
uubar_to_ddbar,12.5,1.2249555758753103
uubar_to_ddbar,12.916666666666666,1.259721006429629
uubar_to_ddbar,13.333333333333334,1.2957872718744659
uubar_to_ddbar,13.75,1.3330483317745052
uubar_to_ddbar,14.166666666666666,1.3714092351484461
uubar_to_ddbar,14.583333333333334,1.410784694963296
uubar_to_ddbar,15.0,1.4510978798885497
uubar_to_ddbar,15.416666666666666,1.4922793851524172
uubar_to_ddbar,15.833333333333334,1.534266351896698
uubar_to_ddbar,16.25,1.5770017103243297
uubar_to_ddbar,16.666666666666668,1.6204335265710739
uubar_to_ddbar,17.083333333333332,1.6645144369048512
uubar_to_ddbar,17.5,1.709201155782677
uubar_to_ddbar,17.916666666666668,1.7544540466416643
uubar_to_ddbar,18.333333333333332,1.8002367461931648
uubar_to_ddbar,18.75,1.8465158345239312
uubar_to_ddbar,19.166666666666668,1.8932605445593493
uubar_to_ddbar,19.583333333333332,1.9404425054688919
uubar_to_ddbar,20.0,1.9880355154376699
