# schema: xs_vs_s_by_process_v1
# T_MeV: 150.0
# muB_MeV: 800.0
# xi: 0.0
# n_points: 64
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 60.0
# n_threshold: 240
# sqrt_tail_max_mev: 0.0
# n_tail: 0
process,T_MeV,muB_MeV,xi,i,j,c,d,mi_fm,mj_fm,mc_fm,md_fm,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,sigma,inv_sigma2
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,0.00926709420588062,11644.285473857006
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0010471098974848638,6.839288596339046,516.0502327465684,0.009267288554260565,11643.797084124772
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0010964391374107632,6.839289903874253,516.0502820758084,0.009267282826856856,11643.811476422594
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.001148092272772577,6.839291273007442,516.0503337289437,0.009267459245516575,11643.36816914534
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0012021787820460587,6.8392927066405065,516.050387815453,0.009267037242874967,11644.428625442666
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0012588133012267268,6.839294207812038,516.0504444499721,0.009267247343164064,11643.90064340067
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.001318115866800101,6.8392957797037806,516.0505037525377,0.009267203473166062,11644.010885742608
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0013802121701582278,6.839297425647376,516.0505658488411,0.00926784295555512,11642.404064599259
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0014452338240017433,6.8392991491314215,516.050630870495,0.009268312483181695,11641.224498870368
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.001513318641292125,6.839300953808853,516.0506989553122,0.00926814013811402,11641.657450087821
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0015846109273453303,6.839302843504709,516.0507702475983,0.009268779969711148,11640.050238953485
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.001659261785685964,6.839304822224221,516.0508448984566,0.009268366391204989,11641.089080491352
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0017374294383101837,6.839306894161317,516.0509230661092,0.009268548012836629,11640.632859543943
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0018192795610361611,6.83930906370749,516.0510049162319,0.009268748242766762,11640.129926921907
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0019049856346528846,6.839311335461132,516.0510906223055,0.009268967447805448,11639.579370460517
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0019947293126115206,6.839313714237261,516.0511803659836,0.009269298354213966,11638.748338270321
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.002088700806038702,6.839316205077727,516.0512743374769,0.009269662559937724,11637.833781680705
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.00218709928688774,6.839318813261925,516.0513727359578,0.009269837794294262,11637.393789291658
us_to_us,150.0,800.0,0.0,u,s,u,s,0.41367824983643864,2.201519800286813,0.41367824983643864,2.201519800286813,6.839260841368458,516.0491856366709,0.0022901333100822405,6.8393215443179445,516.051475769981,0.009269731615390969,11637.660388765682
