xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable
-0.5,0.0,180.98434538971102,0.0,peak,true,19.100015671874853,phi_u
-0.5,30.0,180.26733532647873,0.5464719271073907,peak,true,19.353671779309696,phi_u
-0.5,60.0,178.09160998104775,1.0601162699235152,peak,true,20.20203636139384,phi_u
-0.5,90.0,174.44808069675045,1.5095497273705576,peak,true,21.978341054063453,phi_u
-0.5,120.0,169.30442109505208,1.8654407243939335,peak,true,25.608932339895468,phi_u
-0.5,150.0,162.6359360202185,2.1060886987909653,peak,true,34.22185944635094,phi_u
-0.5,180.0,154.38414650411377,2.2214438711926734,peak,true,67.79755588866273,phi_u
-0.5,210.0,144.36744185339668,1.7095644448651408,peak,true,95.44564739029168,phi_u
-0.5,240.0,132.51208065432996,0.9088078899510486,peak,true,14.620264385502113,phi_u
-0.5,270.0,117.32410637844616,0.47192910076172234,peak,true,4.519908841741565,phi_u
-0.5,300.0,94.34128418754509,0.18147813252746942,peak,true,1.2967452833220943,phi_u
-0.5,330.0,105.8842717452645,4.357870335088857,peak,true,0.2133587794896855,phi_u
-0.5,360.0,109.80930572624142,5.957570052525185,peak,true,0.11188653471718481,phi_u
-0.5,390.0,109.17692722074625,7.74752160673886,peak,true,0.06790458828115328,phi_u
-0.5,420.0,94.37652543381392,8.657266600049175,peak,true,0.042882680324273476,phi_u
-0.5,450.0,143.59812661096197,18.083128885428344,peak,true,0.027129397241813024,phi_u
-0.45,0.0,183.4401179979545,0.0,peak,true,17.05923694744785,phi_u
-0.45,30.0,182.7245653685893,0.5451029757793525,peak,true,17.246844241984764,phi_u
-0.45,60.0,180.57353517889248,1.0587267876087283,peak,true,17.869010366929107,phi_u
-0.45,90.0,176.95615848419635,1.5093697014435168,peak,true,19.14573430758703,phi_u
-0.45,120.0,171.85863027276685,1.8695356890073185,peak,true,21.64911490249707,phi_u
-0.45,150.0,165.23773402206916,2.1143233205718923,peak,true,27.064202995426772,phi_u
-0.45,180.0,157.07057606370157,2.2341727290215943,peak,true,42.90365804161208,phi_u
-0.45,210.0,147.20787208285748,2.234713751432516,peak,true,274.2719243131955,phi_u
-0.45,240.0,135.42333742979383,1.113447701776961,peak,true,22.991107543161892,phi_u
-0.45,270.0,120.70756720059859,0.575532014281744,peak,true,6.094652706342556,phi_u
-0.45,300.0,99.11880753482671,0.24025717764211915,peak,true,1.7645689839643195,phi_u
