xi,T_MeV,mu_transition_MeV,rho_hadron,rho_quark,curve_parameter,plot_order_key
-0.3,30.0,344.1009269631352,0.047016397548640336,2.7849076618278064,30.0,30.0
-0.3,35.0,343.35513786963475,0.04757066762085785,2.7524447844748794,35.0,35.0
-0.3,40.0,342.4720537421001,0.048131001695250065,2.7255956356017457,40.0,40.0
-0.3,45.0,341.43136638071473,0.04861069899782419,2.7043728839392016,45.0,45.0
-0.3,50.0,340.2096017451678,0.04917032378068868,2.6879308449114774,50.0,50.0
-0.3,55.0,338.78084001364914,0.04976147454217225,2.6758804313197952,55.0,55.0
-0.3,60.0,337.12197231443986,0.06227318060583382,2.6678591360614465,60.0,60.0
-0.3,65.0,335.22245942920125,0.07999171938981624,2.6639543272210267,65.0,65.0
-0.3,70.0,333.04479940415445,0.09575626684703113,2.6637034793803798,70.0,70.0
-0.3,75.0,330.5507434406127,0.11944854064018351,2.6668015766423556,75.0,75.0
-0.3,80.0,327.70619836329297,0.14434434635030158,2.673213421238609,80.0,80.0
-0.3,85.0,324.46308384016953,0.1768396072850228,2.682640716747761,85.0,85.0
-0.3,90.0,320.7752418962975,0.21317517884124426,2.6949166487898046,90.0,90.0
-0.3,95.0,316.59059976319395,0.2568953174826605,2.709533262690511,95.0,95.0
-0.3,100.0,311.85286883292196,0.3103682248211756,2.7258314475726833,100.0,100.0
-0.3,105.0,306.50310336455095,0.374965277040622,2.7429415685900196,105.0,105.0
-0.3,110.0,300.4794918114373,0.45139888094018943,2.7589715447485466,110.0,110.0
-0.3,115.0,293.71962569785796,0.5469970990999742,2.7713288649632517,115.0,115.0
-0.3,120.0,286.1617493639602,0.6668840103657214,2.7763033986106027,120.0,120.0
-0.3,125.0,277.7501648063421,0.820133780574611,2.767666942385781,125.0,125.0
-0.3,130.0,268.4441932686783,1.0267550464818849,2.734319024519637,130.0,130.0
-0.3,135.0,258.2385683959115,1.3277524700553713,2.6522531030031185,135.0,135.0
-0.3,140.0,247.1986729391508,1.870331712328899,2.3961046872237004,140.0,140.0
0.0,35.0,359.6017286367059,0.04957682288645085,2.762861285122646,35.0,35.0
0.0,40.0,358.68514397153615,0.04999346409380328,2.6912249022657173,40.0,40.0
0.0,45.0,357.6408821338721,0.06854402069695528,2.634634634802787,45.0,45.0
0.0,50.0,356.46420978050423,0.08477826673046687,2.5914334542623525,50.0,50.0
0.0,55.0,355.1317877632205,0.09900075257697383,2.558993808120822,55.0,55.0
0.0,60.0,353.6220418795009,0.12305815677750048,2.5355318098638553,60.0,60.0
0.0,65.0,351.91042875297194,0.14520833110295428,2.519673990540556,65.0,65.0
0.0,70.0,349.9642972647689,0.17433765616370334,2.5101236960696798,70.0,70.0
0.0,75.0,347.7519902204531,0.20433347712912328,2.5057061039472486,75.0,75.0
0.0,80.0,345.23663510488046,0.24195016195187125,2.5054733398817786,80.0,80.0
0.0,85.0,342.3771382488633,0.28541179604691547,2.5086000293975044,85.0,85.0
0.0,90.0,339.13005398899816,0.33570186338714814,2.514332041652243,90.0,90.0
0.0,95.0,335.44746185534694,0.39450684119266166,2.5217865379955753,95.0,95.0
0.0,100.0,331.2778390772155,0.4662125078482251,2.529769731921949,100.0,100.0
0.0,105.0,326.56654364479783,0.5508824091469788,2.536417517605901,105.0,105.0
0.0,110.0,321.2559057748856,0.6567087088802596,2.5384955556227564,110.0,110.0
0.0,115.0,315.2878479380847,0.7894522156739254,2.5303761110110923,115.0,115.0
0.0,120.0,308.60603548607224,0.9630266314524866,2.503067586504368,120.0,120.0
0.0,125.0,301.16381259460917,1.2084883869804768,2.428697882635297,125.0,125.0
0.0,130.0,292.93733808344933,1.6525719760622029,2.1980098892615074,130.0,130.0
0.3,35.0,371.5942095074103,0.10289108701779927,2.4876830471174016,35.0,35.0
0.3,40.0,370.7441885799027,0.12429614129691677,2.441135073477863,40.0,40.0
0.3,45.0,369.7857782801405,0.14355624977124762,2.4034090513936612,45.0,45.0
0.3,50.0,368.7069457691749,0.1679494219949066,2.3729609892782317,50.0,50.0
0.3,55.0,367.49403442057735,0.19341974569508352,2.3508994477860488,55.0,55.0
0.3,60.0,366.1247898234616,0.22441591718229645,2.3331685616078817,60.0,60.0
0.3,65.0,364.5757896518759,0.2570210960902213,2.320467568001883,65.0,65.0
0.3,70.0,362.8196726542727,0.29552547393939665,2.3113725146205786,70.0,70.0
0.3,75.0,360.8251280646184,0.3404386959047882,2.30469841629788,75.0,75.0
0.3,80.0,358.55859111574057,0.3915393198625398,2.2993762155624644,80.0,80.0
0.3,85.0,355.98265405140717,0.45030239324593335,2.293764925088696,85.0,85.0
0.3,90.0,353.0569369809838,0.5223244906863896,2.287059262443818,90.0,90.0
0.3,95.0,349.73669722422954,0.6056643166911206,2.2771994688084174,95.0,95.0
0.3,100.0,345.97398877773344,0.7087871942856784,2.2612913302252826,100.0,100.0
0.3,105.0,341.71700494677356,0.8382788271085528,2.231917465595788,105.0,105.0
0.3,110.0,336.91092051962255,1.0087480577915562,2.176508694045028,110.0,110.0
0.3,115.0,331.5001408973418,1.263551703046033,2.056804459440741,115.0,115.0
