xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.3,30.0,370.9041281196797,326.48522638451095,0.2235331404887443,1.9468601942600958,30.0,30.0
-0.3,35.0,369.2982602832476,325.19696147512053,0.25092123411038975,1.9359219563675314,35.0,35.0
-0.3,40.0,367.5345700226306,323.89507842366277,0.2749635483888385,1.9300669128972947,40.0,40.0
-0.3,45.0,365.52088449065945,322.61946739037404,0.30419253557442644,1.9306859420839004,45.0,45.0
-0.3,50.0,363.2659731389208,321.37350199885947,0.33033498325302546,1.9367961041406008,50.0,50.0
-0.3,55.0,360.7649298959684,320.1308881449192,0.3599466349843448,1.9469334042951911,55.0,55.0
-0.3,60.0,357.96936813358565,318.8493420966197,0.39001464258214713,1.9601906918847882,60.0,60.0
-0.3,65.0,354.88638551257003,317.47920136566165,0.421631779202492,1.976352788400571,65.0,65.0
-0.3,70.0,351.465770305936,315.9694654036134,0.4575939737928631,1.9950807767707748,70.0,70.0
-0.3,75.0,347.6889589699021,314.26895034133076,0.49575101764973545,2.0168257725018677,75.0,75.0
-0.3,80.0,343.5213401772616,312.32289831893365,0.5373339236293462,2.041855864722202,80.0,80.0
-0.3,85.0,338.92350145247696,310.0798607025341,0.5834394231104065,2.0704662280250754,85.0,85.0
-0.3,90.0,333.85261899494066,307.48020695946474,0.6350262065472349,2.102709690151961,90.0,90.0
-0.3,95.0,328.26308190633785,304.4661355470903,0.6929030064964533,2.1390987441926277,95.0,95.0
-0.3,100.0,322.1064994567664,300.97467844732046,0.7577241211130546,2.1793805166535942,100.0,100.0
-0.3,105.0,315.3293470153824,296.94093976167653,0.8306394162115069,2.222927835104127,105.0,105.0
-0.3,110.0,307.8838855342941,292.2924038723572,0.9143758288621732,2.268684750212676,110.0,110.0
-0.3,115.0,299.71268670489957,286.95928440858506,1.0104152063662197,2.3150422775358686,115.0,115.0
-0.3,120.0,290.7674767765382,280.8685963218501,1.121851679386519,2.358979973152402,120.0,120.0
-0.3,125.0,281.0084993377357,273.9447976471968,1.2555371748920054,2.3958528130870294,125.0,125.0
-0.3,130.0,270.4285342626683,266.106850452776,1.4202932657494303,2.4180287741608657,130.0,130.0
-0.3,135.0,259.0922016719344,257.2427994795154,1.6384400533600234,2.4071718471589767,135.0,135.0
-0.3,140.0,247.25234916126536,247.14018809924983,1.9881918068366466,2.2895652974765333,140.0,140.0
0.0,35.0,374.2843885112385,350.2672677855661,0.30518114695014675,1.3547487873199722,35.0,35.0
0.0,40.0,373.0410792080953,351.1026882909216,0.34642278525040876,1.3976366979284576,40.0,40.0
0.0,45.0,371.58974983856734,348.4473235065502,0.37750522825809385,2.0543496297949915,45.0,45.0
0.0,50.0,369.89323288525765,346.9365699771023,0.4076561909076146,2.006415168807252,50.0,50.0
0.0,55.0,367.9329158583763,345.36815053558337,0.4357581145424353,1.976393919355542,55.0,55.0
0.0,60.0,365.72536716288755,343.8037551347138,0.46641885796384064,1.9634497608397437,60.0,60.0
0.0,65.0,363.24593648501974,342.22978042501535,0.5004744882457967,1.9639490562120983,65.0,65.0
0.0,70.0,360.4857489594854,340.59985900118033,0.5370411560965965,1.9725007079658157,70.0,70.0
0.0,75.0,357.4206885599634,338.8500619756362,0.5772187958444333,1.985625538001941,75.0,75.0
0.0,80.0,354.0239411660504,336.91991847433576,0.6224655951108441,2.0027447009629875,80.0,80.0
0.0,85.0,350.2533842868577,334.7437059950095,0.6726924846435,2.023978629018065,85.0,85.0
0.0,90.0,346.0724881109524,332.25665491623846,0.7289709782496165,2.0472447072380593,90.0,90.0
0.0,95.0,341.4455364886435,329.39907036998676,0.7928062333896997,2.0743889233905097,95.0,95.0
0.0,100.0,336.3252645437899,326.1021527949628,0.8644589595590726,2.1025227223634575,100.0,100.0
0.0,105.0,330.6632064848657,322.29974254881245,0.9470934306899331,2.132762870874502,105.0,105.0
0.0,110.0,324.4147470079382,317.9220958870703,1.042788747633216,2.1617540425903305,110.0,110.0
0.0,115.0,317.5352623082442,312.8889126722369,1.156280181649544,2.186849598442451,115.0,115.0
0.0,120.0,309.9895881202588,307.1191048753196,1.2952349183669467,2.2009015735388626,120.0,120.0
0.0,125.0,301.77449311635854,300.50799029368,1.47622971442942,2.189430690308933,125.0,125.0
0.0,130.0,292.9859516956806,292.88640185598723,1.771799335590536,2.0849015004007834,130.0,130.0
0.3,35.0,379.4181846728755,364.5128352895756,0.5806851677527867,1.319289203712748,35.0,35.0
0.3,40.0,378.27511780020035,365.20313764782935,0.5278486174058852,1.3453369087585876,40.0,40.0
0.3,45.0,377.1017432833679,365.2146121469459,0.5063197200198856,1.4048123996396846,45.0,45.0
0.3,50.0,375.72472658497674,364.4874711398055,0.5154953967264115,1.5817204301063792,50.0,50.0
0.3,55.0,374.1239883972832,362.8592456744469,0.5363681284743729,1.844991921523353,55.0,55.0
0.3,60.0,372.3066627958845,361.3989882625723,0.5647048938962281,1.840469857430455,60.0,60.0
0.3,65.0,370.25896482538667,359.9295321559279,0.5992506918328202,1.8481539218903846,65.0,65.0
0.3,70.0,367.9692643098109,358.38999393421443,0.638701221104611,1.8595223563167722,70.0,70.0
0.3,75.0,365.4156820136035,356.71942393412013,0.6835866141039434,1.872704986954521,75.0,75.0
0.3,80.0,362.57102091358786,354.85783284476116,0.7345607373164418,1.8860288051697998,80.0,80.0
0.3,85.0,359.40431710972183,352.74979289981025,0.7923207683481256,1.9000782530017473,85.0,85.0
0.3,90.0,355.8815490507077,350.33562260547455,0.8575676656642137,1.9147078281532453,90.0,90.0
0.3,95.0,351.9643871542042,347.5534974401713,0.9319343539179965,1.9286159516056551,95.0,95.0
0.3,100.0,347.6185219948666,344.34121792844394,1.0190588974736412,1.9392865107684385,100.0,100.0
0.3,105.0,342.80363936743225,340.62632856894055,1.1228254762038594,1.9442982625669187,105.0,105.0
0.3,110.0,337.48863462340506,336.32630160421405,1.253168135485238,1.9361366920571317,110.0,110.0
0.3,115.0,331.6624531450185,331.33524765370225,1.4314514574801367,1.8912418181078905,115.0,115.0
