T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,pressure_fm4,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,4.000000,0.000000,418.183357,418.183357,418.183357,418.183357,22.106967,0.523485,-17.905381,-0.076869,-0.076869,-2.056873,0.078929,0.103330,20.361454,20.361454,460.578588,5,0.000000,true,
50.000000,3.950000,0.000000,416.565355,416.565355,416.565355,416.565355,22.091323,0.508099,-17.960044,-0.078900,-0.078900,-2.057898,0.077377,0.101749,20.755577,20.755577,460.743770,3,0.000000,true,
50.000000,3.900000,0.000000,414.876304,414.876304,414.876304,414.876304,22.075197,0.492436,-18.014576,-0.081018,-0.081018,-2.058891,0.075806,0.100093,21.166664,21.166664,460.904321,3,0.000000,true,
50.000000,3.850000,0.000000,413.107983,413.107983,413.107983,413.107983,22.058530,0.476557,-18.068952,-0.083231,-0.083231,-2.059851,0.074226,0.098360,21.596060,21.596060,461.060288,3,0.000000,true,
50.000000,3.800000,0.000000,411.251396,411.251396,411.251396,411.251396,22.041257,0.460548,-18.123141,-0.085547,-0.085547,-2.060779,0.072643,0.096550,22.045318,22.045318,461.211659,3,0.000000,true,
50.000000,3.750000,0.000000,409.296962,409.296962,409.296962,409.296962,22.023311,0.444521,-18.177103,-0.087974,-0.087974,-2.061672,0.071071,0.094667,22.516248,22.516248,461.358359,3,0.000000,true,
50.000000,3.700000,0.000000,407.234930,407.234930,407.234930,407.234930,22.004627,0.428625,-18.230788,-0.090524,-0.090524,-2.062531,0.069525,0.092716,23.010984,23.010984,461.500232,3,0.000000,true,
50.000000,3.650000,0.000000,405.056169,405.056169,405.056169,405.056169,21.985152,0.413052,-18.284133,-0.093211,-0.093211,-2.063353,0.068024,0.090709,23.532063,23.532063,461.637038,3,0.000000,true,
50.000000,3.600000,0.000000,402.753513,402.753513,402.753513,402.753513,21.964848,0.398043,-18.337062,-0.096049,-0.096049,-2.064134,0.066593,0.088662,24.082517,24.082517,461.768444,3,0.000000,true,
50.000000,3.550000,0.000000,400.323779,400.323779,400.323779,400.323779,21.943720,0.383895,-18.389485,-0.099058,-0.099058,-2.064873,0.065258,0.086603,24.665963,24.665963,461.894036,3,0.000000,true,
50.000000,3.500000,0.000000,397.770451,397.770451,397.770451,397.770451,21.921828,0.370943,-18.441303,-0.102259,-0.102259,-2.065564,0.064051,0.084566,25.286677,25.286677,462.013363,3,0.000000,true,
50.000000,3.450000,0.000000,395.106522,395.106522,395.106522,395.106522,21.899311,0.359538,-18.492411,-0.105679,-0.105679,-2.066204,0.063001,0.082596,25.949598,25.949598,462.126013,3,0.000000,true,
50.000000,3.400000,0.000000,392.356380,392.356380,392.356380,392.356380,21.876399,0.349993,-18.542718,-0.109345,-0.109345,-2.066791,0.062131,0.080742,26.660240,26.660240,462.231743,3,0.000000,true,
50.000000,3.350000,0.000000,389.555181,389.555181,389.555181,389.555181,21.853402,0.342522,-18.592161,-0.113289,-0.113289,-2.067323,0.061455,0.079054,27.424504,27.424504,462.330625,3,0.000000,true,
50.000000,3.300000,0.000000,386.744796,386.744796,386.744796,386.744796,21.830671,0.337184,-18.640723,-0.117541,-0.117541,-2.067802,0.060967,0.077570,28.248450,28.248450,462.423161,3,0.000000,true,
50.000000,3.250000,0.000000,383.967224,383.967224,383.967224,383.967224,21.808543,0.333864,-18.688433,-0.122133,-0.122133,-2.068232,0.060648,0.076311,29.138148,29.138148,462.510309,3,0.000000,true,
50.000000,3.200000,0.000000,381.258109,381.258109,381.258109,381.258109,21.787290,0.332304,-18.735363,-0.127096,-0.127096,-2.068620,0.060465,0.075278,30.099708,30.099708,462.593403,3,0.000000,true,
50.000000,3.150000,0.000000,378.642856,378.642856,378.642856,378.642856,21.767091,0.332156,-18.781611,-0.132464,-0.132464,-2.068974,0.060382,0.074457,31.139484,31.139484,462.674022,3,0.000000,true,
50.000000,3.100000,0.000000,376.136104,376.136104,376.136104,376.136104,21.748034,0.333054,-18.827282,-0.138271,-0.138271,-2.069301,0.060362,0.073821,32.264378,32.264378,462.753849,3,0.000000,true,
50.000000,3.050000,0.000000,373.743544,373.743544,373.743544,373.743544,21.730137,0.334652,-18.872478,-0.144558,-0.144558,-2.069610,0.060373,0.073341,33.482154,33.482154,462.834598,3,0.000000,true,
50.000000,3.000000,0.000000,371.464628,371.464628,371.464628,371.464628,21.713367,0.336652,-18.917289,-0.151371,-0.151371,-2.069907,0.060388,0.072985,34.801731,34.801731,462.917984,3,0.000000,true,
50.000000,2.950000,0.000000,369.295128,369.295128,369.295128,369.295128,21.697665,0.338809,-18.961789,-0.158763,-0.158763,-2.070200,0.060388,0.072724,36.233427,36.233427,463.005744,3,0.000000,true,
