profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,node,p_num,zeta_num,pz_max_fm_inv,n_max,fixed_residual_norm,fixed_omega_fm4,external_omega_fm4,omega_delta_vs_external,omega_comparable,status
production,50.0,0.0,0.2,5.136378925382266,nmax31,128,256,40.0,31,9.345631167069439e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax47,128,256,40.0,47,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax63,128,256,40.0,63,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax79,128,256,40.0,79,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax95,128,256,40.0,95,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax127,128,256,40.0,127,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax159,128,256,40.0,159,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax255,128,256,40.0,255,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax383,128,256,40.0,383,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,nmax511,128,256,40.0,511,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax31,128,256,40.0,31,0.013715289996414281,-26.60050640132163,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax47,128,256,40.0,47,0.002401476437732466,-26.61241193393238,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax63,128,256,40.0,63,0.00042630331829430004,-26.614491152366682,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax79,128,256,40.0,79,2.765300783485658e-5,-26.614956534696407,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax95,128,256,40.0,95,0.00013474900892953165,-26.615079098103458,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax127,128,256,40.0,127,0.00017997751420535267,-26.615127188614423,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax159,128,256,40.0,159,0.00018528776982533812,-26.615132817853357,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax255,128,256,40.0,255,0.00018624030877667386,-26.61513382714507,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax383,128,256,40.0,383,0.00018624843951885956,-26.615133835756808,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,nmax511,128,256,40.0,511,0.0001862484849177289,-26.615133835804862,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax31,128,256,40.0,31,1.1862681708925174e-5,-24.124433171504563,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax47,128,256,40.0,47,1.4111643550181364e-5,-24.1244405972015,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax63,128,256,40.0,63,1.4211821829007741e-5,-24.124440795560844,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax79,128,256,40.0,79,1.421642888044759e-5,-24.12444080459582,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax95,128,256,40.0,95,1.42167261580339e-5,-24.124440805178104,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax127,128,256,40.0,127,1.421675323299148e-5,-24.12444080523108,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax159,128,256,40.0,159,1.4216753559471071e-5,-24.124440805231682,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax255,128,256,40.0,255,1.4216753564403627e-5,-24.124440805231682,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax383,128,256,40.0,383,1.4216753564403627e-5,-24.124440805231682,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,nmax511,128,256,40.0,511,1.4216753564403627e-5,-24.124440805231682,,,false,ok
