profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,factor_k,n_max_candidate,n_max_reference,mass_u,mass_d,mass_s,fixed_residual_norm,omega_fm4,omega_delta_vs_reference,status
production,50.0,0.0,0.2,5.136378925382266,12.0,2,511,1.9190001773413212,1.8400492183021762,2.72919349059749,9.345635216278912e-5,-21.50572080344341,9.187317573378095e-12,ok
production,50.0,0.0,0.2,5.136378925382266,16.0,4,511,1.9190001773413212,1.8400492183021762,2.72919349059749,9.3456307793836e-5,-21.505720803452174,4.227729277772596e-13,ok
production,50.0,0.0,0.2,5.136378925382266,20.0,7,511,1.9190001773413212,1.8400492183021762,2.72919349059749,9.345631157529467e-5,-21.50572080345259,7.105427357601002e-15,ok
production,50.0,0.0,0.2,5.136378925382266,24.0,10,511,1.9190001773413212,1.8400492183021762,2.72919349059749,9.345631166703121e-5,-21.505720803452597,0.0,ok
production,50.0,0.0,0.2,5.136378925382266,30.0,16,511,1.9190001773413212,1.8400492183021762,2.72919349059749,9.345631167091676e-5,-21.505720803452597,0.0,ok
production,50.0,0.0,0.2,5.136378925382266,36.0,24,511,1.9190001773413212,1.8400492183021762,2.72919349059749,9.34563116709342e-5,-21.505720803452597,0.0,ok
production,240.0,0.0,0.2,5.136378925382266,12.0,63,511,0.10112835364976773,0.09548683948308447,1.6147160628455868,0.00042630331829427635,-26.614491152366682,0.0006426834381798585,ok
production,240.0,0.0,0.2,5.136378925382266,16.0,111,511,0.10112835364976773,0.09548683948308447,1.6147160628455868,0.00016887616381192053,-26.61511541035474,1.8425450122094844e-5,ok
production,240.0,0.0,0.2,5.136378925382266,20.0,173,511,0.10112835364976773,0.09548683948308447,1.6147160628455868,0.00018580163930198362,-26.61513336237898,4.734258816085912e-7,ok
production,240.0,0.0,0.2,5.136378925382266,24.0,249,511,0.10112835364976773,0.09548683948308447,1.6147160628455868,0.00018623777315101574,-26.61513382445925,1.1345612449531473e-8,ok
production,240.0,0.0,0.2,5.136378925382266,30.0,389,511,0.10112835364976773,0.09548683948308447,1.6147160628455868,0.00018624844862826832,-26.61513383576645,3.8411940295191016e-11,ok
production,240.0,0.0,0.2,5.136378925382266,36.0,560,511,0.10112835364976773,0.09548683948308447,1.6147160628455868,0.00018624848535934196,-26.615133835805317,-4.547473508864641e-13,ok
production,240.0,0.0,0.8,20.545515701529062,12.0,16,511,0.07483806372851569,0.06042693522763693,1.0799051834758262,0.0004931056162871336,-24.123894609848527,0.0005461990987001286,ok
production,240.0,0.0,0.8,20.545515701529062,16.0,28,511,0.07483806372851569,0.06042693522763693,1.0799051834758262,1.378621410691476e-5,-24.12442443093574,1.6378011487461208e-5,ok
production,240.0,0.0,0.8,20.545515701529062,20.0,44,511,0.07483806372851569,0.06042693522763693,1.0799051834758262,1.3990968087156967e-5,-24.124440419665667,3.892815598760535e-7,ok
production,240.0,0.0,0.8,20.545515701529062,24.0,63,511,0.07483806372851569,0.06042693522763693,1.0799051834758262,1.4181610893481007e-5,-24.124440799276393,9.670834799635486e-9,ok
production,240.0,0.0,0.8,20.545515701529062,30.0,98,511,0.07483806372851569,0.06042693522763693,1.0799051834758262,1.4186535565996881e-5,-24.12444080891278,3.444711182964966e-11,ok
production,240.0,0.0,0.8,20.545515701529062,36.0,140,511,0.07483806372851569,0.06042693522763693,1.0799051834758262,1.4186553173332023e-5,-24.124440808947142,8.526512829121202e-14,ok
