profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,node,p_num,zeta_num,pz_max_fm_inv,n_max,fixed_residual_norm,fixed_omega_fm4,external_omega_fm4,omega_delta_vs_external,omega_comparable,status
source,50.0,0.0,0.2,5.136221729911374,screening,64,64,25.0,79,8.634078841954698e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,mid,96,128,32.0,79,8.634078841983696e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,matched,128,256,40.0,79,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,landau_probe,128,256,40.0,95,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,240.0,0.0,0.2,5.136221729911374,screening,64,64,25.0,79,1.2729048608321674e-5,-26.613327540307022,-26.613327494039062,-4.6267960129853236e-8,true,ok
source,240.0,0.0,0.2,5.136221729911374,mid,96,128,32.0,79,5.381291655703201e-9,-26.61332749393486,-26.613327494039062,1.0420109219921869e-10,true,ok
source,240.0,0.0,0.2,5.136221729911374,matched,128,256,40.0,79,2.54849663911125e-12,-26.61332749404024,-26.613327494039062,-1.1795009413617663e-12,true,ok
source,240.0,0.0,0.2,5.136221729911374,landau_probe,128,256,40.0,95,0.00011642413393781083,-26.61345004976154,-26.613327494039062,-0.00012255572247710234,true,ok
source,240.0,0.0,0.8,20.544886919645496,screening,64,64,25.0,79,0.0003940727690321863,-24.122780103631186,-24.122964202440905,0.00018409880971859138,true,ok
source,240.0,0.0,0.8,20.544886919645496,mid,96,128,32.0,79,5.783424512156033e-5,-24.12296623180702,-24.122964202440905,-2.0293661151526976e-6,true,ok
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,2.7996871490814536e-12,-24.122964202441963,-24.122964202440905,-1.0587086762825493e-12,true,ok
source,240.0,0.0,0.8,20.544886919645496,landau_probe,128,256,40.0,95,5.328994243475588e-10,-24.12296420302421,-24.122964202440905,-5.83305848067539e-10,true,ok
