profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,node,p_num,zeta_num,pz_max_fm_inv,n_max,fixed_residual_norm,fixed_omega_fm4,external_omega_fm4,omega_delta_vs_external,omega_comparable,status
source,50.0,0.0,0.2,5.136221729911374,p64,64,256,40.0,383,8.634078823108425e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,p96,96,256,40.0,383,8.634078841978425e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,reference,128,256,40.0,383,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,p160,160,256,40.0,383,8.634078841876281e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,pz25,128,256,25.0,383,8.634078842013444e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,pz32,128,256,32.0,383,8.634078841974486e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,pz48,128,256,48.0,383,8.634078842063158e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,zeta64,128,64,40.0,383,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,zeta128,128,128,40.0,383,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,zeta384,128,384,40.0,383,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,zeta512,128,512,40.0,383,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,240.0,0.0,0.2,5.136221729911374,p64,64,256,40.0,383,0.000168417779367024,-26.613505026376874,-26.613327494039062,-0.00017753233781192534,true,ok
source,240.0,0.0,0.2,5.136221729911374,p96,96,256,40.0,383,0.00016841549409430724,-26.613504782656126,-26.613327494039062,-0.00017728861706345356,true,ok
source,240.0,0.0,0.2,5.136221729911374,reference,128,256,40.0,383,0.00016841564897159377,-26.613504783991047,-26.613327494039062,-0.00017728995198496023,true,ok
source,240.0,0.0,0.2,5.136221729911374,p160,160,256,40.0,383,0.00016841564806277707,-26.61350478399614,-26.613327494039062,-0.00017728995707955164,true,ok
source,240.0,0.0,0.2,5.136221729911374,pz25,128,256,25.0,383,0.00016834129053972782,-26.613504705688264,-26.613327494039062,-0.00017721164920203591,true,ok
source,240.0,0.0,0.2,5.136221729911374,pz32,128,256,32.0,383,0.00016841535221555194,-26.61350478368405,-26.613327494039062,-0.0001772896449878658,true,ok
source,240.0,0.0,0.2,5.136221729911374,pz48,128,256,48.0,383,0.00016841565656916475,-26.61350478405764,-26.613327494039062,-0.00017729001857702542,true,ok
source,240.0,0.0,0.2,5.136221729911374,zeta64,128,64,40.0,383,0.00016887613445665443,-26.61350491042786,-26.613327494039062,-0.0001774163887979796,true,ok
source,240.0,0.0,0.2,5.136221729911374,zeta128,128,128,40.0,383,0.00016841565434992165,-26.61350478399683,-26.613327494039062,-0.0001772899577687781,true,ok
source,240.0,0.0,0.2,5.136221729911374,zeta384,128,384,40.0,383,0.00016841564897159518,-26.613504783991043,-26.613327494039062,-0.0001772899519814075,true,ok
source,240.0,0.0,0.2,5.136221729911374,zeta512,128,512,40.0,383,0.00016841564897159512,-26.613504783991047,-26.613327494039062,-0.00017728995198496023,true,ok
source,240.0,0.0,0.8,20.544886919645496,p64,64,256,40.0,383,6.94759312237861e-5,-24.122962408296097,-24.122964202440905,1.794144807831799e-6,true,ok
source,240.0,0.0,0.8,20.544886919645496,p96,96,256,40.0,383,1.2216064670199213e-6,-24.122964209333674,-24.122964202440905,-6.8927690222153615e-9,true,ok
source,240.0,0.0,0.8,20.544886919645496,reference,128,256,40.0,383,5.820835014609492e-10,-24.122964203077785,-24.122964202440905,-6.368807703438506e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,p160,160,256,40.0,383,2.3478056484389127e-8,-24.122964202991277,-24.122964202440905,-5.503721922650584e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,pz25,128,256,25.0,383,7.835114764321672e-8,-24.12296412074712,-24.122964202440905,8.169378418187989e-8,true,ok
source,240.0,0.0,0.8,20.544886919645496,pz32,128,256,32.0,383,2.565880380475474e-8,-24.122964202743354,-24.122964202440905,-3.0244962090364425e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,pz48,128,256,48.0,383,7.419653712618856e-8,-24.12296420099303,-24.122964202440905,1.4478729326583561e-9,true,ok
source,240.0,0.0,0.8,20.544886919645496,zeta64,128,64,40.0,383,0.0003959849248551272,-24.122779905538668,-24.122964202440905,0.00018429690223698003,true,ok
source,240.0,0.0,0.8,20.544886919645496,zeta128,128,128,40.0,383,5.772860402705035e-5,-24.122966239949413,-24.122964202440905,-2.037508508578867e-6,true,ok
source,240.0,0.0,0.8,20.544886919645496,zeta384,128,384,40.0,383,4.5701090324840605e-7,-24.122964206774434,-24.122964202440905,-4.333529091127275e-9,true,ok
source,240.0,0.0,0.8,20.544886919645496,zeta512,128,512,40.0,383,4.580037702338436e-7,-24.122964206790133,-24.122964202440905,-4.3492285328738944e-9,true,ok
