profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,factor_k,n_max_candidate,n_max_reference,mass_u,mass_d,mass_s,fixed_residual_norm,omega_fm4,omega_delta_vs_reference,status
source,50.0,0.0,0.2,5.136221729911374,12.0,2,511,1.9190755430102553,1.8401235805289522,2.729260440522184,1.5516470467227876e-7,-21.504404494515942,9.187317573378095e-12,ok
source,50.0,0.0,0.2,5.136221729911374,16.0,4,511,1.9190755430102553,1.8401235805289522,2.729260440522184,7.152614822820939e-9,-21.504404494524707,4.227729277772596e-13,ok
source,50.0,0.0,0.2,5.136221729911374,20.0,7,511,1.9190755430102553,1.8401235805289522,2.729260440522184,1.625012745064702e-10,-21.50440449452512,1.0658141036401503e-14,ok
source,50.0,0.0,0.2,5.136221729911374,24.0,10,511,1.9190755430102553,1.8401235805289522,2.729260440522184,6.61630948381603e-12,-21.50440449452513,0.0,ok
source,50.0,0.0,0.2,5.136221729911374,30.0,16,511,1.9190755430102553,1.8401235805289522,2.729260440522184,8.639001786829752e-13,-21.50440449452513,0.0,ok
source,50.0,0.0,0.2,5.136221729911374,36.0,24,511,1.9190755430102553,1.8401235805289522,2.729260440522184,8.634078960074807e-13,-21.50440449452513,0.0,ok
source,240.0,0.0,0.2,5.136221729911374,12.0,63,511,0.10113057226726127,0.0954889318117147,1.6147327770637048,0.000442106858133038,-26.61286214096272,0.000642643076378846,ok
source,240.0,0.0,0.2,5.136221729911374,16.0,111,511,0.10113057226726127,0.0954889318117147,1.6147327770637048,0.0001509154187652442,-26.613486359739877,1.8424299220498597e-5,ok
source,240.0,0.0,0.2,5.136221729911374,20.0,173,511,0.10113057226726127,0.0954889318117147,1.6147327770637048,0.00016796609197402047,-26.613504310642682,4.7339641540133925e-7,ok
source,240.0,0.0,0.2,5.136221729911374,24.0,249,511,0.10113057226726127,0.0954889318117147,1.6147327770637048,0.00016840492075099155,-26.61350477269419,1.134490901222307e-8,ok
source,240.0,0.0,0.2,5.136221729911374,30.0,389,511,0.10113057226726127,0.0954889318117147,1.6147327770637048,0.00016841565813093215,-26.61350478400069,3.8408387581512216e-11,ok
source,240.0,0.0,0.2,5.136221729911374,36.0,560,511,0.10113057226726127,0.0954889318117147,1.6147327770637048,0.00016841569506109082,-26.613504784039556,-4.583000645652646e-13,ok
source,240.0,0.0,0.8,20.544886919645496,12.0,16,511,0.07483933691265154,0.06042800401839334,1.0799055303614595,0.0005007885507518615,-24.12241804136155,0.0005461654285845441,ok
source,240.0,0.0,0.8,20.544886919645496,16.0,28,511,0.07483933691265154,0.06042800401839334,1.0799055303614595,1.502226594912093e-5,-24.122947829786735,1.637700339784942e-5,ok
source,240.0,0.0,0.8,20.544886919645496,20.0,44,511,0.07483933691265154,0.06042800401839334,1.0799055303614595,5.801662533345081e-7,-24.1229638175325,3.892576323494268e-7,ok
source,240.0,0.0,0.8,20.544886919645496,24.0,63,511,0.07483933691265154,0.06042800401839334,1.0799055303614595,4.580750591288038e-7,-24.12296419711989,9.670241496451126e-9,ok
source,240.0,0.0,0.8,20.544886919645496,30.0,98,511,0.07483933691265154,0.06042800401839334,1.0799055303614595,4.580037216708186e-7,-24.122964206755686,3.444711182964966e-11,ok
source,240.0,0.0,0.8,20.544886919645496,36.0,140,511,0.07483933691265154,0.06042800401839334,1.0799055303614595,4.5800377005672936e-7,-24.122964206790044,8.881784197001252e-14,ok
