xi,mu_crossover_MeV,T_crossover_MeV,mu_maxwell_interp_MeV,mu_spinodal_low_interp_MeV,mu_spinodal_high_interp_MeV,relation_to_spinodals,relation_to_maxwell
-0.5,0,180.857380657,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,22.104914914,180.462712132,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,44.2098298281,179.297900344,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,66.3147447421,177.335554781,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,88.4196596562,174.568344069,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,110.52457457,170.996268206,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,132.629489484,166.603799093,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,154.734404398,161.371742943,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,176.839319312,155.276374931,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,198.944234226,148.240919906,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,221.04914914,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,243.154064054,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,265.258978968,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,287.363893882,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,309.468808797,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.5,331.573723711,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,0,181.484105331,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,22.1658160871,181.101299219,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,44.3316321741,179.924625019,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,66.4974482612,177.958613769,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,88.6632643483,175.187737369,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,110.829080435,171.596467719,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,132.994896522,167.192136193,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,155.16071261,161.940886256,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,177.326528697,155.826324456,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,199.492344784,148.767144606,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,221.658160871,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,243.823976958,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,265.989793045,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,288.155609132,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,310.321425219,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4875,332.487241306,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,0,182.110830006,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,22.2387639011,181.716161481,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,44.4775278023,180.532155906,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,66.7162917034,178.566144656,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,88.9550556046,175.776074469,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,111.193819506,172.172942406,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,133.432583407,167.742085719,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,155.671347308,162.467110956,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,177.910111209,156.333355369,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,200.14887511,149.254981731,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,222.387639011,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,244.626402913,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,266.865166814,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,289.103930715,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,311.342694616,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.475,333.581458517,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,0,182.718360893,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,22.2968666962,182.323692368,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,44.5937333924,181.139686794,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,66.8906000887,179.166344169,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,89.1874667849,176.371742943,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,111.484333481,172.761279506,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,133.781200177,168.303032306,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,156.078066874,163.020726169,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,178.37493357,156.859580069,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,200.671800266,149.762012644,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,222.968666962,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,245.265533658,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,267.562400355,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,289.859267051,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,312.156133747,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.4625,334.453000443,145.00776405,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,0,183.322226094,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,22.3670536188,182.927557569,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,44.7341072375,181.735355268,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,67.1011608563,179.742818857,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,89.468214475,176.940886256,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,111.835268094,173.314894719,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,134.202321713,168.841119419,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,156.569375331,163.527757082,,,,above_maxwell_T_range,outside_boundary_T_range
-0.45,178.93642895,157.335554781,,,,above_maxwell_T_range,outside_boundary_T_range
