xi,boundary_row_count,T_min_MeV,T_max_MeV,mu_at_T_max_MeV,mu_at_T_min_MeV
-0.5,74,5,145,208.158581301,331.573723711
-0.4875,72,9,145,210.173259521,332.487241306
-0.475,70,5,145,212.136741645,333.581458517
-0.4625,72,9,145,214.051654246,334.453000443
-0.45,72,5,145,215.920512387,335.505804281
-0.425,69,5,141,229.773137464,337.353686217
-0.4,68,7,141,233.042952013,339.089161928
-0.375,71,5,141,236.17791032,340.843550468
-0.35,71,5,141,239.189282314,342.495607078
-0.325,71,5,141,242.086917946,344.091539087
-0.3,68,5,137,253.898491445,345.63510455
-0.275,68,5,137,256.472168587,347.129707735
-0.25,66,5,137,258.960375283,348.578382207
-0.2375,68,7,137,260.174264286,349.245584819
-0.225,70,5,137,261.368883777,349.983887163
-0.2125,70,5,137,262.544889265,350.671238484
-0.2,70,5,137,263.702873191,351.348718897
-0.175,65,5,133,273.988285265,352.675162682
-0.15,67,5,133,276.098486127,353.965286277
-0.125,65,5,133,278.149839184,355.2209896
-0.1,66,9,133,280.145567633,356.349790861
-0.075,69,5,133,282.088717645,357.635931866
-0.05,65,5,129,291.126832088,358.798233222
-0.025,65,5,129,292.90597152,359.932262383
0,65,5,129,294.642122393,361.03927983
0.0125,65,5,129,295.494727927,361.583021625
0.025,66,1,129,296.337307619,362.159019265
0.0375,69,1,129,297.170129447,362.690175775
0.05,69,1,129,297.993419107,363.21526382
0.075,63,1,125,305.965193046,364.247693343
0.1,65,1,125,307.495838538,365.257225301
0.1125,64,1,125,308.248762249,365.753672277
0.125,65,1,125,308.993687335,366.244707647
0.1375,65,1,125,309.730707429,366.730423428
0.15,67,1,125,310.460063591,367.210924394
0.175,62,1,121,317.573830375,368.156710411
0.2,62,1,121,318.937731169,369.083068488
0.225,63,1,121,320.274756985,369.991027598
0.25,60,3,117,326.678938678,370.870844572
0.2625,60,1,117,327.306423334,371.320442222
0.275,60,1,117,327.928034724,371.755211007
0.2875,61,1,117,328.543809714,372.185968618
0.3,57,1,117,329.153933599,372.612801523
0.325,59,1,117,330.357359446,373.455001852
0.35,59,1,113,336.060112981,374.282425451
0.3625,58,1,113,336.627337969,374.690774671
0.375,58,1,113,337.189558376,375.095620701
0.3875,58,1,113,337.746881987,375.497057762
0.4,58,1,113,338.299349259,375.895112793
0.4125,55,1,109,342.892630013,376.289870997
0.425,57,1,109,343.421862419,376.681383878
0.4375,57,1,109,343.946608289,377.069704055
0.45,56,1,109,344.466958496,377.454898296
0.4625,57,1,109,344.982942238,377.836994573
0.475,53,1,105,349.106581397,378.216061894
0.4875,55,1,105,349.601959816,378.592135417
0.5,55,1,105,350.093295947,378.965272021
