xi,T_MeV,mu_pass,density_pass,area_pass,spinodal_pass,all_pass,mu_abs_diff,rho_hadron_abs_diff,rho_quark_abs_diff,area_abs_diff,rho_spinodal_hadron_abs_diff,rho_spinodal_quark_abs_diff
-0.5,5.0,True,True,True,True,True,4.688445187639445e-10,0.0,1.248379177809511e-11,1.3148179115016374e-09,1.0953737916707951e-13,7.30526750203353e-14
-0.5,7.0,True,True,True,True,True,6.299387678154744e-10,0.0,1.6772361277617165e-11,1.7663342482990112e-09,9.783840404509192e-15,5.306866057708248e-14
-0.5,9.0,True,True,True,True,True,3.9403857954312116e-10,0.0,1.049160758270773e-11,1.1047284723022643e-09,9.181544413650045e-14,5.706546346573305e-14
-0.5,11.0,True,True,True,True,True,2.1213146510490333e-06,0.0,5.647555045840136e-08,4.095557090957153e-06,5.642708522657358e-14,1.3100631690576847e-14
-0.5,13.0,True,True,True,True,True,4.222949883114779e-06,4.290718822755823e-12,1.1242256237053994e-07,6.334443914500384e-06,1.1934897514720433e-14,3.175237850427948e-14
-0.5,15.0,True,True,True,True,True,2.1023317344770476e-06,7.4056657650061e-12,5.5965918122069525e-08,5.889844737469113e-06,5.623279619726418e-14,0.0
-0.5,19.0,True,True,True,True,True,8.866436473908834e-10,1.9746872323075926e-14,2.3582025221458025e-11,2.4823847030687116e-09,7.252531908363835e-14,2.2382096176443156e-13
-0.5,21.0,True,True,True,True,True,2.0659987853832718e-06,8.330528332585983e-11,5.494970478636674e-08,5.782058213550591e-06,1.3292145162324687e-13,4.8627768478581856e-14
-0.5,23.0,True,True,True,True,True,4.0188297134591267e-10,1.4810906407564106e-14,1.0690115459510707e-11,1.1243224573467651e-09,1.2240208846492351e-14,3.9745984281580604e-14
-0.5,25.0,True,True,True,True,True,1.9190338207408786e-10,1.301595550090573e-14,5.10480546722647e-12,5.366411994140764e-10,2.989275493803234e-14,2.042810365310288e-14
-0.5,27.0,True,True,True,True,True,4.0411625263914175e-06,5.091651390874002e-10,1.0750992096575374e-07,4.529501953862912e-06,1.6298074001497298e-13,0.0
-0.5,29.0,True,True,True,True,True,1.0396661309641786e-09,1.2192850895598184e-13,2.76640932383998e-11,2.9038922215276396e-09,7.671641100159832e-14,1.0325074129013956e-13
-0.5,31.0,True,True,True,True,True,3.96957523207675e-06,7.472861929952446e-10,1.0555943097401155e-07,7.405418677316816e-06,1.2473355681663634e-13,6.88338275267597e-14
-0.5,33.0,True,True,True,True,True,6.020854925736785e-10,1.5061866684429326e-13,1.6012524639563708e-11,1.6795196600117267e-09,0.0,3.574918139293004e-14
