side,artifact,row_count,xi_count,xi_values,naninf_count,negative_by_column,converged_false_count,duplicate_key_count,missing_columns
candidate,boundary,7406,101,"[-0.5, -0.4875, -0.475, -0.46875, -0.4625, -0.45625, -0.45, -0.4375, -0.425, -0.4125, -0.4, -0.3875, -0.375, -0.3625, -0.35, -0.34375, -0.3375, -0.33125, -0.325, -0.3125, -0.3, -0.2875, -0.275, -0.2625, -0.25, -0.2375, -0.225, -0.21875, -0.2125, -0.20625, -0.2, -0.1875, -0.175, -0.1625, -0.15, -0.1375, -0.125, -0.1125, -0.1, -0.075, -0.05, -0.0375, -0.025, -0.0125, 0.0, 0.0125, 0.025, 0.03125, 0.0375, 0.04375, 0.05, 0.0625, 0.075, 0.0875, 0.1, 0.1125, 0.125, 0.13125, 0.1375, 0.14375, 0.15, 0.1625, 0.175, 0.1875, 0.2, 0.20625, 0.2125, 0.21875, 0.225, 0.23125, 0.2375, 0.24375, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.30625, 0.3125, 0.31875, 0.325, 0.3375, 0.35, 0.3625, 0.375, 0.38125, 0.3875, 0.39375, 0.4, 0.4125, 0.425, 0.43125, 0.4375, 0.44375, 0.45, 0.45625, 0.4625, 0.46875, 0.475, 0.4875, 0.5]",0,{},0,0,[]
candidate,cep,101,101,"[-0.5, -0.4875, -0.475, -0.46875, -0.4625, -0.45625, -0.45, -0.4375, -0.425, -0.4125, -0.4, -0.3875, -0.375, -0.3625, -0.35, -0.34375, -0.3375, -0.33125, -0.325, -0.3125, -0.3, -0.2875, -0.275, -0.2625, -0.25, -0.2375, -0.225, -0.21875, -0.2125, -0.20625, -0.2, -0.1875, -0.175, -0.1625, -0.15, -0.1375, -0.125, -0.1125, -0.1, -0.075, -0.05, -0.0375, -0.025, -0.0125, 0.0, 0.0125, 0.025, 0.03125, 0.0375, 0.04375, 0.05, 0.0625, 0.075, 0.0875, 0.1, 0.1125, 0.125, 0.13125, 0.1375, 0.14375, 0.15, 0.1625, 0.175, 0.1875, 0.2, 0.20625, 0.2125, 0.21875, 0.225, 0.23125, 0.2375, 0.24375, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.30625, 0.3125, 0.31875, 0.325, 0.3375, 0.35, 0.3625, 0.375, 0.38125, 0.3875, 0.39375, 0.4, 0.4125, 0.425, 0.43125, 0.4375, 0.44375, 0.45, 0.45625, 0.4625, 0.46875, 0.475, 0.4875, 0.5]",0,{},,0,[]
candidate,spinodals,7406,101,"[-0.5, -0.4875, -0.475, -0.46875, -0.4625, -0.45625, -0.45, -0.4375, -0.425, -0.4125, -0.4, -0.3875, -0.375, -0.3625, -0.35, -0.34375, -0.3375, -0.33125, -0.325, -0.3125, -0.3, -0.2875, -0.275, -0.2625, -0.25, -0.2375, -0.225, -0.21875, -0.2125, -0.20625, -0.2, -0.1875, -0.175, -0.1625, -0.15, -0.1375, -0.125, -0.1125, -0.1, -0.075, -0.05, -0.0375, -0.025, -0.0125, 0.0, 0.0125, 0.025, 0.03125, 0.0375, 0.04375, 0.05, 0.0625, 0.075, 0.0875, 0.1, 0.1125, 0.125, 0.13125, 0.1375, 0.14375, 0.15, 0.1625, 0.175, 0.1875, 0.2, 0.20625, 0.2125, 0.21875, 0.225, 0.23125, 0.2375, 0.24375, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.30625, 0.3125, 0.31875, 0.325, 0.3375, 0.35, 0.3625, 0.375, 0.38125, 0.3875, 0.39375, 0.4, 0.4125, 0.425, 0.43125, 0.4375, 0.44375, 0.45, 0.45625, 0.4625, 0.46875, 0.475, 0.4875, 0.5]",0,{},,0,[]
candidate,crossover,1616,101,"[-0.5, -0.4875, -0.475, -0.46875, -0.4625, -0.45625, -0.45, -0.4375, -0.425, -0.4125, -0.4, -0.3875, -0.375, -0.3625, -0.35, -0.34375, -0.3375, -0.33125, -0.325, -0.3125, -0.3, -0.2875, -0.275, -0.2625, -0.25, -0.2375, -0.225, -0.21875, -0.2125, -0.20625, -0.2, -0.1875, -0.175, -0.1625, -0.15, -0.1375, -0.125, -0.1125, -0.1, -0.075, -0.05, -0.0375, -0.025, -0.0125, 0.0, 0.0125, 0.025, 0.03125, 0.0375, 0.04375, 0.05, 0.0625, 0.075, 0.0875, 0.1, 0.1125, 0.125, 0.13125, 0.1375, 0.14375, 0.15, 0.1625, 0.175, 0.1875, 0.2, 0.20625, 0.2125, 0.21875, 0.225, 0.23125, 0.2375, 0.24375, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.30625, 0.3125, 0.31875, 0.325, 0.3375, 0.35, 0.3625, 0.375, 0.38125, 0.3875, 0.39375, 0.4, 0.4125, 0.425, 0.43125, 0.4375, 0.44375, 0.45, 0.45625, 0.4625, 0.46875, 0.475, 0.4875, 0.5]",0,"{""rho"": 1}",0,0,[]
candidate,grid_convergence,24326,101,"[-0.5, -0.4875, -0.475, -0.46875, -0.4625, -0.45625, -0.45, -0.4375, -0.425, -0.4125, -0.4, -0.3875, -0.375, -0.3625, -0.35, -0.34375, -0.3375, -0.33125, -0.325, -0.3125, -0.3, -0.2875, -0.275, -0.2625, -0.25, -0.2375, -0.225, -0.21875, -0.2125, -0.20625, -0.2, -0.1875, -0.175, -0.1625, -0.15, -0.1375, -0.125, -0.1125, -0.1, -0.075, -0.05, -0.0375, -0.025, -0.0125, 0.0, 0.0125, 0.025, 0.03125, 0.0375, 0.04375, 0.05, 0.0625, 0.075, 0.0875, 0.1, 0.1125, 0.125, 0.13125, 0.1375, 0.14375, 0.15, 0.1625, 0.175, 0.1875, 0.2, 0.20625, 0.2125, 0.21875, 0.225, 0.23125, 0.2375, 0.24375, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.30625, 0.3125, 0.31875, 0.325, 0.3375, 0.35, 0.3625, 0.375, 0.38125, 0.3875, 0.39375, 0.4, 0.4125, 0.425, 0.43125, 0.4375, 0.44375, 0.45, 0.45625, 0.4625, 0.46875, 0.475, 0.4875, 0.5]",0,"{""left"": 34, ""midpoint"": 34, ""right"": 32}",5756,0,[]
reference,boundary,3655,57,"[-0.5, -0.4875, -0.475, -0.4625, -0.45, -0.425, -0.4, -0.375, -0.35, -0.325, -0.3, -0.275, -0.25, -0.2375, -0.225, -0.2125, -0.2, -0.175, -0.15, -0.125, -0.1, -0.075, -0.05, -0.025, 0.0, 0.0125, 0.025, 0.0375, 0.05, 0.075, 0.1, 0.1125, 0.125, 0.1375, 0.15, 0.175, 0.2, 0.225, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.325, 0.35, 0.3625, 0.375, 0.3875, 0.4, 0.4125, 0.425, 0.4375, 0.45, 0.4625, 0.475, 0.4875, 0.5]",0,{},0,0,[]
reference,cep,57,57,"[-0.5, -0.4875, -0.475, -0.4625, -0.45, -0.425, -0.4, -0.375, -0.35, -0.325, -0.3, -0.275, -0.25, -0.2375, -0.225, -0.2125, -0.2, -0.175, -0.15, -0.125, -0.1, -0.075, -0.05, -0.025, 0.0, 0.0125, 0.025, 0.0375, 0.05, 0.075, 0.1, 0.1125, 0.125, 0.1375, 0.15, 0.175, 0.2, 0.225, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.325, 0.35, 0.3625, 0.375, 0.3875, 0.4, 0.4125, 0.425, 0.4375, 0.45, 0.4625, 0.475, 0.4875, 0.5]",0,{},,0,[]
reference,spinodals,3655,57,"[-0.5, -0.4875, -0.475, -0.4625, -0.45, -0.425, -0.4, -0.375, -0.35, -0.325, -0.3, -0.275, -0.25, -0.2375, -0.225, -0.2125, -0.2, -0.175, -0.15, -0.125, -0.1, -0.075, -0.05, -0.025, 0.0, 0.0125, 0.025, 0.0375, 0.05, 0.075, 0.1, 0.1125, 0.125, 0.1375, 0.15, 0.175, 0.2, 0.225, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.325, 0.35, 0.3625, 0.375, 0.3875, 0.4, 0.4125, 0.425, 0.4375, 0.45, 0.4625, 0.475, 0.4875, 0.5]",0,{},,0,[]
reference,crossover,912,57,"[-0.5, -0.4875, -0.475, -0.4625, -0.45, -0.425, -0.4, -0.375, -0.35, -0.325, -0.3, -0.275, -0.25, -0.2375, -0.225, -0.2125, -0.2, -0.175, -0.15, -0.125, -0.1, -0.075, -0.05, -0.025, 0.0, 0.0125, 0.025, 0.0375, 0.05, 0.075, 0.1, 0.1125, 0.125, 0.1375, 0.15, 0.175, 0.2, 0.225, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.325, 0.35, 0.3625, 0.375, 0.3875, 0.4, 0.4125, 0.425, 0.4375, 0.45, 0.4625, 0.475, 0.4875, 0.5]",0,{},0,0,[]
reference,grid_convergence,11405,57,"[-0.5, -0.4875, -0.475, -0.4625, -0.45, -0.425, -0.4, -0.375, -0.35, -0.325, -0.3, -0.275, -0.25, -0.2375, -0.225, -0.2125, -0.2, -0.175, -0.15, -0.125, -0.1, -0.075, -0.05, -0.025, 0.0, 0.0125, 0.025, 0.0375, 0.05, 0.075, 0.1, 0.1125, 0.125, 0.1375, 0.15, 0.175, 0.2, 0.225, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.325, 0.35, 0.3625, 0.375, 0.3875, 0.4, 0.4125, 0.425, 0.4375, 0.45, 0.4625, 0.475, 0.4875, 0.5]",0,"{""left"": 14, ""midpoint"": 14, ""right"": 13}",1654,0,[]
