xi,T_CEP_MeV,muq_CEP_MeV,muB_CEP_MeV,uncertainty_T_MeV,T_bracket_low_MeV,T_bracket_high_MeV,bracket_width_T_MeV,result_status,T_last_first_order_MeV,muq_last_first_order_MeV,muB_last_first_order_MeV,T_first_monotone_MeV,ambiguity_width_T_MeV,temperature_resolution_target_MeV
-0.5,,,,,147.0625,147.125,0.0625,ambiguous,147.0625,202.33883159063282,607.0164947718985,147.125,0.0625,0.1
-0.4875,,,,,146.6875,146.75,0.0625,ambiguous,146.6875,205.4752329298986,616.4256987896958,146.75,0.0625,0.1
-0.475,,,,,146.25,146.3125,0.0625,ambiguous,146.25,208.70302471139712,626.1090741341914,146.3125,0.0625,0.1
-0.46875,,,,,146.0625,146.125,0.0625,ambiguous,146.0625,210.1999886145935,630.5999658437805,146.125,0.0625,0.1
-0.4625,,,,,145.875,145.9375,0.0625,ambiguous,145.875,211.6782842710092,635.0348528130276,145.9375,0.0625,0.1
-0.45625,,,,,145.6875,145.75,0.0625,ambiguous,145.6875,213.13842596736504,639.4152779020951,145.75,0.0625,0.1
-0.45,,,,,145.5,145.5625,0.0625,ambiguous,145.5,214.58090311276464,643.7427093382939,145.5625,0.0625,0.1
-0.4375,,,,,145.0625,145.125,0.0625,ambiguous,145.0625,217.58023890759063,652.7407167227718,145.125,0.0625,0.1
-0.425,,,,,144.6875,144.75,0.0625,ambiguous,144.6875,220.3465222325703,661.0395666977108,144.75,0.0625,0.1
-0.4125,,,,,144.3125,144.375,0.0625,ambiguous,144.3125,223.05083868165676,669.1525160449703,144.375,0.0625,0.1
-0.4,,,,,143.9375,144.0,0.0625,ambiguous,143.9375,225.69615128408822,677.0884538522646,144.0,0.0625,0.1
-0.3875,,,,,143.5,143.5625,0.0625,ambiguous,143.5,228.44206297683934,685.326188930518,143.5625,0.0625,0.1
-0.375,,,,,143.125,143.1875,0.0625,ambiguous,143.125,230.97541004821028,692.9262301446308,143.1875,0.0625,0.1
-0.3625,,,,,142.75,142.8125,0.0625,ambiguous,142.75,233.4574160543056,700.3722481629168,142.8125,0.0625,0.1
-0.35,,,,,142.375,142.4375,0.0625,ambiguous,142.375,235.8902504269209,707.6707512807627,142.4375,0.0625,0.1
-0.34375,,,,,142.1875,142.25,0.0625,ambiguous,142.1875,237.08886296141702,711.2665888842511,142.25,0.0625,0.1
-0.3375,,,,,142.0,142.0625,0.0625,ambiguous,142.0,238.27592770007067,714.827783100212,142.0625,0.0625,0.1
-0.33125,,,,,141.8125,141.875,0.0625,ambiguous,141.8125,239.45167450007006,718.3550235002101,141.875,0.0625,0.1
-0.325,,,,,141.5625,141.625,0.0625,ambiguous,141.5625,240.7638524009058,722.2915572027174,141.625,0.0625,0.1
-0.3125,,,,,141.1875,141.25,0.0625,ambiguous,141.1875,243.05901808990916,729.1770542697275,141.25,0.0625,0.1
-0.3,,,,,140.8125,140.875,0.0625,ambiguous,140.8125,245.3123308500414,735.9369925501242,140.875,0.0625,0.1
-0.2875,,,,,140.4375,140.5,0.0625,ambiguous,140.4375,247.52532026781037,742.5759608034311,140.5,0.0625,0.1
-0.275,,,,,140.0625,140.125,0.0625,ambiguous,140.0625,249.69941642988456,749.0982492896537,140.125,0.0625,0.1
-0.2625,,,,,139.625,139.6875,0.0625,ambiguous,139.625,251.97523272206814,755.9256981662045,139.6875,0.0625,0.1
-0.25,,,,,139.25,139.3125,0.0625,ambiguous,139.25,254.0739615044684,762.2218845134053,139.3125,0.0625,0.1
-0.2375,,,,,138.875,138.9375,0.0625,ambiguous,138.875,256.13762208201535,768.4128662460461,138.9375,0.0625,0.1
-0.225,,,,,138.5,138.5625,0.0625,ambiguous,138.5,258.1673314852301,774.5019944556902,138.5625,0.0625,0.1
-0.21875,,,,,138.3125,138.375,0.0625,ambiguous,138.3125,259.1697868888465,777.5093606665395,138.375,0.0625,0.1
-0.2125,,,,,138.0625,138.125,0.0625,ambiguous,138.0625,260.29732418839416,780.8919725651824,138.125,0.0625,0.1
-0.20625,,,,,137.875,137.9375,0.0625,ambiguous,137.875,261.28298681412605,783.8489604423781,137.9375,0.0625,0.1
-0.2,,,,,137.6875,137.75,0.0625,ambiguous,137.6875,262.2608016265691,786.7824048797073,137.75,0.0625,0.1
-0.1875,,,,,137.3125,137.375,0.0625,ambiguous,137.3125,264.1933437140495,792.5800311421485,137.375,0.0625,0.1
-0.175,,,,,136.921875,137.0,0.078125,ambiguous,136.921875,266.12805691179994,798.3841707353998,137.0,0.078125,0.1
-0.1625,,,,,136.5,136.5625,0.0625,ambiguous,136.5,268.0965808448796,804.2897425346389,136.5625,0.0625,0.1
-0.15,,,,,136.0625,136.125,0.0625,ambiguous,136.0625,270.06608881633304,810.1982664489991,136.125,0.0625,0.1
-0.1375,,,,,135.6875,135.75,0.0625,ambiguous,135.6875,271.88066483141466,815.641994494244,135.75,0.0625,0.1
-0.125,,,,,135.25,135.3125,0.0625,ambiguous,135.25,273.7915417423951,821.3746252271853,135.3125,0.0625,0.1
-0.1125,,,,,134.875,134.9375,0.0625,ambiguous,134.875,275.55173235678205,826.6551970703462,134.9375,0.0625,0.1
-0.1,,,,,134.4375,134.5,0.0625,ambiguous,134.4375,277.40685374815587,832.2205612444676,134.5,0.0625,0.1
-0.075,,,,,133.625,133.6875,0.0625,ambiguous,133.625,280.91732393964037,842.7519718189211,133.6875,0.0625,0.1
-0.05,,,,,132.75,132.8125,0.0625,ambiguous,132.75,284.44281267612115,853.3284380283635,132.8125,0.0625,0.1
-0.0375,,,,,132.3125,132.375,0.0625,ambiguous,132.3125,286.16746260927584,858.5023878278275,132.375,0.0625,0.1
-0.025,,,,,131.875,131.9375,0.0625,ambiguous,131.875,287.86743857506013,863.6023157251805,131.9375,0.0625,0.1
-0.0125,,,,,131.4375,131.5,0.0625,ambiguous,131.4375,289.5432553156036,868.6297659468107,131.5,0.0625,0.1
0.0,,,,,131.0,131.0625,0.0625,ambiguous,131.0,291.19540870457195,873.5862261137158,131.0625,0.0625,0.1
