xi,T_MeV,candidate_state,reference_state,classification_regression
-0.5,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.5,6,confirmed_monotone,confirmed_monotone,false
-0.5,11,confirmed_first_order,confirmed_first_order,false
-0.5,16,confirmed_monotone,confirmed_monotone,false
-0.5,21,confirmed_first_order,confirmed_first_order,false
-0.5,26,confirmed_monotone,confirmed_monotone,false
-0.5,31,confirmed_first_order,confirmed_first_order,false
-0.5,36,confirmed_monotone,confirmed_monotone,false
-0.5,41,confirmed_first_order,confirmed_first_order,false
-0.5,46,confirmed_monotone,confirmed_monotone,false
-0.5,51,confirmed_first_order,confirmed_first_order,false
-0.5,56,confirmed_monotone,confirmed_monotone,false
-0.5,61,confirmed_first_order,confirmed_first_order,false
-0.5,66,confirmed_monotone,confirmed_monotone,false
-0.5,71,confirmed_first_order,confirmed_first_order,false
-0.5,76,confirmed_monotone,confirmed_monotone,false
-0.5,81,confirmed_first_order,confirmed_first_order,false
-0.5,86,confirmed_monotone,confirmed_monotone,false
-0.5,91,confirmed_first_order,confirmed_first_order,false
-0.5,96,confirmed_first_order,confirmed_monotone,false
-0.5,101,confirmed_first_order,confirmed_first_order,false
-0.5,106,confirmed_first_order,confirmed_monotone,false
-0.5,111,confirmed_first_order,confirmed_first_order,false
-0.5,116,confirmed_first_order,confirmed_monotone,false
-0.5,121,confirmed_first_order,confirmed_first_order,false
-0.5,126,confirmed_first_order,confirmed_monotone,false
-0.5,131,confirmed_first_order,confirmed_first_order,false
-0.5,136,confirmed_first_order,confirmed_monotone,false
-0.5,141,confirmed_first_order,confirmed_first_order,false
-0.5,146,confirmed_monotone,confirmed_monotone,false
-0.5,151,confirmed_monotone,confirmed_monotone,false
-0.5,156,confirmed_monotone,confirmed_monotone,false
-0.5,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.5,166,confirmed_monotone,confirmed_monotone,false
-0.5,171,confirmed_monotone,confirmed_monotone,false
-0.5,176,confirmed_monotone,confirmed_monotone,false
-0.5,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.5,186,confirmed_monotone,confirmed_monotone,false
-0.5,191,confirmed_monotone,confirmed_monotone,false
-0.5,196,confirmed_monotone,confirmed_monotone,false
-0.5,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.5,206,confirmed_monotone,confirmed_monotone,false
-0.5,211,confirmed_monotone,confirmed_monotone,false
-0.5,216,confirmed_monotone,confirmed_monotone,false
-0.5,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.5,226,confirmed_monotone,confirmed_monotone,false
-0.5,231,confirmed_monotone,confirmed_monotone,false
-0.5,236,confirmed_monotone,confirmed_monotone,false
-0.5,240,ambiguous_near_critical,ambiguous_near_critical,false
-0.45,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.45,6,confirmed_monotone,confirmed_monotone,false
-0.45,11,confirmed_first_order,confirmed_first_order,false
-0.45,16,confirmed_monotone,confirmed_monotone,false
-0.45,21,confirmed_first_order,confirmed_first_order,false
-0.45,26,confirmed_monotone,confirmed_monotone,false
-0.45,31,confirmed_first_order,confirmed_first_order,false
-0.45,36,confirmed_monotone,confirmed_monotone,false
-0.45,41,confirmed_first_order,confirmed_first_order,false
-0.45,46,confirmed_monotone,confirmed_monotone,false
-0.45,51,ambiguous_near_critical,ambiguous_near_critical,false
-0.45,56,confirmed_monotone,confirmed_monotone,false
-0.45,61,confirmed_first_order,confirmed_first_order,false
-0.45,66,confirmed_monotone,confirmed_monotone,false
-0.45,71,confirmed_first_order,confirmed_first_order,false
-0.45,76,confirmed_monotone,confirmed_monotone,false
-0.45,81,confirmed_first_order,confirmed_first_order,false
-0.45,86,confirmed_monotone,confirmed_monotone,false
-0.45,91,confirmed_first_order,confirmed_first_order,false
-0.45,96,confirmed_monotone,confirmed_monotone,false
-0.45,101,confirmed_first_order,confirmed_first_order,false
-0.45,106,confirmed_first_order,confirmed_monotone,false
-0.45,111,confirmed_first_order,confirmed_first_order,false
-0.45,116,confirmed_first_order,confirmed_monotone,false
-0.45,121,confirmed_first_order,confirmed_first_order,false
-0.45,126,confirmed_first_order,confirmed_monotone,false
-0.45,131,confirmed_first_order,confirmed_first_order,false
-0.45,136,confirmed_first_order,confirmed_monotone,false
-0.45,141,confirmed_first_order,confirmed_first_order,false
-0.45,146,ambiguous_near_critical,ambiguous_near_critical,false
