xi,bracket_width_T_MeV,T_bracket_low_MeV,T_bracket_high_MeV,gate_MeV,pass
-0.45,0.125,145.4375,145.5625,0.1,false
-0.34375,0.125,142.125,142.25,0.1,false
-0.275,0.125,140.0,140.125,0.1,false
-0.21875,0.125,138.25,138.375,0.1,false
0.025,0.125,130.0625,130.1875,0.1,false
0.125,0.125,126.1875,126.3125,0.1,false
0.15,0.125,125.1875,125.3125,0.1,false
0.2,0.125,123.0625,123.1875,0.1,false
0.225,0.25,121.8125,122.0625,0.1,false
0.35,0.125,115.8125,115.9375,0.1,false
0.3625,0.125,115.125,115.25,0.1,false
0.38125,0.125,114.125,114.25,0.1,false
0.39375,0.125,113.4375,113.5625,0.1,false
0.4,0.140625,113.0625,113.203125,0.1,false
0.4375,0.125,110.875,111.0,0.1,false
0.45,0.125,110.125,110.25,0.1,false
0.5,0.125,106.9375,107.0625,0.1,false
