xi,method,calculation_sha,T_MeV,rho_level,rho,muq_MeV,pressure_fm4,residual_norm,iterations,converged,finite,sampling_role,cache_reused,solver_message
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.0,-5.0e-6,21.608072,0.0,12,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.05,280.310492,21.612055,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.1,301.831605,21.615818,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.15,313.675,21.619364,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.2,321.560908,21.622692,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.25,327.282214,21.625807,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.3,331.637723,21.628709,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.35,335.05373,21.631402,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.4,337.784877,21.633887,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.45,339.995589,21.636168,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.5,341.798309,21.638247,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.55,343.273409,21.640128,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.6,344.48041,21.641814,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.65,345.464689,21.643308,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.7,346.2617,21.644615,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
