xi,T_MeV,muB_MeV,rho_hadron,rho_quark,area_residual,grid_status,grid_unresolved
-0.5,5.0,331.5737237121608,0.0,2.8043648716128837,6.214276312251554e-07,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,7.0,331.53072855499386,0.0,2.8040121959105595,8.404648264240407e-07,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,9.0,331.47214717190707,0.0,2.803553430857171,4.892608511626389e-07,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,11.0,331.39729861961985,0.0,2.8029938839977793,9.218454626052264e-07,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,13.0,331.3054888305039,4.689397995976032e-06,2.80233908457752,2.752236960619885e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,15.0,331.19600802853614,1.7596768673803346e-05,2.801594814449659,2.947317779710177e-07,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,19.0,330.92116928704047,0.00011083919870242536,2.7998648009386304,3.7363389591666763e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,21.0,330.75435819257945,0.0002208769373748548,2.798895406507166,7.313824709060919e-07,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,23.0,330.56696381116114,0.0003851292891594072,2.797868044985752,3.5549852815582863e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,25.0,330.3582234555118,0.0006618188422905945,2.7967931173128204,2.3270532251915812e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,27.0,330.1273304317794,0.0010338586519331432,2.795681511001223,3.3819890536577134e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,29.0,329.8735080646854,0.0014667283595515765,2.794546663733343,3.361417456572569e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,31.0,329.5959794411096,0.0020581066169267576,2.793404136252304,1.8420077701008066e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,33.0,329.2935457565486,0.0027760893301815434,2.7922602586575165,4.695046670209833e-06,rho:geometry_tolerance_exceeded|rho:ok|rho:rho_geometry_not_converged,True
-0.5,35.0,328.9658725760804,0.003650572226835812,2.7911452830405437,2.2641434889642312e-06,rho:geometry_tolerance_exceeded|rho:rho_geometry_not_converged,True
-0.5,37.0,328.61107630559167,0.004682371551800802,2.7900509971042027,1.7952410535165223e-06,rho:geometry_tolerance_exceeded|rho:rho_geometry_not_converged,True
-0.5,39.0,328.22856531958587,0.005926415968279071,2.7890057137566324,1.242319344140825e-06,rho:geometry_tolerance_exceeded|rho:rho_geometry_not_converged,True
-0.5,41.0,327.81869683976817,0.007491760352256728,2.78806519242395,9.598226153470634e-07,rho:geometry_tolerance_exceeded|rho:rho_geometry_not_converged,True
-0.5,43.0,327.3774284947069,0.00903350718658213,2.787170925037216,1.9444978836057156e-06,rho:geometry_tolerance_exceeded|rho:rho_geometry_not_converged,True
-0.5,45.0,326.90477690019367,0.010927425224607452,2.786374132885016,6.687315765193356e-07,rho:geometry_tolerance_exceeded,True
-0.5,47.0,326.39948735851453,0.01292467078815992,2.7856946786157764,3.067954826944205e-06,rho:geometry_tolerance_exceeded,True
-0.5,49.0,325.8601459746587,0.015237086020745706,2.7851509541618014,2.6956831819691558e-06,rho:geometry_tolerance_exceeded,True
-0.5,51.0,325.28523887096657,0.017826698397762242,2.7847612838928795,2.5577399334456113e-06,rho:geometry_tolerance_exceeded,True
-0.5,53.0,324.673201321176,0.020659443532225104,2.784545284961874,2.1221740906013924e-07,rho:geometry_tolerance_exceeded,True
-0.5,55.0,324.02236588744404,0.02376975089263754,2.7845225110013216,3.0289281276841e-06,rho:geometry_tolerance_exceeded|rho:rho_geometry_not_converged,True
-0.5,57.0,323.33096539507335,0.02717573020129016,2.784712541747368,1.7998766522943155e-06,rho:geometry_tolerance_exceeded|rho:rho_geometry_not_converged,True
-0.5,59.0,322.5971381755602,0.0308862622838039,2.7851351134561186,2.885994766461355e-06,rho:geometry_tolerance_exceeded,True
-0.5,61.0,321.8190121267764,0.03496113486500153,2.7858123615656227,4.873433277546551e-06,rho:geometry_tolerance_exceeded,True
-0.5,63.0,320.99440416627704,0.03940036544399044,2.7867606288739024,8.007444126789524e-07,rho:geometry_tolerance_exceeded,True
-0.5,65.0,320.12113794922516,0.044190899328542345,2.787999106316864,1.9287850769712187e-06,rho:geometry_tolerance_exceeded,True
-0.5,67.0,319.196862417002,0.049431715434109395,2.789544934342381,3.6698645466284147e-06,automatic_grid_pass,False
-0.5,69.0,318.21931086571396,0.055105600081531904,2.791418668214748,1.6807543368874394e-07,automatic_grid_pass,False
-0.5,71.0,317.1859258819467,0.06117867346971253,2.7936356233511193,3.322241999033788e-06,rho:geometry_tolerance_exceeded,True
-0.5,73.0,316.09400895500835,0.06778687698746601,2.7962099551585076,4.782114558249005e-06,rho:geometry_tolerance_exceeded,True
-0.5,75.0,314.9408282007855,0.07491823908415081,2.799154826845398,4.4573901084802296e-06,rho:geometry_tolerance_exceeded,True
-0.5,77.0,313.7235148210651,0.08265662991231283,2.802481161897072,1.112422733062272e-06,rho:geometry_tolerance_exceeded,True
-0.5,79.0,312.43907253891575,0.09104565836271149,2.806196819380571,1.6087632314504274e-07,automatic_grid_pass,False
-0.5,81.0,311.08441430046344,0.09998958743506446,2.810307458486129,2.0441419089844916e-06,automatic_grid_pass,False
-0.5,83.0,309.6563005216838,0.10977187438222205,2.814812765080173,9.608454025635508e-07,automatic_grid_pass,False
-0.5,85.0,308.15140541360483,0.12023198110212427,2.8197093466067336,2.256178662580505e-07,rho:geometry_tolerance_exceeded,True
-0.5,87.0,306.56625974435116,0.13156741798931373,2.8249877761317,5.351948539529267e-07,automatic_grid_pass,False
-0.5,89.0,304.89734084692805,0.14380274113871921,2.8306335931572137,4.232787313357043e-06,automatic_grid_pass,False
-0.5,91.0,303.1409813941415,0.15703812297285677,2.836623996706825,3.40655693216365e-06,automatic_grid_pass,False
-0.5,93.0,301.29344501602156,0.1713309312239931,2.8429292501946795,4.988016378029399e-07,automatic_grid_pass,False
