xi,muq_CEP_proxy_MeV,T_CEP_bracket_low_MeV,T_CEP_bracket_high_MeV,last_retained_muq_MeV,last_retained_T_MeV,first_excluded_muq_MeV,first_excluded_T_MeV,native_mu_gap_MeV,interpretation
-0.5,202.33883159063282,147.0625,147.125,198.9442342272965,148.24091990596872,221.04914914144055,145.00776405003788,22.104914914144047,native crossover sampling gap across CEP proxy; no implicit connector
-0.4875,205.4752329298986,146.6875,146.75,199.4923447837141,148.7671446058257,221.65816087079344,145.00776405003788,22.16581608707935,native crossover sampling gap across CEP proxy; no implicit connector
-0.475,208.70302471139712,146.25,146.3125,200.14887264769436,149.2549817311727,222.38763627521598,145.00776405003788,22.23876362752162,native crossover sampling gap across CEP proxy; no implicit connector
-0.46875,210.1999886145935,146.0625,146.125,200.44204525953816,149.49890029384622,222.71338362170906,145.00776405003788,22.271338362170894,native crossover sampling gap across CEP proxy; no implicit connector
-0.4625,211.6782842710092,145.875,145.9375,200.67180026620494,149.7620126437747,222.96866696244996,145.00776405003788,22.29686669624502,native crossover sampling gap across CEP proxy; no implicit connector
-0.45625,213.13842596736504,145.6875,145.75,201.01928498118454,149.98673741919322,223.35476109020505,145.00776405003788,22.335476109020505,native crossover sampling gap across CEP proxy; no implicit connector
-0.45,214.58090311276464,145.5,145.5625,201.30348493721235,150.22612494332887,223.67053881912486,145.00776405003788,22.36705388191251,native crossover sampling gap across CEP proxy; no implicit connector
-0.4375,217.58023890759063,145.0625,145.125,201.75917917661735,150.73315585593087,224.17686575179707,145.00776405003788,22.417686575179715,native crossover sampling gap across CEP proxy; no implicit connector
-0.425,220.3465222325703,144.6875,144.75,202.4122140058126,151.15686284027583,224.90246000645843,142.92360627814153,22.49024600064584,native crossover sampling gap across CEP proxy; no implicit connector
-0.4125,223.05083868165676,144.3125,144.375,202.95052429244402,151.608152880706,225.50058254716,143.35725528140733,22.550058254715992,native crossover sampling gap across CEP proxy; no implicit connector
-0.4,225.69615128408822,143.9375,144.0,203.45349934244376,152.06416474024408,226.0594437138264,143.79472431657575,22.605944371382634,native crossover sampling gap across CEP proxy; no implicit connector
-0.3875,228.44206297683934,143.5,143.5625,226.66345218914057,144.20410044761792,249.32979740805465,141.00809095740786,22.666345218914074,native crossover sampling gap across CEP proxy; no implicit connector
-0.375,230.97541004821028,143.125,143.1875,227.22903364543023,144.61538659461144,249.9519370099733,141.00809095740786,22.722903364543072,native crossover sampling gap across CEP proxy; no implicit connector
-0.3625,233.4574160543056,142.75,142.8125,227.7567818288165,145.03139456071278,250.53246001169816,141.00809095740786,22.775678182881677,native crossover sampling gap across CEP proxy; no implicit connector
-0.35,235.8902504269209,142.375,142.4375,228.33040471964705,145.41795694188002,251.16344519161174,141.00809095740786,22.833040471964694,native crossover sampling gap across CEP proxy; no implicit connector
-0.34375,237.08886296141702,142.1875,142.25,228.48640512795026,145.6597838769109,251.33504564074525,141.00809095740786,22.848640512794987,native crossover sampling gap across CEP proxy; no implicit connector
-0.3375,238.27592770007067,142.0,142.0625,228.86689483309092,145.80924114215514,251.7535843164,141.00809095740786,22.886689483309084,native crossover sampling gap across CEP proxy; no implicit connector
-0.33125,239.45167450007006,141.8125,141.875,229.13173339526537,145.99870230083616,252.0449067347919,141.00809095740786,22.913173339526537,native crossover sampling gap across CEP proxy; no implicit connector
-0.325,240.7638524009058,141.5625,141.625,229.3943572280796,146.1881634595172,252.33379295088756,141.00809095740786,22.939435722807957,native crossover sampling gap across CEP proxy; no implicit connector
-0.3125,243.05901808990916,141.1875,141.25,229.84813459044912,146.58708772359756,252.83294804949398,141.00809095740786,22.984813459044858,native crossover sampling gap across CEP proxy; no implicit connector
-0.3,245.3123308500414,140.8125,140.875,230.42340511118687,146.92935985983723,253.46574562230555,137.19512896667837,23.04234051111868,native crossover sampling gap across CEP proxy; no implicit connector
-0.2875,247.52532026781037,140.4375,140.5,230.92555321548204,147.2899207107084,254.01810853703026,137.5348797113678,23.092555321548218,native crossover sampling gap across CEP proxy; no implicit connector
-0.275,249.69941642988456,140.0625,140.125,231.41980315841178,147.64253280832764,254.56178347425296,137.87065607943126,23.14198031584118,native crossover sampling gap across CEP proxy; no implicit connector
-0.2625,251.97523272206814,139.625,139.6875,231.90640247346406,147.9871961526949,255.09704272081046,138.2104068241207,23.19064024734641,native crossover sampling gap across CEP proxy; no implicit connector
-0.25,254.0739615044684,139.25,139.3125,232.38558621630276,148.3348956506363,255.624144837933,138.5357781390933,23.238558621630233,native crossover sampling gap across CEP proxy; no implicit connector
-0.2375,256.13762208201535,138.875,138.9375,256.11342886761565,138.8859339368736,279.3964678555807,137.0084178647779,23.28303898796503,native crossover sampling gap across CEP proxy; no implicit connector
-0.225,258.1673314852301,138.5,138.5625,256.6548485543525,139.19446952229046,279.9871075138391,137.0084178647779,23.33225895948658,native crossover sampling gap across CEP proxy; no implicit connector
-0.21875,259.1697868888465,138.3125,138.375,256.907796697017,139.35393984154427,280.2630509422003,137.0084178647779,23.355254245183346,native crossover sampling gap across CEP proxy; no implicit connector
-0.2125,260.29732418839416,138.0625,138.125,257.1589082220627,139.51341016079814,280.5369907877047,137.0084178647779,23.378082565642046,native crossover sampling gap across CEP proxy; no implicit connector
-0.20625,261.28298681412605,137.875,137.9375,257.4082113000667,139.67685485667792,280.8089577818909,137.0084178647779,23.40074648182423,native crossover sampling gap across CEP proxy; no implicit connector
-0.2,262.2608016265691,137.6875,137.75,257.6557291423227,139.82592012284096,281.0789772461702,137.0084178647779,23.423248103847527,native crossover sampling gap across CEP proxy; no implicit connector
-0.1875,264.1933437140495,137.3125,137.375,258.1455139709213,140.13644289657077,281.61328796827775,137.0084178647779,23.46777399735646,native crossover sampling gap across CEP proxy; no implicit connector
-0.175,266.12805691179994,136.921875,137.0,258.62845638090346,140.44111822119498,282.1401342337129,132.0088264989904,23.51167785280944,native crossover sampling gap across CEP proxy; no implicit connector
-0.1625,268.0965808448796,136.5,136.5625,259.10473878678823,140.7435428849939,282.6597150401326,133.0087447721479,23.554976253344364,native crossover sampling gap across CEP proxy; no implicit connector
-0.15,270.06608881633304,136.0625,136.125,259.5745468684939,141.0316330364253,283.17223294744787,133.0087447721479,23.597686078953984,native crossover sampling gap across CEP proxy; no implicit connector
-0.1375,271.88066483141466,135.6875,135.75,260.03804170234827,141.3228772503074,283.677863675289,133.0087447721479,23.63982197294075,native crossover sampling gap across CEP proxy; no implicit connector
-0.125,273.7915417423951,135.25,135.3125,260.4953923685625,141.6058640214909,284.1767916747954,133.0087447721479,23.681399306232947,native crossover sampling gap across CEP proxy; no implicit connector
-0.1125,275.55173235678205,134.875,134.9375,260.9467523890963,141.88156800887432,284.6691844244686,133.0087447721479,23.72243203537232,native crossover sampling gap across CEP proxy; no implicit connector
