xi,v5_baseline_count,endpoint_count,v5_last_mu_MeV,endpoint_first_mu_MeV,endpoint_last_mu_MeV,gap_v5_last_to_endpoint_first_MeV,v5_first_excluded_mu_MeV,cep_proxy_mu_MeV,endpoint_gap_to_CEP_proxy_MeV,endpoint_proxy_relation,interpretation
-0.5,10,2,198.9442342272965,200.64153290896468,201.49018224979875,1.6972986816681725,221.04914914144055,202.33883159063282,0.8486493408340721,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.4875,10,2,199.4923447837141,202.48378885680634,203.97951089335248,2.9914440730922536,221.65816087079344,205.4752329298986,1.4957220365461126,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.475,10,2,200.14887264769436,204.42594867954574,206.56448669547143,4.277076031851379,222.38763627521598,208.70302471139712,2.1385380159256897,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.46875,10,2,200.44204525953816,205.32101693706585,207.76050277582968,4.878971677527687,222.71338362170906,210.1999886145935,2.4394858387638294,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.4625,10,2,200.67180026620494,206.17504226860706,208.92666326980813,5.503242002402118,222.96866696244996,211.6782842710092,2.751621001201073,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.45625,10,2,201.01928498118454,207.0788554742748,210.10864072081992,6.059570493090263,223.35476109020505,213.13842596736504,3.029785246545117,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.45,10,2,201.30348493721235,207.9421940249885,211.26154856887658,6.638709087776164,223.67053881912486,214.58090311276464,3.3193545438880676,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.4375,10,2,201.75917917661735,209.669709042104,213.6249739748473,7.910529865486637,224.17686575179707,217.58023890759063,3.9552649327433187,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.425,10,2,202.4122140058126,211.37936811919144,215.86294517588087,8.967154113378854,224.90246000645843,220.3465222325703,4.483577056689427,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.4125,10,2,202.95052429244402,213.00068148705037,218.02576008435358,10.050157194606356,225.50058254716,223.05083868165676,5.025078597303178,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.4,10,2,203.45349934244376,214.574825313266,220.1354882986771,11.121325970822227,226.0594437138264,225.69615128408822,5.560662985411113,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.3875,11,2,226.66345218914057,227.55275758298995,227.99741027991465,0.8893053938493836,249.32979740805465,228.44206297683934,0.4446526969246918,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.375,11,2,227.22903364543023,229.10222184682027,230.03881594751527,1.873188201390036,249.9519370099733,230.97541004821028,0.9365941006950038,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.3625,11,2,227.7567818288165,230.60709894156105,232.03225749793333,2.8503171127445626,250.53246001169816,233.4574160543056,1.4251585563722813,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.35,11,2,228.33040471964705,232.11032757328397,234.00028900010244,3.7799228536369185,251.16344519161174,235.8902504269209,1.889961426818445,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.34375,11,2,228.48640512795026,232.78763404468364,234.93824850305032,4.301228916733379,251.33504564074525,237.08886296141702,2.1506144583667037,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.3375,11,2,228.86689483309092,233.5714112665808,235.92366948332574,4.704516433489886,251.7535843164,238.27592770007067,2.3522582167449286,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.33125,11,2,229.13173339526537,234.2917039476677,236.87168922386888,5.159970552402342,252.0449067347919,239.45167450007006,2.579985276201171,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.325,11,2,229.3943572280796,235.0791048144927,237.92147860769924,5.684747586413096,252.33379295088756,240.7638524009058,2.842373793206548,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.3125,11,2,229.84813459044912,236.45357634017915,239.75629721504416,6.6054417497300335,252.83294804949398,243.05901808990916,3.3027208748650025,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.3,11,2,230.42340511118687,237.86786798061414,241.59009941532776,7.444462869427269,253.46574562230555,245.3123308500414,3.722231434713649,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.2875,11,2,230.92555321548204,239.2254367416462,243.3753785047283,8.299883526164166,254.01810853703026,247.52532026781037,4.149941763082069,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.275,11,2,231.41980315841178,240.55960979414817,245.12951311201635,9.139806635736392,254.56178347425296,249.69941642988456,4.56990331786821,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.2625,11,2,231.90640247346406,241.9408175977661,246.95802515991713,10.034415124302058,255.09704272081046,251.97523272206814,5.017207562151015,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.25,11,2,232.38558621630276,243.2297738603856,248.651867682427,10.844187644082837,255.624144837933,254.0739615044684,5.422093822041404,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.2375,12,2,256.11342886761565,256.1255254748155,256.13157377841543,0.01209660719985095,279.3964678555807,256.13762208201535,0.006048303599925475,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.225,12,2,256.6548485543525,257.4110900197913,257.7892107525107,0.7562414654387908,279.9871075138391,258.1673314852301,0.37812073271936697,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.21875,12,2,256.907796697017,258.03879179293176,258.6042893408891,1.130995095914784,280.2630509422003,259.1697868888465,0.5654975479573636,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.2125,12,2,257.1589082220627,258.7281162052284,259.5127201968113,1.569207983165711,280.5369907877047,260.29732418839416,0.7846039915828555,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.20625,12,2,257.4082113000667,259.34559905709636,260.3142929356112,1.9373877570296827,280.8089577818909,261.28298681412605,0.9686938785148413,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.2,12,2,257.6557291423227,259.9582653844459,261.1095335055075,2.3025362421232103,281.0789772461702,262.2608016265691,1.1512681210616051,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.1875,12,2,258.1455139709213,261.1694288424854,262.68138627826744,3.023914871564102,281.61328796827775,264.1933437140495,1.511957435782051,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.175,12,2,258.62845638090346,262.3782566463517,264.2531567790758,3.7498002654482434,282.1401342337129,266.12805691179994,1.8749001327241217,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.1625,12,2,259.10473878678823,263.6006598158339,265.84862033035677,4.4959210290456895,282.6597150401326,268.0965808448796,2.2479605145228447,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.15,12,2,259.5745468684939,264.8203178424135,267.44320332937326,5.245770973919605,283.17223294744787,270.06608881633304,2.622885486959774,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.1375,12,2,260.03804170234827,265.95935326688146,268.92000904914806,5.921311564533198,283.677863675289,271.88066483141466,2.960655782266599,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.125,12,2,260.4953923685625,267.1434670554788,270.46750439893697,6.648074686916345,284.1767916747954,273.7915417423951,3.3240373434581443,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.1125,12,2,260.9467523890963,268.2492423729392,271.9004873648606,7.302489983842918,284.6691844244686,275.55173235678205,3.6512449919214305,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.1,12,2,261.3231799642945,269.3650168562252,273.38593530219055,8.0418368919307,285.0798326883213,277.40685374815587,4.0209184459653216,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.075,12,2,262.2663468396652,271.5918353896528,276.2545796646466,9.325488549987597,286.1087420069075,280.91732393964037,4.66274427499377,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.05,12,2,263.118701314494,273.78075699530757,279.1117848357144,10.66205568081358,287.0385832521753,284.44281267612115,5.331027840406762,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.0375,12,2,263.5370458245372,274.85225421690654,280.5098584130912,11.315208392369357,287.4949590813133,286.16746260927584,5.65760419618465,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.025,12,2,263.95032574769243,275.90888216137625,281.8881603682182,11.958556413683823,287.9458099065736,287.86743857506013,5.9792782068419115,below_CEP_proxy,overlay extends native crossover support; no implicit connector
-0.0125,13,2,288.3912581611802,288.9672567383919,289.2552560269977,0.575998577211692,312.4238630079452,289.5432553156036,0.2879992886058744,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.0,13,2,288.8314238654627,290.01341628501734,290.60441249479464,1.1819924195546605,312.90070918758454,291.19540870457195,0.5909962097773018,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.0125,13,2,289.26641730159577,291.04539643891815,291.9348860075793,1.7789791373223807,313.37195207672875,292.82437557624047,0.8894895686611903,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.025,13,2,289.72721541206255,292.0789155874181,293.2547656750959,2.3517001753555746,313.8711500297344,294.43061576277364,1.175850087677759,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.03125,13,2,289.94029233022053,292.6094022211812,293.94395716666156,2.6691098909606694,314.10198335773896,295.2785121121419,1.3345549454803631,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.0375,13,2,290.15214348113653,293.13618070631856,294.6281993189096,2.9840372251820213,314.33148877123125,296.12021793150063,1.492018612591039,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.04375,13,2,290.3627780927308,293.6592839419037,295.3075368664902,3.2965058491728882,314.55967626712504,296.95578979107665,1.6482529245864725,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.05,13,2,290.5722110545876,294.12662554315693,295.9038327874416,3.554414488569307,314.7865619758033,297.6810400317263,1.777207244284682,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.0625,13,2,290.9875177625223,295.15546253074285,297.2394349148531,4.167944768220536,315.23647757606585,299.3234072989634,2.083972384110268,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.075,13,2,291.3981546736664,296.1193332578375,298.47992254992306,4.721178584171128,315.6813342298053,300.8405118420086,2.3605892920855354,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.0875,13,2,291.8042159545971,297.1207748451721,299.7790542904596,5.316558890574981,316.1212339508135,302.4373337357471,2.6582794452874623,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.1,13,2,292.20578023977953,298.10854400737855,301.0599258911781,5.902763767599026,316.55626192642785,304.01130777497764,2.951381883799513,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.1125,13,2,292.60293782133976,299.0828846923266,302.32285812782,6.479946870986851,316.98651597311806,305.5628315633134,3.2399734354934253,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.125,13,2,292.99576123473304,300.0921229617145,303.6403038252052,7.096361726981456,317.41207467096086,307.1884846886959,3.5481808634906997,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.13125,13,2,293.1905774043668,300.51972327708893,304.18429621345,7.329145872722108,317.6231255213974,307.8488691498111,3.6645729363610826,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.1375,13,2,293.3843387406464,300.9922048482012,304.79613790197857,7.607866107554798,317.8330336357003,308.600070955756,3.8039330537774276,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.14375,13,2,293.57705656828546,301.46150039945263,305.40372231503625,7.884443831167175,318.0418112823093,309.3459442306198,3.942221915583559,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.15,13,2,293.7687395157152,301.9276366938137,306.007085282863,8.158897178098528,318.2494678086915,310.08653387191225,4.079448589049264,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.1625,13,2,294.14905036322756,302.89667611489926,307.27048899073515,8.747625751671706,318.66147122682986,311.644301866571,4.373812875835881,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.175,13,2,294.52536832929763,303.8066448940217,308.44728317638373,9.281276564724067,319.06914902340577,313.08792145874577,4.640638282362033,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.1875,13,2,294.8977984634803,304.7493378992675,309.67510761716113,9.851539435787231,319.4726150021037,314.60087733505475,4.9257697178936155,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.2,13,2,295.2664547906734,305.63476779633106,310.8189242991599,10.368313005657683,319.87199268989616,316.00308080198874,5.184156502828841,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.225,13,2,295.99282207981605,307.45663159205463,313.1885363481739,11.463809512238583,320.6588905864674,318.9204411042932,5.73190475611932,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.25,14,2,321.42139862617336,321.6280751668769,321.7314134372287,0.20667654070354047,346.14612159741745,321.8347517075805,0.10333827035179866,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.2625,14,2,321.81104589659236,322.51444558430774,322.8661454281654,0.7033996877153754,346.56574173479174,323.21784527202306,0.3516998438576593,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.275,14,2,322.1878495428525,323.42425348349286,324.0424554538131,1.2364039406403435,346.9715302769181,324.66065742413326,0.6182019703201718,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.2875,14,2,322.35871537354404,324.18034245337685,325.0911559932932,1.8216270798328082,347.1555396330474,326.0019695332096,0.9108135399163757,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.3,14,2,322.93109465607205,325.16606747709795,326.2835538876109,2.234972821025906,347.77194809115457,327.40104029812386,1.1174864105129814,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.30625,14,2,323.1148018129667,325.6035504305096,326.847924739281,2.4887486175429103,347.9697865678102,328.09229904805244,1.2443743087714552,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.3125,14,2,323.29768232454865,326.06641463568116,327.45078079124744,2.76873231113251,348.1667348110524,328.83514694681367,1.3843661555662266,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.31875,14,2,323.47974479653107,326.4691197797549,327.9638072713668,2.989374983223854,348.36280208857187,329.4584947629787,1.4946874916118986,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.325,14,2,323.66099807945983,326.89726031579914,328.5153914339688,3.2362622363393143,348.55799793172594,330.1335225521384,1.6181311181696287,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.3375,14,2,324.0211292783418,327.78110045181836,329.6610860385566,3.759971173476572,348.94583153052196,331.5410716252949,1.8799855867382576,below_CEP_proxy,overlay extends native crossover support; no implicit connector
0.35,14,2,324.3781020517946,328.6155514126001,330.73427609300285,4.237449360805499,349.3302637480865,332.8530007734056,2.1187246804027495,below_CEP_proxy,overlay extends native crossover support; no implicit connector
