xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,layer,status,calculation_sha,v6_manifest_hash
-0.5,5.0,372.76017116838176,301.013810557583,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,7.0,372.61304434848984,300.99609593696607,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,9.0,372.41071027469235,300.9716519508826,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,11.0,372.15190782062257,300.940042756925,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,13.0,371.83720002993664,300.90081805639255,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,15.0,371.4683924406324,300.85351147665233,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,19.0,370.57766402738747,300.7326936679738,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,21.0,370.0600261633574,300.65815837630095,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,23.0,369.49695288702907,300.5734463608277,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
-0.5,25.0,368.8898174649333,300.47798034852525,certified_layer,native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
