xi,method,calculation_sha,T_MeV,rho_level,rho,muq_MeV,pressure_fm4,residual_norm,iterations,converged,finite,sampling_role,cache_reused,solver_message
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.0,0.009595,21.608021,0.0,36,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.05,348.903931,21.60996,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.1,358.577413,21.611643,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.15,363.36109,21.613069,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.2,366.143594,21.614239,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.25,367.830466,21.615154,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.3,368.825313,21.615814,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.35,369.343679,21.616219,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.4,369.514464,21.616372,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.45,369.421055,21.616273,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,51.0,0,0.5,369.120635,21.615924,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
