xi,method,calculation_sha,T_MeV,rho_level,rho,muq_MeV,pressure_fm4,residual_norm,iterations,converged,finite,sampling_role,cache_reused,solver_message
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.0,-5.0e-6,21.608072,0.0,23,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.00625,211.896724,21.608581,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.0125,235.004546,21.609087,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.01875,248.427252,21.60959,0.0,4,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.025,257.884718,21.61009,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.03125,265.169501,21.610586,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.0375,271.080058,21.611079,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.04375,276.042309,21.611569,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.05,280.310492,21.612055,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.05625,284.048594,21.612537,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.0625,287.368585,21.613016,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.06875,290.350331,21.613492,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.075,293.052799,21.613964,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.08125,295.520772,21.614433,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.0875,297.789059,21.614898,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.09375,299.885254,21.61536,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.1,301.831605,21.615818,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.10625,303.646305,21.616273,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.1125,305.344429,21.616725,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.11875,306.938603,21.617173,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.125,308.439507,21.617618,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.13125,309.85626,21.61806,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.1375,311.196706,21.618498,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.14375,312.467643,21.618932,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.15,313.675,21.619364,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.15625,314.82398,21.619791,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.1625,315.919173,21.620216,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.16875,316.964652,21.620637,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.175,317.964041,21.621055,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.18125,318.920587,21.621469,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,0,0.1875,319.837203,21.62188,0.0,3,true,true,coarse_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
