xi,T_MeV,rho,muq_MeV,source,cap,result_status
-0.5,5.0,0.984375,340.076698,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,1.859375,301.013993,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,2.446875,317.904532,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,1.865625,301.016184,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,2.440625,317.664122,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,0.978125,340.395873,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,0.990625,339.75686,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,1.853125,301.019635,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,2.453125,318.145047,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,1.871875,301.026102,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,2.434375,317.42383,stage_c_selected,12,ambiguous_near_critical
-0.5,5.0,0.971875,340.714381,stage_c_selected,12,ambiguous_near_critical
-0.5,20.0,1.009375,338.495958,stage_c_selected,12,confirmed_first_order
-0.5,20.0,1.865625,300.696681,stage_c_selected,12,confirmed_first_order
-0.5,20.0,2.796875,330.745832,stage_c_selected,12,confirmed_first_order
-0.5,20.0,1.871875,300.699999,stage_c_selected,12,confirmed_first_order
-0.5,20.0,2.803125,330.98072,stage_c_selected,12,confirmed_first_order
-0.5,20.0,1.003125,338.813971,stage_c_selected,12,confirmed_first_order
-0.5,20.0,1.015625,338.177278,stage_c_selected,12,confirmed_first_order
-0.5,20.0,1.859375,300.701157,stage_c_selected,12,confirmed_first_order
-0.5,20.0,2.790625,330.51074,stage_c_selected,12,confirmed_first_order
-0.5,20.0,1.878125,300.711004,stage_c_selected,12,confirmed_first_order
-0.5,20.0,2.809375,331.215402,stage_c_selected,12,confirmed_first_order
-0.5,20.0,0.996875,339.131309,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.140625,327.382799,stage_c_selected,12,confirmed_first_order
-0.5,60.0,2.784375,322.174338,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.934375,296.200689,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.940625,296.201043,stage_c_selected,12,confirmed_first_order
