xi,T_MeV,cap,rho,muq_MeV,residual_norm,source
-0.5,20.0,12,1.159375,330.67985,0.0,stage_c_guard_pool
-0.5,20.0,12,2.796875,330.745832,0.0,stage_c_guard_pool
-0.5,20.0,12,1.865625,300.696681,0.0,stage_c_guard_pool
-0.5,20.0,12,2.803125,330.98072,0.0,stage_c_guard_pool
-0.5,20.0,12,1.871875,300.699999,0.0,stage_c_guard_pool
-0.5,20.0,12,1.165625,330.347389,0.0,stage_c_guard_pool
-0.5,20.0,12,1.153125,331.011837,0.0,stage_c_guard_pool
-0.5,20.0,12,2.790625,330.51074,0.0,stage_c_guard_pool
-0.5,20.0,12,1.859375,300.701157,0.0,stage_c_guard_pool
-0.5,20.0,12,2.809375,331.215402,0.0,stage_c_guard_pool
-0.5,20.0,12,1.878125,300.711004,0.0,stage_c_guard_pool
-0.5,20.0,12,1.146875,331.343341,0.0,stage_c_guard_pool
0.0,5.0,12,1.109375,361.067624,0.0,stage_c_guard_pool
0.0,5.0,12,2.503125,360.986328,0.0,stage_c_guard_pool
0.0,5.0,12,1.890625,346.486308,0.0,stage_c_guard_pool
0.0,5.0,12,2.509375,361.226823,0.0,stage_c_guard_pool
0.0,5.0,12,1.884375,346.487508,0.0,stage_c_guard_pool
0.0,5.0,12,2.496875,360.746493,0.0,stage_c_guard_pool
0.0,5.0,12,1.103125,361.232453,0.0,stage_c_guard_pool
0.0,5.0,12,1.115625,360.902849,0.0,stage_c_guard_pool
0.0,5.0,12,1.896875,346.488426,0.0,stage_c_guard_pool
0.0,5.0,12,2.515625,361.467952,0.0,stage_c_guard_pool
0.0,5.0,12,1.878125,346.491997,0.0,stage_c_guard_pool
0.0,5.0,12,2.490625,360.507341,0.0,stage_c_guard_pool
0.0,20.0,12,1.121875,360.428646,0.0,stage_c_guard_pool
0.0,20.0,12,2.496875,360.297548,0.0,stage_c_guard_pool
0.0,20.0,12,1.890625,346.204817,0.0,stage_c_guard_pool
0.0,20.0,12,1.896875,346.205059,0.0,stage_c_guard_pool
0.0,20.0,12,2.503125,360.53675,0.0,stage_c_guard_pool
0.0,20.0,12,1.115625,360.591537,0.0,stage_c_guard_pool
0.0,20.0,12,1.128125,360.265809,0.0,stage_c_guard_pool
0.0,20.0,12,2.490625,360.059049,0.0,stage_c_guard_pool
0.0,20.0,12,1.884375,346.207858,0.0,stage_c_guard_pool
0.0,20.0,12,1.903125,346.208615,0.0,stage_c_guard_pool
0.0,20.0,12,2.509375,360.776628,0.0,stage_c_guard_pool
0.0,20.0,12,1.109375,360.754469,0.0,stage_c_guard_pool
