xi,T_MeV,rho,muq_MeV,source,cap,oracle_status,simulated_status,reason
-0.5,60.0,0.0,-6e-06,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.0625,333.394951,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.125,343.709237,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.1875,348.253098,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.25,350.423816,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.3125,351.285551,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.375,351.311871,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.4375,350.755008,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.5,349.765179,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.5625,348.438969,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.625,346.842057,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.6875,345.021057,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.75,343.010207,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.8125,340.835388,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.875,338.516683,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.9375,336.070094,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.0,333.508769,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.0625,330.843948,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.125,328.085778,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.1875,325.244109,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.25,322.329397,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.3125,319.353866,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.375,316.333129,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.4375,313.288577,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.5,310.25098,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.5625,307.265829,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.625,304.400777,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.6875,301.754305,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.75,299.461038,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.8125,297.682367,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.875,296.568659,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,1.9375,296.199959,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.0,296.549157,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.0625,297.503264,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.125,298.918367,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.1875,300.662556,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.25,302.632449,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.3125,304.752967,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.375,306.971383,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.4375,309.251067,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.5,311.566565,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.5625,313.900088,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.625,316.23912,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.6875,318.574801,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.75,320.900826,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.8125,323.212703,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.875,325.507238,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,2.9375,327.782178,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.0,330.035955,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.0625,332.267507,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.125,334.476149,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.1875,336.661475,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.25,338.823287,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.3125,340.961547,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.375,343.076331,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.4375,345.167806,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.5,347.236202,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.5625,349.281797,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.625,351.304904,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.6875,353.305858,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.75,355.285012,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.8125,357.242728,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.875,359.17937,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,3.9375,361.095307,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,4.0,362.990903,stage_b_global_reference,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.01875,311.789928,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.028125,319.369648,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.034375,323.02981,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.0375,324.593353,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.04375,327.322877,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.053125,330.675465,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.059375,332.54609,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.065625,334.19371,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.071875,335.658935,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.08125,337.579361,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.0875,338.706903,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.09375,339.73198,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,60.0,0.103125,341.105704,stage_c_local_selected,48,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
