xi,method,calculation_sha,anchor_T_MeV,result_status,found,T_last_first_order_MeV,muq_last_first_order_MeV,T_first_monotone_MeV,ambiguity_width_T_MeV,temperature_resolution_target_MeV
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,60.0,322.2141732938164,NaN,NaN,0.125
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,130.0,ambiguous,false,130.0,245.5925633977648,NaN,NaN,0.125
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,147.0947265625,ambiguous,false,147.0947265625,202.24667892125848,NaN,NaN,0.125
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,147.2197265625,not_found,false,NaN,NaN,NaN,NaN,0.125
-0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,160.0,not_found,false,NaN,NaN,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,100.0,331.27141579571935,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,120.0,ambiguous,false,120.0,308.60459865339953,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,130.9619140625,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125
0.0,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,60.0,372.809736532426,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,90.0,ambiguous,false,90.0,360.7665053453738,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,100.0,354.10801448165864,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,106.9599609375,ambiguous,false,106.9599609375,348.3787101477849,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,107.0849609375,not_found,false,NaN,NaN,NaN,NaN,0.125
0.5,independent_oracle,d1e386deb950169b6d5db9cc3dd0617845ee60e8,120.0,not_found,false,NaN,NaN,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,60.0,322.2136967755679,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,130.0,ambiguous,false,130.0,245.59256440495506,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,147.0947265625,ambiguous,false,147.0947265625,202.2466799073176,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,147.2197265625,not_found,false,NaN,NaN,NaN,NaN,0.125
-0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,160.0,not_found,false,NaN,NaN,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,120.0,ambiguous,false,120.0,308.60459927221257,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,130.9619140625,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125
0.0,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,20.0,378.4644415241694,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,90.0,ambiguous,false,90.0,360.76650585787263,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,100.0,354.1080146216249,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,106.9599609375,ambiguous,false,106.9599609375,348.3787101797609,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,107.0849609375,not_found,false,NaN,NaN,NaN,NaN,0.125
0.5,memoized_dense,d1e386deb950169b6d5db9cc3dd0617845ee60e8,120.0,not_found,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,130.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,147.0947265625,ambiguous,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,147.2197265625,not_found,false,NaN,NaN,NaN,NaN,0.125
-0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,160.0,not_found,false,NaN,NaN,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,100.0,ambiguous,false,100.0,331.2712272249478,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,120.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,130.9619140625,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125
0.0,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125
0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,5.0,ambiguous,false,5.0,378.93768204560865,NaN,NaN,0.125
0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,60.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125
0.5,production_cascade,d1e386deb950169b6d5db9cc3dd0617845ee60e8,90.0,ambiguous,false,90.0,360.7664094865757,NaN,NaN,0.125
