xi,method,calculation_sha,anchor_T_MeV,result_status,found,T_last_first_order_MeV,muq_last_first_order_MeV,T_first_monotone_MeV,ambiguity_width_T_MeV,temperature_resolution_target_MeV,standard_oracle_status,deep_oracle_status,final_oracle_status,oracle_source
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,5.0,ambiguous,false,5.0,331.5505602459964,NaN,NaN,0.125,ambiguous,confirmed_first_order,ambiguous,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,ambiguous,confirmed_first_order,ambiguous,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,60.0,ambiguous,false,60.0,322.2141648464248,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,100.0,ambiguous,false,100.0,294.05288963603493,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,130.0,ambiguous,false,130.0,245.59254070805054,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,147.0947265625,ambiguous,false,147.0947265625,202.24673663430752,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,147.2197265625,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,160.0,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,ambiguous,confirmed_first_order,ambiguous,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,20.0,ambiguous,false,20.0,360.39784304787133,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,60.0,ambiguous,false,60.0,353.4343584491875,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,100.0,ambiguous,false,100.0,331.2714274236549,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,120.0,ambiguous,false,120.0,308.60458458322216,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,130.9619140625,ambiguous,false,130.9619140625,291.2621803649386,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,5.0,ambiguous,false,5.0,378.938538500733,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,20.0,ambiguous,false,20.0,378.4644988096019,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,60.0,ambiguous,false,60.0,372.80976224202766,NaN,NaN,0.125,ambiguous,,ambiguous,standard
