xi,T_MeV,cap,level,rho_low,rho_high,width,drop_mu,negative_secants
-0.5,5.0,12,coarse,0.1,1.8625,1.7625,71.74191000000002,141
-0.5,5.0,12,fine,0.10625,1.8625,1.75625,71.745836,281
-0.5,20.0,12,coarse,0.15,1.8625,1.7125000000000001,69.62668199999996,137
-0.5,20.0,12,fine,0.15,1.86875,1.71875,69.62724799999995,275
-0.5,60.0,12,coarse,0.35,1.9375,1.5875,55.18242600000002,127
-0.5,60.0,12,fine,0.34375,1.9375,1.59375,55.18416100000002,255
-0.5,100.0,12,coarse,0.7,2.1875,1.4875,31.486936000000014,119
-0.5,100.0,12,fine,0.7,2.1875,1.4875,31.486936000000014,238
-0.5,130.0,12,coarse,1.3,2.4875,1.1874999999999998,9.713481000000002,95
-0.5,130.0,12,fine,1.3,2.4875,1.1874999999999998,9.713481000000002,190
-0.5,147.0947265625,12,coarse,2.2125,2.25,0.03750000000000009,0.00021999999998456587,3
-0.5,147.0947265625,12,fine,2.2125,2.24375,0.03125,0.00022200000000793807,5
0.0,5.0,12,coarse,0.2375,1.8875,1.65,32.03488500000003,132
0.0,5.0,12,fine,0.23125,1.8875,1.65625,32.03671800000001,265
0.0,20.0,12,coarse,0.2625,1.8875,1.625,31.160032,130
0.0,20.0,12,fine,0.2625,1.89375,1.63125,31.16143500000004,261
0.0,60.0,12,coarse,0.4625,1.9375,1.475,23.451922999999965,118
0.0,60.0,12,fine,0.4625,1.94375,1.4812500000000002,23.45198399999998,237
0.0,100.0,12,coarse,0.8625,2.1,1.2375,10.252019999999959,99
0.0,100.0,12,fine,0.8625,2.10625,1.2437500000000001,10.252274,199
0.0,120.0,12,coarse,1.3,2.2,0.9000000000000001,2.8713300000000004,72
0.0,120.0,12,fine,1.29375,2.2,0.9062500000000002,2.8716340000000287,145
0.0,130.9619140625,12,coarse,1.9125,1.9875,0.07499999999999996,0.0018530000000396285,6
0.0,130.9619140625,12,fine,1.90625,1.99375,0.08749999999999991,0.0018880000000081054,14
0.5,5.0,12,coarse,0.4125,1.7375,1.3250000000000002,11.108631000000003,106
0.5,5.0,12,fine,0.40625,1.7375,1.33125,11.108743000000004,213
0.5,20.0,12,coarse,0.425,1.7375,1.3125,10.684082999999987,105
0.5,20.0,12,fine,0.43125,1.74375,1.3125,10.685347000000036,210
0.5,60.0,12,coarse,0.6375,1.7625,1.125,6.706289999999967,90
0.5,60.0,12,fine,0.6375,1.75625,1.1187500000000001,6.706369999999993,179
0.5,90.0,12,coarse,0.9875,1.775,0.7874999999999999,2.0169219999999655,63
0.5,90.0,12,fine,0.98125,1.775,0.79375,2.0170569999999657,127
0.5,100.0,12,coarse,1.2,1.75,0.55,0.60361800000004,44
0.5,100.0,12,fine,1.19375,1.74375,0.5499999999999998,0.6040100000000166,88
0.5,106.9599609375,12,coarse,1.5125,1.575,0.0625,0.0012150000000019645,5
0.5,106.9599609375,12,fine,1.50625,1.58125,0.07499999999999996,0.0012459999999805405,12
-0.5,5.0,24,coarse,0.1,1.8625,1.7625,71.74191000000002,141
-0.5,5.0,24,fine,0.10625,1.8625,1.75625,71.745836,281
-0.5,20.0,24,coarse,0.15,1.8625,1.7125000000000001,69.62668199999996,137
-0.5,20.0,24,fine,0.15,1.86875,1.71875,69.62724799999995,275
-0.5,60.0,24,coarse,0.35,1.9375,1.5875,55.18242600000002,127
-0.5,60.0,24,fine,0.34375,1.9375,1.59375,55.18416100000002,255
-0.5,100.0,24,coarse,0.7,2.1875,1.4875,31.486936000000014,119
-0.5,100.0,24,fine,0.7,2.1875,1.4875,31.486936000000014,238
-0.5,130.0,24,coarse,1.3,2.4875,1.1874999999999998,9.713481000000002,95
-0.5,130.0,24,fine,1.3,2.4875,1.1874999999999998,9.713481000000002,190
-0.5,147.0947265625,24,coarse,2.2125,2.25,0.03750000000000009,0.00021999999998456587,3
-0.5,147.0947265625,24,fine,2.2125,2.24375,0.03125,0.00022200000000793807,5
0.0,5.0,24,coarse,0.2375,1.8875,1.65,32.03488500000003,132
0.0,5.0,24,fine,0.23125,1.8875,1.65625,32.03671800000001,265
0.0,20.0,24,coarse,0.2625,1.8875,1.625,31.160032,130
0.0,20.0,24,fine,0.2625,1.89375,1.63125,31.16143500000004,261
0.0,60.0,24,coarse,0.4625,1.9375,1.475,23.451922999999965,118
0.0,60.0,24,fine,0.4625,1.94375,1.4812500000000002,23.45198399999998,237
0.0,100.0,24,coarse,0.8625,2.1,1.2375,10.252019999999959,99
0.0,100.0,24,fine,0.8625,2.10625,1.2437500000000001,10.252274,199
0.0,120.0,24,coarse,1.3,2.2,0.9000000000000001,2.8713300000000004,72
0.0,120.0,24,fine,1.29375,2.2,0.9062500000000002,2.8716340000000287,145
0.0,130.9619140625,24,coarse,1.9125,1.9875,0.07499999999999996,0.0018530000000396285,6
0.0,130.9619140625,24,fine,1.90625,1.99375,0.08749999999999991,0.0018880000000081054,14
0.5,5.0,24,coarse,0.4125,1.7375,1.3250000000000002,11.108631000000003,106
0.5,5.0,24,fine,0.40625,1.7375,1.33125,11.108743000000004,213
0.5,20.0,24,coarse,0.425,1.7375,1.3125,10.684082999999987,105
0.5,20.0,24,fine,0.43125,1.74375,1.3125,10.685347000000036,210
0.5,60.0,24,coarse,0.6375,1.7625,1.125,6.706289999999967,90
0.5,60.0,24,fine,0.6375,1.75625,1.1187500000000001,6.706369999999993,179
0.5,90.0,24,coarse,0.9875,1.775,0.7874999999999999,2.0169219999999655,63
0.5,90.0,24,fine,0.98125,1.775,0.79375,2.0170569999999657,127
0.5,100.0,24,coarse,1.2,1.75,0.55,0.60361800000004,44
0.5,100.0,24,fine,1.19375,1.74375,0.5499999999999998,0.6040100000000166,88
0.5,106.9599609375,24,coarse,1.5125,1.575,0.0625,0.0012150000000019645,5
0.5,106.9599609375,24,fine,1.50625,1.58125,0.07499999999999996,0.0012459999999805405,12
