xi,method,T_MeV,requests,unique_solve,targeted_additions,cache_hits,residual_calls,jacobian_calls,newton_iterations,trust_region_iterations,fallback_count,governed_rescue_count,retry_count,failure_count,status,mu_transition_MeV,wall_seconds
-0.5,c2_dense_baseline,143.0947265625,641,641,0,0,13670,12147,7051,4082,7,7,0,0,resolved_s_shape,213.40246894877768,117.184730557
-0.5,c2_dense_baseline,144.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,resolved_s_shape,210.66619011744996,7.300130101
-0.5,c2_dense_baseline,145.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,resolved_s_shape,207.894486614159,7.31213081
-0.5,c2_dense_baseline,146.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,resolved_s_shape,205.08798261140475,7.28020325
-0.5,c2_dense_baseline,147.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,resolved_s_shape,202.24667989810612,7.268590047
-0.5,c2_dense_baseline,147.2197265625,641,641,0,0,5128,3846,1282,1282,0,0,0,0,monotone,NaN,5.447423956
-0.5,c2_dense_baseline,147.3447265625,641,641,0,0,5148,3866,1292,1292,0,0,0,0,monotone,NaN,5.479959407
-0.5,c2_dense_baseline,147.5947265625,641,641,0,0,6460,5178,1948,1948,0,0,0,0,monotone,NaN,7.197271933
-0.5,c2_dense_baseline,148.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,monotone,NaN,7.272412646
-0.5,c2_dense_baseline,149.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,monotone,NaN,7.276884264
-0.5,c2_dense_baseline,150.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,monotone,NaN,7.247792606
-0.5,c2_dense_baseline,151.0947265625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,monotone,NaN,7.241948265
0.0,c2_dense_baseline,126.3369140625,641,641,0,0,14565,12722,7951,4200,4,4,0,0,resolved_s_shape,299.0387723528874,195.009874587
0.0,c2_dense_baseline,127.3369140625,641,641,0,0,6330,5048,1883,1883,0,0,0,0,resolved_s_shape,297.41395395655564,7.503294798
0.0,c2_dense_baseline,128.3369140625,641,641,0,0,6332,5050,1884,1884,0,0,0,0,resolved_s_shape,295.7575534426205,7.489621101
0.0,c2_dense_baseline,129.3369140625,641,641,0,0,6336,5054,1886,1886,0,0,0,0,resolved_s_shape,294.07010974016083,7.489742952
0.0,c2_dense_baseline,130.3369140625,641,641,0,0,6338,5056,1887,1887,0,0,0,0,resolved_s_shape,292.35165916789725,7.48041351
0.0,c2_dense_baseline,130.8369140625,641,641,0,0,6410,5128,1923,1923,0,0,0,0,resolved_s_shape,291.48063058147767,7.325225603
0.0,c2_dense_baseline,130.9619140625,641,641,0,0,5128,3846,1282,1282,0,0,0,0,resolved_s_shape,291.26170238625696,5.605660995
0.0,c2_dense_baseline,131.0869140625,641,641,0,0,5128,3846,1282,1282,0,0,0,0,monotone,NaN,5.600522982
0.0,c2_dense_baseline,131.3369140625,641,641,0,0,6340,5058,1888,1888,0,0,0,0,monotone,NaN,7.464049459
0.0,c2_dense_baseline,132.3369140625,641,641,0,0,6356,5074,1896,1896,0,0,0,0,monotone,NaN,7.471967609
0.0,c2_dense_baseline,133.3369140625,641,641,0,0,6394,5112,1915,1915,0,0,0,0,monotone,NaN,7.511660387
0.0,c2_dense_baseline,134.3369140625,641,641,0,0,6408,5126,1922,1922,0,0,0,0,monotone,NaN,7.525716752
