xi,method,stage,curve_role,T_MeV,slice_result_status,slice_s_shape_status,slice_maxwell_status,geometry_converged,rho_level,point_count,rho_min,rho_max,source_run_id,source_calculation_sha,source_curve_file,source_curve_sha256,local_artifact
-0.5,rho_support_cascade,discovery,last_maxwell,147.094726562,ambiguous_near_critical,present,converged,false,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
-0.5,rho_support_cascade,discovery,representative_ambiguous,147.094726562,ambiguous_near_critical,present,converged,false,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
-0.5,rho_support_cascade,discovery,first_monotone,147.219726562,confirmed_monotone,none,not_applicable,true,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
0.0,rho_support_cascade,discovery,last_maxwell,130.961914062,ambiguous_near_critical,present,converged,false,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
0.0,rho_support_cascade,discovery,representative_ambiguous,130.961914062,ambiguous_near_critical,present,converged,false,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
0.0,rho_support_cascade,discovery,first_monotone,131.086914062,confirmed_monotone,none,not_applicable,true,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
0.5,rho_support_cascade,discovery,last_maxwell,106.959960938,ambiguous_near_critical,present,converged,false,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
0.5,rho_support_cascade,discovery,representative_ambiguous,106.959960938,ambiguous_near_critical,present,converged,false,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
0.5,rho_support_cascade,discovery,first_monotone,107.084960938,confirmed_monotone,none,not_applicable,true,1,161,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
-0.5,c2_dense_baseline,validation,last_maxwell,147.094726562,confirmed_first_order,present,converged,true,1,641,0.0,4.0,30339094251,9d325b62ef366f1de70cd3b2a3555e71bd12664a,aggregate/curve_points.csv,3294e66227e4a1b36ffad8abaf254035dcae613805a3e0939ea6ab0c0191852f,D:/Desktop/Julia_RelaxTime_issue130_artifacts/cep_narrow_pilot_v2_20260728/replay_30342409727/curve_points.csv
