target_id,target_kind,xi,target_mu_MeV,mu_lower_bound_MeV,mu_upper_bound_MeV,fraction_from_last_retained,last_retained_T_MeV,T_CEP_bracket_low_MeV,T_CEP_bracket_high_MeV,native_mu_gap_MeV,physical_side,representative_xi,pilot_selection,selection_reason
crossover_xi_m0p5_fraction_1,crossover_mu_endpoint,-0.5,200.64153290896468,198.9442342272965,202.33883159063282,0.5,148.24091990596872,147.0625,147.125,22.104914914144047,crossover_mu_lt_CEP_proxy,True,pilot_candidate,deterministic_internal_fraction
crossover_xi_m0p5_fraction_2,crossover_mu_endpoint,-0.5,201.49018224979875,198.9442342272965,202.33883159063282,0.75,148.24091990596872,147.0625,147.125,22.104914914144047,crossover_mu_lt_CEP_proxy,True,pilot_candidate,deterministic_internal_fraction
crossover_xi_m0p4875_fraction_1,crossover_mu_endpoint,-0.4875,202.48378885680634,199.4923447837141,205.4752329298986,0.5,148.7671446058257,146.6875,146.75,22.16581608707935,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
crossover_xi_m0p4875_fraction_2,crossover_mu_endpoint,-0.4875,203.97951089335248,199.4923447837141,205.4752329298986,0.75,148.7671446058257,146.6875,146.75,22.16581608707935,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
crossover_xi_m0p475_fraction_1,crossover_mu_endpoint,-0.475,204.42594867954574,200.14887264769436,208.70302471139712,0.5,149.2549817311727,146.25,146.3125,22.23876362752162,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
crossover_xi_m0p475_fraction_2,crossover_mu_endpoint,-0.475,206.56448669547143,200.14887264769436,208.70302471139712,0.75,149.2549817311727,146.25,146.3125,22.23876362752162,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
crossover_xi_m0p46875_fraction_1,crossover_mu_endpoint,-0.46875,205.32101693706585,200.44204525953816,210.1999886145935,0.5,149.49890029384622,146.0625,146.125,22.271338362170894,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
crossover_xi_m0p46875_fraction_2,crossover_mu_endpoint,-0.46875,207.76050277582968,200.44204525953816,210.1999886145935,0.75,149.49890029384622,146.0625,146.125,22.271338362170894,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
crossover_xi_m0p4625_fraction_1,crossover_mu_endpoint,-0.4625,206.17504226860706,200.67180026620494,211.6782842710092,0.5,149.7620126437747,145.875,145.9375,22.29686669624502,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
crossover_xi_m0p4625_fraction_2,crossover_mu_endpoint,-0.4625,208.92666326980813,200.67180026620494,211.6782842710092,0.75,149.7620126437747,145.875,145.9375,22.29686669624502,crossover_mu_lt_CEP_proxy,False,full_only,deterministic_internal_fraction
