xi,source_T_min_MeV,display_T_floor_MeV,extension_gap_MeV,extension_method,source_T_second_MeV,source_mu_first_MeV,source_mu_second_MeV,display_mu_floor_MeV,synthetic_row,status
-0.5,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,331.5737237121608,331.53072855499386,331.6812116050782,True,display_extrapolated_noncertified
-0.49375,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,331.9796942390486,331.90497663398133,332.3159234618514,True,display_extrapolated_noncertified
-0.4875,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,332.4872413061902,332.4126546483429,332.82288126650303,True,display_extrapolated_noncertified
-0.48125,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,332.98389117343834,332.9094305733119,333.3189638740073,True,display_extrapolated_noncertified
-0.475,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,333.581454412824,333.5387344100475,333.6882544197652,True,display_extrapolated_noncertified
-0.46875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,334.0700754325636,334.027418836676,334.1767169222826,True,display_extrapolated_noncertified
-0.4625,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,334.4530004436749,334.3789144913302,334.78638722922614,True,display_extrapolated_noncertified
-0.45625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,335.03214163530754,334.9896161078642,335.13845545391587,True,display_extrapolated_noncertified
-0.45,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,335.5058082286873,335.4633434471665,335.61197018248924,True,display_extrapolated_noncertified
-0.44375,11.0,0.0,11.0,linear_T_from_first_two_native_rows,13.0,335.7984826457515,335.70809566680373,336.2956110299643,True,display_extrapolated_noncertified
-0.4375,11.0,0.0,11.0,linear_T_from_first_two_native_rows,13.0,336.2652986276956,336.1750603514561,336.7616091470126,True,display_extrapolated_noncertified
-0.43125,11.0,0.0,11.0,linear_T_from_first_two_native_rows,13.0,336.72294438061465,336.6328498530255,337.21846428235494,True,display_extrapolated_noncertified
-0.425,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,337.3536900096876,337.31146659830546,337.459248538143,True,display_extrapolated_noncertified
-0.41875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,337.8022819152138,337.76011898030976,337.90768925247403,True,display_extrapolated_noncertified
-0.4125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,338.25087382074,338.20877136231405,338.35612996680493,True,display_extrapolated_noncertified
-0.40625,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,338.64896846652687,338.5917269187196,338.84931388385235,True,display_extrapolated_noncertified
-0.4,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,339.0891655707396,339.0320034161527,339.2892331117939,True,display_extrapolated_noncertified
-0.39375,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,339.5212301353392,339.4641460479717,339.7210244411253,True,display_extrapolated_noncertified
-0.3875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,339.99517828371086,339.9532946999387,340.0998872431413,True,display_extrapolated_noncertified
-0.38125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,340.4193643759281,340.37753425644553,340.5239396746346,True,display_extrapolated_noncertified
-0.375,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,340.8435504681454,340.8017738129523,340.9479921061281,True,display_extrapolated_noncertified
-0.36875,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,341.21847327808854,341.1616923311627,341.41720659232885,True,display_extrapolated_noncertified
-0.3625,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,341.63517274322476,341.5784643271261,341.8336521995701,True,display_extrapolated_noncertified
