path,line,token,classification,role,snippet
.github/workflows/pnjl-phase-diagram.yml,102,data/reference/pnjl/boundary.csv,active_repository_contract,legacy_input,--boundary data/reference/pnjl/boundary.csv
.github/workflows/pnjl-phase-diagram.yml,103,data/reference/pnjl/spinodals.csv,active_repository_contract,legacy_input,--spinodal data/reference/pnjl/spinodals.csv
.github/workflows/pnjl-phase-diagram.yml,111,data/reference/pnjl/boundary.csv,active_repository_contract,legacy_input,--boundary data/reference/pnjl/boundary.csv \
.github/workflows/pnjl-phase-diagram.yml,112,data/reference/pnjl/cep.csv,active_repository_contract,legacy_input,--cep data/reference/pnjl/cep.csv \
.github/workflows/pnjl-phase-diagram.yml,113,data/reference/pnjl/spinodals.csv,active_repository_contract,legacy_input,--spinodal data/reference/pnjl/spinodals.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,92,legacy_phase_reference_v1,active_repository_contract,historical_snapshot_input,cp -R data/reference/pnjl/legacy_phase_reference_v1 calculation/data/reference/pnjl/
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,94,legacy_phase_reference_v1,active_repository_contract,historical_snapshot_input,test -f calculation/data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,106,legacy_phase_reference_v1,active_repository_contract,historical_snapshot_input,data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,107,legacy_phase_reference_v1,active_repository_contract,historical_snapshot_input,data/reference/pnjl/legacy_phase_reference_v1/boundary.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,108,legacy_phase_reference_v1,active_repository_contract,historical_snapshot_input,data/reference/pnjl/legacy_phase_reference_v1/cep.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,109,legacy_phase_reference_v1,active_repository_contract,historical_snapshot_input,data/reference/pnjl/legacy_phase_reference_v1/crossover_dense.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,110,legacy_phase_reference_v1,active_repository_contract,historical_snapshot_input,"data/reference/pnjl/legacy_phase_reference_v1/spinodals.csv > ""$root/provenance/input_hashes.sha256"""
config/governance/task_tracks.toml,471,legacy_phase_reference_v1,active_governance,legacy_path_contract,"""file:data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json"","
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,11,--phase-reference-mode legacy,other_reference,visualization_or_validation,- legacy fallback: retained; explicit rollback is `--phase-reference-mode legacy`
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,36,--phase-reference-mode legacy,other_reference,visualization_or_validation,"""explicit_rollback"": ""--phase-reference-mode legacy"","
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,11,--phase-reference-mode legacy,other_reference,visualization_or_validation,- legacy fallback: retained; explicit rollback is `--phase-reference-mode legacy`
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,36,--phase-reference-mode legacy,other_reference,visualization_or_validation,"""explicit_rollback"": ""--phase-reference-mode legacy"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,308,data/reference/pnjl/boundary.csv,other_reference,legacy_path_contract,"""path"": ""data/reference/pnjl/boundary.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,313,data/reference/pnjl/cep.csv,other_reference,legacy_path_contract,"""path"": ""data/reference/pnjl/cep.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,318,data/reference/pnjl/spinodals.csv,other_reference,legacy_path_contract,"""path"": ""data/reference/pnjl/spinodals.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,323,data/reference/pnjl/crossover_dense.csv,other_reference,legacy_path_contract,"""path"": ""data/reference/pnjl/crossover_dense.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,328,data/reference/pnjl/phase_reference_dense_manifest.json,other_reference,legacy_path_contract,"""path"": ""data/reference/pnjl/phase_reference_dense_manifest.json"","
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,5,legacy_phase_reference_v1,snapshot_metadata,legacy_path_contract,"""snapshot_root"": ""data/reference/pnjl/legacy_phase_reference_v1"","
