table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
boundary,2,"{""T_MeV"":50.0,""xi"":-0.5}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,3,"{""T_MeV"":70.0,""xi"":-0.5}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,4,"{""T_MeV"":90.0,""xi"":-0.5}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,5,"{""T_MeV"":110.0,""xi"":-0.5}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,6,"{""T_MeV"":130.0,""xi"":-0.5}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,7,"{""T_MeV"":50.0,""xi"":-0.4}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,8,"{""T_MeV"":70.0,""xi"":-0.4}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,9,"{""T_MeV"":90.0,""xi"":-0.4}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,10,"{""T_MeV"":110.0,""xi"":-0.4}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,11,"{""T_MeV"":130.0,""xi"":-0.4}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,12,"{""T_MeV"":50.0,""xi"":-0.3}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,13,"{""T_MeV"":70.0,""xi"":-0.3}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,14,"{""T_MeV"":90.0,""xi"":-0.3}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,15,"{""T_MeV"":110.0,""xi"":-0.3}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,16,"{""T_MeV"":130.0,""xi"":-0.3}",True,False,0.0,accepted_primary_exact,exact_accepted_key
boundary,17,"{""T_MeV"":50.0,""xi"":-0.2}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,18,"{""T_MeV"":70.0,""xi"":-0.2}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,19,"{""T_MeV"":90.0,""xi"":-0.2}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,20,"{""T_MeV"":110.0,""xi"":-0.2}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,21,"{""T_MeV"":130.0,""xi"":-0.2}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,22,"{""T_MeV"":50.0,""xi"":-0.1}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,23,"{""T_MeV"":70.0,""xi"":-0.1}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,24,"{""T_MeV"":90.0,""xi"":-0.1}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,25,"{""T_MeV"":110.0,""xi"":-0.1}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,26,"{""T_MeV"":130.0,""xi"":-0.1}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,27,"{""T_MeV"":50.0,""xi"":0.0}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,28,"{""T_MeV"":70.0,""xi"":0.0}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,29,"{""T_MeV"":90.0,""xi"":0.0}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,30,"{""T_MeV"":110.0,""xi"":0.0}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,31,"{""T_MeV"":130.0,""xi"":0.0}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,32,"{""T_MeV"":50.0,""xi"":0.1}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,33,"{""T_MeV"":70.0,""xi"":0.1}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,34,"{""T_MeV"":90.0,""xi"":0.1}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,35,"{""T_MeV"":110.0,""xi"":0.1}",True,True,0.0,accepted_primary_exact,exact_accepted_key
boundary,36,"{""T_MeV"":50.0,""xi"":0.2}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,37,"{""T_MeV"":70.0,""xi"":0.2}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
boundary,38,"{""T_MeV"":90.0,""xi"":0.2}",False,False,1.0,accepted_key_grid_differs_from_legacy,nearest_accepted_support
