candidate_table,legacy_contract,candidate_columns,missing_legacy_fields,direct_compatible,verdict
data/reference/pnjl/issue130_phase_reference_v1/strict/tables/maxwell_surface_strict_reference_v1.csv,boundary.csv,22,mu_transition_MeV,False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/strict/tables/crossover_surface_strict_reference_v1.csv,crossover_dense.csv,12,"T_crossover_MeV,converged,derivative,method,variable",False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/strict/tables/spinodal_surface_strict_reference_v1.csv,spinodals.csv,9,"rho_spinodal_hadron,rho_spinodal_quark",False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/strict/tables/cep_boundary_strict_reference_v1.csv,cep.csv,10,"T_CEP_MeV,muB_CEP_MeV,muq_CEP_MeV",False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/derived/tables/maxwell_surface_derived_reference_v1.csv,boundary.csv,17,mu_transition_MeV,False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/derived/tables/crossover_surface_derived_reference_v1.csv,crossover_dense.csv,16,"T_crossover_MeV,converged,derivative,method,variable",False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/derived/tables/spinodal_surface_derived_reference_v1.csv,spinodals.csv,15,"rho_spinodal_hadron,rho_spinodal_quark",False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/derived/tables/cep_boundary_derived_reference_v1.csv,cep.csv,13,"T_CEP_MeV,muB_CEP_MeV,muq_CEP_MeV",False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/render/tables/maxwell_surface_render.csv,boundary.csv,17,mu_transition_MeV,False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/render/tables/crossover_surface_render.csv,crossover_dense.csv,16,"T_crossover_MeV,converged,derivative,method,variable",False,requires_adapter
data/reference/pnjl/issue130_phase_reference_v1/render/tables/cep_boundary_render.csv,cep.csv,13,"T_CEP_MeV,muB_CEP_MeV,muq_CEP_MeV",False,requires_adapter
