muB_MeV,xi,mode,alpha_T,T_MeV_candidate,T_MeV_legacy,delta_T_MeV,phase_kind_match,phase_structure_match,max_transport_relative_diff
150.0,-0.5,mode_a_fixed_muB_phase_scaled,1.0,198.2066818967471,198.12550509377107,0.08117680297604579,True,True,0.001583577039093231
150.0,-0.5,mode_a_fixed_muB_phase_scaled,1.2,237.84801827609652,237.75060611252528,0.09741216357124927,True,True,0.0032431476822957083
150.0,0.0,mode_a_fixed_muB_phase_scaled,1.0,198.2066818967471,198.12550509377107,0.08117680297604579,True,True,0.007898015404039192
150.0,0.0,mode_a_fixed_muB_phase_scaled,1.2,237.84801827609652,237.75060611252528,0.09741216357124927,True,True,0.0014889009297705284
150.0,0.5,mode_a_fixed_muB_phase_scaled,1.0,198.2066818967471,198.12550509377107,0.08117680297604579,True,True,0.005124401658606875
150.0,0.5,mode_a_fixed_muB_phase_scaled,1.2,237.84801827609652,237.75060611252528,0.09741216357124927,True,True,0.0012577831401094615
450.0,-0.5,mode_a_fixed_muB_phase_scaled,1.0,182.76306553605758,182.76306553605758,0.0,True,True,0.0
450.0,-0.5,mode_a_fixed_muB_phase_scaled,1.2,219.31567864326908,219.31567864326908,0.0,True,True,0.0
450.0,0.0,mode_a_fixed_muB_phase_scaled,1.0,182.76306553605758,182.76306553605758,0.0,True,True,0.0
450.0,0.0,mode_a_fixed_muB_phase_scaled,1.2,219.31567864326908,219.31567864326908,0.0,True,True,0.0
450.0,0.5,mode_a_fixed_muB_phase_scaled,1.0,182.76306553605758,182.76306553605758,0.0,True,True,0.0
450.0,0.5,mode_a_fixed_muB_phase_scaled,1.2,219.31567864326908,219.31567864326908,0.0,True,True,0.0
900.0,-0.003,mode_a_fixed_muB_phase_scaled,1.0,125.73725802686799,125.73725803129287,-4.4248764652365935e-09,True,True,4.63882420442093e-06
900.0,-0.5,mode_a_fixed_muB_phase_scaled,1.0,125.73725802686799,125.73725803129287,-4.4248764652365935e-09,True,True,1.5135485435965914e-10
900.0,-0.5,mode_a_fixed_muB_phase_scaled,1.2,150.8847096322416,150.88470963755142,-5.309829020916368e-09,True,True,2.3158262152507317e-07
900.0,0.0,mode_a_fixed_muB_phase_scaled,1.2,150.8847096322416,150.88470963755142,-5.309829020916368e-09,True,True,2.309904832637921e-07
900.0,0.003,mode_a_fixed_muB_phase_scaled,1.0,125.73725802686799,125.73725803129287,-4.4248764652365935e-09,True,True,1.9755525106955804e-09
900.0,0.5,mode_a_fixed_muB_phase_scaled,1.0,125.73725802686799,125.73725803129287,-4.4248764652365935e-09,True,True,1.6667149879555714e-06
900.0,0.5,mode_a_fixed_muB_phase_scaled,1.2,150.8847096322416,150.88470963755142,-5.309829020916368e-09,True,True,7.819169254653384e-06
