xi,T_MeV,c2_unresolved_row_count,c2_reasons,c2_levels,reason_class
-0.5,5.0,1,ok,0,unresolved_unclassified
-0.5,7.0,1,ok,0,unresolved_unclassified
-0.5,9.0,1,ok,0,unresolved_unclassified
-0.5,11.0,1,ok,0,unresolved_unclassified
-0.5,13.0,1,ok,0,unresolved_unclassified
-0.5,15.0,1,ok,0,unresolved_unclassified
-0.5,17.0,1,ok,0,unresolved_unclassified
-0.5,19.0,1,ok,0,unresolved_unclassified
-0.5,21.0,1,ok,0,unresolved_unclassified
-0.5,23.0,1,ok,0,unresolved_unclassified
-0.5,25.0,1,ok,0,unresolved_unclassified
-0.5,27.0,1,ok,0,unresolved_unclassified
-0.5,29.0,1,ok,0,unresolved_unclassified
-0.5,31.0,1,ok,0,unresolved_unclassified
-0.5,33.0,1,ok,0,unresolved_unclassified
-0.4875,7.0,1,ok,0,unresolved_unclassified
-0.4875,9.0,1,ok,0,unresolved_unclassified
-0.4875,11.0,1,ok,0,unresolved_unclassified
-0.4875,13.0,1,ok,0,unresolved_unclassified
-0.4875,15.0,1,ok,0,unresolved_unclassified
-0.4875,17.0,1,ok,0,unresolved_unclassified
-0.4875,19.0,1,ok,0,unresolved_unclassified
-0.4875,21.0,1,ok,0,unresolved_unclassified
-0.4875,23.0,1,ok,0,unresolved_unclassified
-0.4875,25.0,1,ok,0,unresolved_unclassified
-0.4875,27.0,1,ok,0,unresolved_unclassified
-0.4875,29.0,1,ok,0,unresolved_unclassified
-0.4875,31.0,1,ok,0,unresolved_unclassified
-0.4875,33.0,1,ok,0,unresolved_unclassified
-0.4875,55.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4875,146.6875,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.475,7.0,1,ok,0,unresolved_unclassified
-0.475,9.0,1,ok,0,unresolved_unclassified
-0.475,11.0,1,ok,0,unresolved_unclassified
-0.475,13.0,1,ok,0,unresolved_unclassified
-0.475,15.0,1,ok,0,unresolved_unclassified
-0.475,17.0,1,ok,0,unresolved_unclassified
-0.475,19.0,1,ok,0,unresolved_unclassified
-0.475,21.0,1,ok,0,unresolved_unclassified
-0.475,23.0,1,ok,0,unresolved_unclassified
-0.475,25.0,1,ok,0,unresolved_unclassified
-0.475,27.0,1,ok,0,unresolved_unclassified
-0.475,29.0,1,ok,0,unresolved_unclassified
-0.475,31.0,1,ok,0,unresolved_unclassified
-0.475,33.0,1,ok,0,unresolved_unclassified
-0.475,53.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.475,71.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.475,121.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.46875,7.0,1,ok,0,unresolved_unclassified
-0.46875,9.0,1,ok,0,unresolved_unclassified
-0.46875,11.0,1,ok,0,unresolved_unclassified
-0.46875,13.0,1,ok,0,unresolved_unclassified
-0.46875,15.0,1,ok,0,unresolved_unclassified
-0.46875,17.0,1,ok,0,unresolved_unclassified
-0.46875,19.0,1,ok,0,unresolved_unclassified
-0.46875,21.0,1,ok,0,unresolved_unclassified
