surface,xi,mu_MeV,T_MeV,rho,layer,status,interpolation_method,source_key_left,source_key_right,source_keys,distance_to_source_MeV,mu_CEP_proxy_MeV,T_CEP_bracket_low_MeV,T_CEP_bracket_high_MeV,boundary_relation,physical_region,error_estimate,source_layer,calculation_sha,v6_manifest_hash
crossover,-0.49375,0.0,181.17074299387144,0.0,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,5.526228728536013,181.07369013551505,0.10157183903539889,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,11.052457457072027,180.97663727715866,0.20314367807079778,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,16.578686185608042,180.87958441880227,0.3047155171061967,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,22.104914914144054,180.78253156044588,0.40628735614159556,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=0|xi=-0.5;mu_MeV=22.1049149141|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,22.120140207377876,180.78199894308642,0.40656273629434414,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,22.135365500611698,180.78146632572697,0.4068381164470928,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,22.150590793845524,180.7809337083675,0.4071134965998414,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,22.165816087079346,180.78040109100806,0.40738887675258995,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283,xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283|xi=-0.4875;mu_MeV=0|xi=-0.4875;mu_MeV=22.1658160871,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.49375,27.676819522381535,180.48892472460923,0.5054096993093038,interpolated_noncertified,derived_internal_xi,piecewise_linear_common_xi_support,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283,xi=-0.4875;mu_MeV=22.1658160871|xi=-0.4875;mu_MeV=44.3316321742,xi=-0.5;mu_MeV=22.1049149141|xi=-0.5;mu_MeV=44.2098298283|xi=-0.4875;mu_MeV=22.1658160871|xi=-0.4875;mu_MeV=44.3316321742,0.0062500000000000056,203.9070322602657,146.875,146.9375,inside_common_CEP_boundary,crossover_common_native_support,not_estimated_linear_interpolation,v6_adjacent_xi_slices,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
