xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.5,5.0,372.76017116838176,301.013810557583,0.10507930457909585,1.860750943340339,5.0,5.0
-0.5,7.0,372.61304434848984,300.99609593696607,0.10822055202421359,1.86105000939814,7.0,7.0
-0.5,9.0,372.41071027469235,300.9716519508826,0.11257395744692997,1.861462694603991,9.0,9.0
-0.5,11.0,372.15190782062257,300.940042756925,0.11792391600645913,1.8619960254268964,11.0,11.0
-0.5,13.0,371.83720002993664,300.90081805639255,0.12409138978101134,1.862657007580383,13.0,13.0
-0.5,15.0,371.4683924406324,300.85351147665233,0.1308805932094315,1.8634526129421674,15.0,15.0
-0.5,19.0,370.57766402738747,300.7326936679738,0.14571543360451678,1.8654754236835842,19.0,19.0
-0.5,21.0,370.0600261633574,300.65815837630095,0.15358956943391683,1.8667306838656093,21.0,21.0
-0.5,23.0,369.49695288702907,300.5734463608277,0.16176120433002122,1.8681515368393569,23.0,23.0
-0.5,25.0,368.8898174649333,300.47798034852525,0.17009066135082623,1.8697428885489216,25.0,25.0
-0.5,27.0,368.239682270819,300.37113553768467,0.17857837314108205,1.87151183027754,27.0,27.0
-0.5,29.0,367.5476785320644,300.2522585721741,0.18730229713549149,1.8734859959426182,29.0,29.0
-0.5,31.0,366.8143335160914,300.1206142379687,0.19612111366131077,1.8756579664911086,31.0,31.0
-0.5,33.0,366.03994174774954,299.9754679915048,0.20514470423966064,1.8780307644797885,33.0,33.0
-0.5,35.0,365.22486893154917,299.81603185620355,0.2142960419485311,1.8806435594641004,35.0,35.0
-0.5,37.0,364.36889431683437,299.6414318803652,0.22361997636648767,1.883475010064757,37.0,37.0
-0.5,39.0,363.4719688102487,299.45079524343527,0.23309749128307752,1.8865598676552233,39.0,39.0
-0.5,41.0,362.5335373813247,299.2431421339918,0.24272580317851628,1.8898871740179437,41.0,41.0
-0.5,43.0,361.5531348698171,299.0174678858619,0.2525591091004271,1.8934967529051634,43.0,43.0
-0.5,45.0,360.53000720185304,298.7726916425806,0.26259628736197915,1.8973830753401841,45.0,45.0
-0.5,47.0,359.46328452407744,298.50767023101923,0.2728075806390611,1.9015678804204055,47.0,47.0
-0.5,49.0,358.3519476579963,298.22118418786005,0.2832470570184497,1.9060732043077533,49.0,49.0
-0.5,51.0,357.19485953741355,297.9119431446776,0.2939316340861695,1.9108975650109659,51.0,51.0
-0.5,53.0,355.9907221659737,297.57857725902574,0.3048333383125263,1.9160757582359595,53.0,53.0
-0.5,55.0,354.73814065354816,297.2196287436009,0.3160193759587202,1.9216170378863706,55.0,55.0
-0.5,57.0,353.4355636768497,296.83355121837866,0.32748345497411263,1.927542112842308,57.0,57.0
-0.5,59.0,352.0813416053012,296.41870351178125,0.3392492514343895,1.933871896845983,59.0,59.0
-0.5,61.0,350.67370410841005,295.9733443016263,0.351348938784935,1.9406273398326739,61.0,61.0
