xi,last_crossover_mu_MeV,cep_mu_MeV,last_crossover_T_MeV,cep_T_midpoint_MeV,delta_mu_MeV,delta_T_MeV,closure_status
-0.5,201.49018224979875,202.33883159063282,147.35717798432486,147.09375,0.8486493408340721,-0.2634279843248635,added_boundary_constrained_display_endpoint
-0.49375,201.49018224979875,203.9070322602657,147.72017481693928,146.90625,2.416850010466959,-0.8139248169392772,added_boundary_constrained_display_endpoint
-0.4875,203.97951089335248,205.4752329298986,147.21848069255034,146.71875,1.4957220365461126,-0.49973069255034375,added_boundary_constrained_display_endpoint
-0.48125,203.97951089335248,207.08912882064786,147.57504179464706,146.5,3.109617927295375,-1.0750417946470634,added_boundary_constrained_display_endpoint
-0.475,206.56448669547143,208.70302471139712,147.01921796707117,146.28125,2.1385380159256897,-0.737967967071171,added_boundary_constrained_display_endpoint
-0.46875,207.76050277582968,210.1999886145935,146.94241430516476,146.09375,2.4394858387638294,-0.8486643051647604,added_boundary_constrained_display_endpoint
-0.4625,208.92666326980813,211.6782842710092,146.87735677147194,145.90625,2.751621001201073,-0.9711067714719377,added_boundary_constrained_display_endpoint
-0.45625,210.10864072081992,213.13842596736504,146.7928346408509,145.71875,3.029785246545117,-1.0740846408509128,added_boundary_constrained_display_endpoint
-0.45,211.26154856887658,214.58090311276464,146.72276030833447,145.53125,3.3193545438880676,-1.1915103083344718,added_boundary_constrained_display_endpoint
-0.44375,211.26154856887658,216.08057101017764,147.05965710864183,145.3125,4.819022441301058,-1.7471571086418294,added_boundary_constrained_display_endpoint
-0.4375,213.6249739748473,217.58023890759063,146.53953831172444,145.09375,3.9552649327433187,-1.445788311724442,added_boundary_constrained_display_endpoint
-0.43125,213.6249739748473,218.96338057008046,146.867006895531,144.90625,5.3384065952331525,-1.9607568955310057,added_boundary_constrained_display_endpoint
-0.425,215.86294517588087,220.3465222325703,146.3741779466507,144.71875,4.483577056689427,-1.6554279466506898,added_boundary_constrained_display_endpoint
-0.41875,215.86294517588087,221.6986804571135,146.6992268423813,144.53125,5.835735281232644,-2.1679768423813073,added_boundary_constrained_display_endpoint
-0.4125,218.02576008435358,223.05083868165676,146.22823299654408,144.34375,5.025078597303178,-1.8844829965440795,added_boundary_constrained_display_endpoint
-0.40625,218.02576008435358,224.3734949828725,146.5457386837068,144.15625,6.347734898518922,-2.3894886837067872,added_boundary_constrained_display_endpoint
-0.4,220.1354882986771,225.69615128408822,146.07868337342094,143.96875,5.560662985411113,-2.109933373420944,added_boundary_constrained_display_endpoint
