method,xi,T_MeV,rho,muq_MeV,rho_level,sampling_role
independent_oracle,-0.5,5.0,0.0,317.797193,0,coarse_grid
independent_oracle,-0.5,5.0,0.00625,368.325991,0,coarse_grid
independent_oracle,-0.5,5.0,0.0125,369.581514,0,coarse_grid
independent_oracle,-0.5,5.0,0.01875,370.333753,0,coarse_grid
independent_oracle,-0.5,5.0,0.025,370.868491,0,coarse_grid
independent_oracle,-0.5,5.0,0.03125,371.276687,0,coarse_grid
independent_oracle,-0.5,5.0,0.0375,371.599759,0,coarse_grid
independent_oracle,-0.5,5.0,0.04375,371.860409,0,coarse_grid
independent_oracle,-0.5,5.0,0.05,372.072619,0,coarse_grid
independent_oracle,-0.5,5.0,0.05625,372.245713,0,coarse_grid
independent_oracle,-0.5,5.0,0.0625,372.386287,0,coarse_grid
independent_oracle,-0.5,5.0,0.06875,372.499215,0,coarse_grid
independent_oracle,-0.5,5.0,0.075,372.588227,0,coarse_grid
independent_oracle,-0.5,5.0,0.08125,372.656256,0,coarse_grid
independent_oracle,-0.5,5.0,0.0875,372.705663,0,coarse_grid
independent_oracle,-0.5,5.0,0.09375,372.738382,0,coarse_grid
independent_oracle,-0.5,5.0,0.1,372.756025,0,coarse_grid
independent_oracle,-0.5,5.0,0.10625,372.759951,0,coarse_grid
independent_oracle,-0.5,5.0,0.1125,372.751321,0,coarse_grid
independent_oracle,-0.5,5.0,0.11875,372.731136,0,coarse_grid
independent_oracle,-0.5,5.0,0.125,372.700268,0,coarse_grid
independent_oracle,-0.5,5.0,0.13125,372.659479,0,coarse_grid
independent_oracle,-0.5,5.0,0.1375,372.609443,0,coarse_grid
independent_oracle,-0.5,5.0,0.14375,372.550761,0,coarse_grid
independent_oracle,-0.5,5.0,0.15,372.483965,0,coarse_grid
independent_oracle,-0.5,5.0,0.15625,372.409539,0,coarse_grid
independent_oracle,-0.5,5.0,0.1625,372.327913,0,coarse_grid
independent_oracle,-0.5,5.0,0.16875,372.239482,0,coarse_grid
independent_oracle,-0.5,5.0,0.175,372.144603,0,coarse_grid
independent_oracle,-0.5,5.0,0.18125,372.043601,0,coarse_grid
independent_oracle,-0.5,5.0,0.1875,371.936775,0,coarse_grid
independent_oracle,-0.5,5.0,0.19375,371.824399,0,coarse_grid
independent_oracle,-0.5,5.0,0.2,371.706725,0,coarse_grid
independent_oracle,-0.5,5.0,0.20625,371.583988,0,coarse_grid
independent_oracle,-0.5,5.0,0.2125,371.456403,0,coarse_grid
independent_oracle,-0.5,5.0,0.21875,371.324171,0,coarse_grid
independent_oracle,-0.5,5.0,0.225,371.187478,0,coarse_grid
independent_oracle,-0.5,5.0,0.23125,371.046498,0,coarse_grid
independent_oracle,-0.5,5.0,0.2375,370.901393,0,coarse_grid
independent_oracle,-0.5,5.0,0.24375,370.752316,0,coarse_grid
independent_oracle,-0.5,5.0,0.25,370.599409,0,coarse_grid
independent_oracle,-0.5,5.0,0.25625,370.442805,0,coarse_grid
independent_oracle,-0.5,5.0,0.2625,370.28263,0,coarse_grid
independent_oracle,-0.5,5.0,0.26875,370.119003,0,coarse_grid
independent_oracle,-0.5,5.0,0.275,369.952035,0,coarse_grid
independent_oracle,-0.5,5.0,0.28125,369.781831,0,coarse_grid
independent_oracle,-0.5,5.0,0.2875,369.608491,0,coarse_grid
independent_oracle,-0.5,5.0,0.29375,369.432109,0,coarse_grid
independent_oracle,-0.5,5.0,0.3,369.252775,0,coarse_grid
independent_oracle,-0.5,5.0,0.30625,369.070573,0,coarse_grid
independent_oracle,-0.5,5.0,0.3125,368.885584,0,coarse_grid
independent_oracle,-0.5,5.0,0.31875,368.697884,0,coarse_grid
independent_oracle,-0.5,5.0,0.325,368.507547,0,coarse_grid
independent_oracle,-0.5,5.0,0.33125,368.314641,0,coarse_grid
independent_oracle,-0.5,5.0,0.3375,368.119233,0,coarse_grid
independent_oracle,-0.5,5.0,0.34375,367.921385,0,coarse_grid
independent_oracle,-0.5,5.0,0.35,367.721158,0,coarse_grid
independent_oracle,-0.5,5.0,0.35625,367.51861,0,coarse_grid
independent_oracle,-0.5,5.0,0.3625,367.313796,0,coarse_grid
independent_oracle,-0.5,5.0,0.36875,367.106767,0,coarse_grid
independent_oracle,-0.5,5.0,0.375,366.897576,0,coarse_grid
independent_oracle,-0.5,5.0,0.38125,366.68627,0,coarse_grid
independent_oracle,-0.5,5.0,0.3875,366.472895,0,coarse_grid
independent_oracle,-0.5,5.0,0.39375,366.257496,0,coarse_grid
independent_oracle,-0.5,5.0,0.4,366.040116,0,coarse_grid
