channel,xi,t_probe_MeV,re_full,im_full,re_indirect,im_indirect,re_direct,im_direct,k0,gamma,Phi,Phibar
pi,-0.3,196.0,1.0960576284548158,-0.0,1.0972791001378095,-0.0,-0.0012214716829936911,0.0,0.7375558574766782,0.0,0.6130357263337232,0.613035726333723
K,-0.3,195.0,1.2354100198359517,-1.649049515796016e-17,1.2374593961121203,-1.6606838216253697e-17,-0.002049376276168635,1.1634305829353806e-19,2.515054243246489,8.005192584384514e-17,0.608273919910902,0.6082739199109019
pi,-0.15,202.0,1.076599864093891,-0.0,1.0773079609875045,-0.0,-0.0007080968936135079,0.0,0.7939586995527623,0.0,0.6279133279225515,0.6279133279225515
K,-0.15,201.0,1.2199729429304849,-1.6447615984475516e-13,1.2210748951850297,-1.6509049918823122e-13,-0.0011019522545447913,6.143393434760633e-16,2.5189379773545646,8.087165559319891e-13,0.6233616564621466,0.6233616564621466
pi,0.0,207.0,1.0579687606267816,-0.0,1.0579687606267816,-0.0,0.0,0.0,0.8371146006376569,0.0,0.6396054767933788,0.6396054767933788
K,0.0,206.0,1.2042192113593455,-0.0,1.2042192113593455,-0.0,0.0,0.0,2.526684413280129,0.0,0.6353769063014018,0.6353769063014018
pi,0.15,212.0,1.0411292348891232,1.3499398340511994e-7,1.0402921650393218,1.607329500938236e-5,0.000837069849801475,-1.5938301025977242e-5,0.8615442362162085,0.01657719318769233,0.6519163910568007,0.6519163910568007
K,0.15,211.0,1.1920850976549655,-4.99473521050233e-18,1.1908600198222137,-4.9745383013482115e-18,0.0012250778327518308,-2.0196909154118733e-20,2.5210330089384767,2.4740439636866424e-17,0.6480125115868547,0.6480125115868547
pi,0.3,216.0,1.0245560760217514,-1.9068513588625914e-17,1.0227930222381154,-1.865452133358852e-17,0.0017630537836359483,-4.1399225503739515e-19,0.8915812932524796,2.0935705624450978e-16,0.6606668064173675,0.6606668064173675
K,0.3,215.0,1.1780291396695077,-8.713531718192437e-19,1.1754772552721027,-8.6404855815174165e-19,0.0025518843974050576,-7.304613667502058e-21,2.5273889819009856,4.389611505850399e-18,0.6570736763829597,0.6570736763829597
