"id","citation","year","publication_status","source_url","local_evidence","route_or_method","decisive_information_for_project","limitation_for_direct_reuse","decision","evidence_strength"
"S01","Beth and Uhlenbeck, The quantum theory of the non-ideal gas II, Physica 3, 729","1936","published","https://doi.org/10.1016/S0031-8914(37)80189-5","not in local corpus","original Beth-Uhlenbeck virial phase-shift relation","establishes phase-shift derivative as interaction density-of-states correction","nonrelativistic starting point; no PNJL, KMT or charged kaon","include as formal ancestor","A"
"S02","Dashen, Ma and Bernstein, S-matrix formulation of statistical mechanics, Phys. Rev. 187, 345","1969","published","https://doi.org/10.1103/PhysRev.187.345","not in local corpus","S-matrix thermodynamics","connects grand potential to connected S-matrix and generalized Levinson theorem","not a microscopic NJL calculation","include as formal ancestor","A"
"S03","Hufner, Klevansky, Zhuang and Voss, Thermodynamics of a Quark Plasma Beyond the Mean Field, Ann. Phys. 234, 225","1994","published","https://doi.org/10.1006/aphy.1994.1080","local temp10 references","2-flavor NJL, Gaussian 1/Nc, bound and scattering phases","first field-theory BU realization for meson correlations and quark scattering","2-flavor; does not provide current charged 2+1 freezeout route","include as BU field-theory anchor","A"
"S04","Rehberg, Klevansky and Hufner, Hadronization in the SU(3) NJL model, Phys. Rev. C 53, 410","1996","published","https://doi.org/10.1103/PhysRevC.53.410","existing project survey","SU(3) KMT contraction, Hartree plus RPA","gives K_ab including K03/K30/K38/K83 and charged flavor couplings","numerical examples are not current BQS/BU freezeout","include as full KMT anchor","A"
"S05","Wergieluk, Blaschke, Kalinovsky and Friesen, Pion dissociation and Levinson theorem in hot PNJL matter","2013","published and arXiv","https://arxiv.org/abs/1212.5245","local/previous reproduction","PNJL phase shifts, BW comparison, continuum and Levinson","BW broadening alone fails; continuum phase required; threshold phase changes at Mott","pion-focused and not unequal-mass kaon production","include as phase/Mott anchor","A"
"S06","Blaschke, Buballa, Dubinin, Ropke and Zablocki, Generalized BU approach to mesons and diquarks","2014","published and arXiv","https://doi.org/10.1016/j.aop.2014.06.002","local temp10 corpus","bosonized Gaussian fluctuations, phase decomposition, GBU","defines phase through complex log, derives BU/GBU and Levinson endpoint","phase is a spectral parameter rather than an observable on-shell phase; 2-flavor examples","include as GBU/formal anchor","A"
"S07","Dubinin, Blaschke and Radzhabov, Pion and kaon in the BU approach","2015","arXiv/proceedings","https://arxiv.org/abs/1511.00338","local temp10 corpus","2+1 PNJL pion/kaon BU and Mott","shows pion and kaon phase-shift route and continuum contribution","short proceedings paper; numerical conventions incomplete","include as close route","B"
"S08","Dubinin, Radzhabov, Blaschke and Wergieluk, Mott dissociation of pions and kaons in hot dense quark matter, Phys. Rev. D 96, 094008","2017","published and arXiv","https://doi.org/10.1103/PhysRevD.96.094008","local temp10 corpus","2+1 PNJL, ordered unequal-mass pseudoscalars, BW and BU","explicit charged K+/K- phase-shift structure, anomalous mode, Mott threshold and high-energy cancellation","does not prescribe an implementation-ready branch/anchor algorithm","include as charged BU anchor","A"
"S09","Friesen, Kalinovsky and Toneev, Strange matter and kaon to pion ratio in SU(3) PNJL, Phys. Rev. C 99, 045201","2019","published and arXiv","https://doi.org/10.1103/PhysRevC.99.045201","local project papers","SU(3) PNJL, mass splitting and K+/pi+ and K-/pi- along transition line","supports charged-ratio trend and unequal kaon/antikaon masses","pole/transition-line phenomenology, not strict BU or BQS feedback","include as ratio context","B"
"S10","Blaschke, Friesen, Kalinovsky and Radzhabov, Using BU to describe K/pi ratio in 2+1 PNJL, Particles 3, 14","2020","published open","https://doi.org/10.3390/particles3010014","local temp7/temp10 text","2+1 PNJL phase shift, standard BU and GBU ratio cases","gives K+ anomalous low-energy mode and four ratio prescriptions","finite numerical conventions and anomalous-mode removal are not fully specified","include as closest K/pi BU precedent","A"
"S11","Blaschke, Friesen, Kalinovsky and Radzhabov, Chiral phase transition and K/pi ratios in entanglement SU(3) PNJL, EPJST 229","2020","published and arXiv","https://arxiv.org/abs/2009.03284","local project papers","EPNJL MFA, RPA, BW versus BU and freezeout proxy paths","documents path dependence, mu_s/mu_pi phenomenology and continuum effects","uses pseudo-critical/constructed paths rather than current BQS baseline","include as ratio/path context","A"
"S12","Xia, He and Zhuang, Three-flavor NJL at finite isospin chemical potential, Phys. Rev. D 88, 056013","2013","published and arXiv","https://doi.org/10.1103/PhysRevD.88.056013","local project survey","3-flavor KMT MFA with pion condensate and Bethe-Salpeter/RPA","shows explicit mu_I changes mean field, induces scalar-pseudoscalar couplings and couples strange sector","pion-superfluid phase; no charged BU freezeout","include as explicit-isospin/mixing anchor","A"
"S13","Lopes et al., Hot QCD at finite isospin density, Phys. Rev. D 103, 076023","2021","published open","https://doi.org/10.1103/PhysRevD.103.076023","local temp10 corpus","3-flavor NJL MFA at finite mu_B and mu_I with lattice comparison","provides explicit mu_I normalization and mean-field closure choices","no RPA BU K/pi production","include as constraint context","B"
"S14","Wu, Ping and Zong, Pion properties at finite isospin chemical potential with isospin symmetry breaking, CPC 41, 124106","2017","published open","https://doi.org/10.1088/1674-1137/41/12/124106","not in local corpus","2-flavor NJL MFA plus charged/neutral pion RPA","demonstrates u/d asymmetry splits charged and neutral pion properties","2-flavor and no KMT/kaon","include as charged-isospin support","B"
"S15","Mei, Wen, Mao and collaborators, Mass spectra of neutral mesons at finite magnetic field, Phys. Rev. D 107, 074018","2023","published open","https://doi.org/10.1103/PhysRevD.107.074018","local temp10 corpus","SU(3) NJL full 0/3/8 pseudoscalar matrix","prints K03/K38 formulas, 3x3 coupling and polarization matrix, determinant pole equation","magnetic-field source of sigma_u != sigma_d; neutral masses only","include as modern full-kernel implementation","A"
"S16","Maslov and Blaschke, Effect of mesonic off-shell correlations in PNJL EOS, Phys. Rev. D 107, 094010","2023","published open","https://doi.org/10.1103/PhysRevD.107.094010","local temp10 corpus","full-q phase, spacelike Landau damping and BU pressure","shows q/cutoff dependence and importance of full momentum phase","2-flavor EOS; not charged K/pi and not self-consistent feedback","include as numerical risk anchor","A"
"S17","Oertel, Buballa and Wambach, Mesonic correlations and the chiral condensate in NJL","1999","arXiv/published","https://arxiv.org/abs/hep-ph/9908475","local temp10 corpus","meson-loop and 1/Nc consistency comparison","warns about meson-loop cutoff and chiral-consistency issues","not PNJL charged BU","include as feedback risk","B"
"S18","Oertel, Buballa and Wambach, Meson properties and 1/Nc corrections in NJL","2000","arXiv/published","https://arxiv.org/abs/hep-ph/0001239","local temp10 corpus","strict 1/Nc versus self-consistent correction","distinguishes symmetry-consistent perturbative and nonperturbative feedback","not charged 2+1 production","include as feedback risk","B"
"S19","Pereira and Costa, One-meson-loop NJL model, Phys. Rev. D 101, 054025","2020","published open","https://doi.org/10.1103/PhysRevD.101.054025","local temp10 corpus","collective/noncollective pole and cut terms in one-meson-loop gap equation","demonstrates that feedback changes condensate and needs a boson cutoff","2-flavor; not BU charged kaon ratio","include as feedback implementation guide","A"
"S20","Blaschke and Ebert, Variational path-integral backreactions of composite mesons in NJL","2017","arXiv","https://arxiv.org/abs/1703.08964","local temp10 corpus","variational effective action and coupled self-energy equations","formal route for self-consistent meson backreaction with matched kernels","exploratory and not current PNJL/BU workflow","include as feedback formal guide","B"
"S21","Cleymans, Oeschler, Redlich and Wheaton, Comparison of chemical freeze-out criteria, Phys. Rev. C 73, 034905","2006","published open","https://doi.org/10.1103/PhysRevC.73.034905","not in local corpus","statistical-model freezeout criteria and T(mu_B) parameterization","supports use of freezeout curve as an external path, not a flavor closure equation","experimental fit path does not determine PNJL mu_Q/mu_S","include as freezeout context","A"
"S22","NA49 Collaboration, Energy dependence of pion and kaon production in central Pb+Pb, Phys. Rev. C 66, 054902","2002","published and arXiv","https://arxiv.org/abs/nucl-ex/0205002","not in local corpus","measured excitation functions","supports nonmonotonic K+/pi+ horn and higher-energy flattening; provides trend sanity check","yield acceptance and decays differ from thermodynamic density","include as experiment context","A"
"S23","Tian et al., Mass spectra of charged kaons and pions at finite magnetic field, Phys. Rev. D 114, 034012","2026","published","https://doi.org/10.1103/d7nm-y2vp","user-provided local paper","3-flavor NJL charged pseudoscalar RPA in magnetic field","recent charged-channel bubble/RPA formula support","magnetic field and pole masses only; no BU density or freezeout","include as charged-RPA support","B"
"S24","Generalized BU entropy formula from the Phi-derivable approach","2025","published/preprint lead","https://doi.org/10.1002/ctpp.70145","not in local corpus","Phi-derivable GBU entropy and feedback","recent formal evidence that GBU/backreaction requires a common functional","not an ordered charged PNJL implementation; inspect before production use","include as recent supporting lead","C"
"X01","Pure transport-coefficient PNJL papers without meson phase or K/pi method","various","excluded","","not applicable","transport only","does not close the charged BU question","outside scope","exclude","C"
"X02","Experimental K/pi papers without a model phase-shift or freezeout method","various","excluded","","not applicable","data only","use only for trend context if acceptance is documented","cannot define a PNJL formula route","exclude from method core","C"
"X03","Magnetic-field papers without full KMT 0/3/8 matrix or phase-shift information","various","excluded","","not applicable","mass-only model studies","no transferable charged BU kernel information","outside scope","exclude","C"
