layer,mode,case_slug,path,active_old_reference_occurrences,recommended_action,physical_deletion,reason,tree_sha256,fallback_hash_match
result_convergence,shared_convergence,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_validated_anchored_prod_v1_convergence,0,retain_historical_evidence,blocked_until_historical_dependency_review,older convergence/publication evidence; not the current runtime fallback,af37c71f401b8b24a9ec1f23b9072dd6a21fa2d36d6b1210e225f7a937472880,
result_convergence,shared_convergence,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_xi001_validated_anchored_prod_v1_convergence,0,retain_historical_evidence,blocked_until_historical_dependency_review,older convergence/publication evidence; not the current runtime fallback,e13eb022848fe62ea320b5464f8f832d235a03eb22ae678bbfdb538f276b5dfc,
result,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,0,retain_historical_evidence,blocked_until_historical_dependency_review,older convergence/publication evidence; not the current runtime fallback,69ccabda09361e3ee133acc6d78071a793b26d12943795cac79820d311088307,
result,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1,0,retain_historical_evidence,blocked_until_historical_dependency_review,older convergence/publication evidence; not the current runtime fallback,39c44fc96bd84d0a56f6d3b04be0091b5285a90ad59907a3cef7be9d0db4a569,
result,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,0,retain_immutable_legacy_snapshot,blocked_until_explicit_deletion_gate,explicit fallback/rollback and byte-preserving historical evidence,f44b61fe07afd1eac4c40d6ba8c043007182aa653655ba511a41cc1d034af0dd,pass
result,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,0,retain_canonical_current,not_applicable,current approved prod_v2 raw/figure input,f9296e849a34d0ee8030da33648b92bf83b25d53fe9b76ee1058ad9ef19e6e30,
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,0,retain_historical_evidence,blocked_until_historical_dependency_review,older convergence/publication evidence; not the current runtime fallback,51e4029f4d24e2d8b68ce36ede391380161c2dce15257c1133de878a2a443fdd,
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1,0,retain_historical_evidence,blocked_until_historical_dependency_review,older convergence/publication evidence; not the current runtime fallback,84ddf77d4b9108b86bdefbbabcf1d51a8bf52fb33681963b3e22c2e4c32de81d,
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,0,retain_immutable_legacy_figure_snapshot,blocked_until_explicit_deletion_gate,explicit fallback/rollback and byte-preserving historical evidence,869ed86367fe6ce6c7e5b35b80e6e07e04fa1bb3fe8990777da6f9d53c7bfa4c,
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,0,retain_canonical_current,not_applicable,current approved prod_v2 raw/figure input,afa10e2fbf45931dae28833603974a8d4a0e44f94ae65c6ae90d7604d59ee0fd,
