window_id,channel,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.0001,0.8063707829494762,0.003976618877971072,-0.00021944638879538332,,,63045.12591404909,,56182.571081146554,0.0,56182.571081146554,296.9753452262157
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.0005,0.8067707829494761,0.003940583327780245,-0.0004909502871686086,,,63414.64066739041,,56511.8636092227,0.0,56511.8636092227,298.8896822393243
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.001,0.8072707829494762,0.003895539605362597,-0.0006947562265889894,,,63865.46344126402,,56913.61366001686,0.0,56913.61366001686,301.2332620381313
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.005,0.8112707829494762,0.003535255757707967,-0.0015615298977846937,,,66950.49707672096,,59662.83683942787,0.0,59662.83683942787,317.6199314432716
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.01,0.8162707829494762,0.003085093294771246,-0.0022224909871225323,,,69169.36735587973,,61640.17981989052,0.0,61640.17981989052,330.5198610899401
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.02,0.8262707829494762,0.002185431326252929,-0.0031831035302503268,,,67076.91729383978,,59775.49602967106,0.0,59775.49602967106,325.13388464889624
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.05,0.8562707829494762,-0.0005082151188899875,-0.005222695617409599,,,36317.635628637356,,32364.40748785057,0.0,32364.40748785057,183.57131700915693
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.1,0.9062707829494762,-0.004979796958429983,-0.007832837402424157,,,11607.429376587346,,10343.943589050625,0.0,10343.943589050625,62.727677558240075
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.2,1.0062707829494761,-0.013856035720892779,-0.012338696385257236,,,2905.0078043268245,,2588.7934252108325,0.0,2588.7934252108325,17.771735653209245
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,0.5,1.3062707829494762,-0.03994849948903245,-0.025460965445606117,,,445.6043281811841,,397.09964060088316,0.0,397.09964060088316,3.736209723748699
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,1.0,1.8062707829494762,-0.08164525512273779,-0.04988103546534304,,,109.24108121846288,,97.35002859547005,0.0,97.35002859547005,1.3839342920781574
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.3,2.0,2.8062707829494764,-0.15833057548329932,-0.10891373678776335,,,27.077689241662096,,24.13024287725137,0.0,24.13024287725137,0.6616585042873959
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.0001,0.8393861659958833,-4.609107299136106e-5,-0.0002284371814761353,,,1.8413516162008554e7,,1.6415414078955887e7,0.0,1.6415414078955887e7,90782.1415077768
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.0005,0.8397861659958833,-8.210942153974443e-5,-0.0005110546114101395,,,3.732474544401406e6,,3.3274533036726727e6,0.0,3.3274533036726727e6,18412.14409918015
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.001,0.8402861659958833,-0.00012713169244671363,-0.000723188565998885,,,1.8547226560962088e6,,1.65346151889521e6,0.0,1.65346151889521e6,9155.69042350152
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.005,0.8442861659958834,-0.0004872443649508451,-0.0016251160431788266,,,347414.11725748837,,309715.24077637395,0.0,309715.24077637395,1724.6074844661523
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.01,0.8492861659958834,-0.0009371926850791912,-0.0023124321577768997,,,160625.2146741262,,143195.3238695929,0.0,143195.3238695929,802.9333119558937
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.02,0.8592861659958834,-0.0018364246614215318,-0.0033103469463747173,,,69779.51967727246,,62207.54904467211,0.0,62207.54904467211,353.66257780583175
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.05,0.8892861659958834,-0.004528765503492682,-0.005424109012857161,,,20027.7682728008,,17854.499183251777,0.0,17854.499183251777,105.70373696567094
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.1,0.9392861659958833,-0.008998118032029767,-0.00811820236999193,,,6808.680405020384,,6069.8514719462455,0.0,6069.8514719462455,38.33903789169081
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.2,1.0392861659958834,-0.01786969908705416,-0.012743721127434642,,,2075.857764576488,,1850.6006389395175,0.0,1850.6006389395175,13.18492655249681
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,0.5,1.3392861659958832,-0.04394663210634331,-0.026107996838120776,,,382.7115459352649,,341.1824468531545,0.0,341.1824468531545,3.3070142484354768
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,1.0,1.8392861659958832,-0.08561255235131915,-0.050810403927842265,,,100.89589228784442,,89.94739712927792,0.0,89.94739712927792,1.3085180839073383
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.31,2.0,2.8392861659958832,-0.1622194213017203,-0.11026209171961993,,,25.992342461900673,,23.171840763059894,0.0,23.171840763059894,0.6466095544399308
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.0001,0.8733430389888257,-0.004131329685801655,-0.00023768215749914824,,,58396.28235265919,,52079.400601128786,0.0,52079.400601128786,301.27523420897137
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.0005,0.8737430389888257,-0.0041673286177006386,-0.0005317272998371089,,,56659.272745254726,,50530.28795992036,0.0,50530.28795992036,292.47227451827285
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.001,0.8742430389888257,-0.004212326669069455,-0.0007524246812896889,,,54615.44512821796,,48707.546632241174,0.0,48707.546632241174,282.1131816360426
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.005,0.8782430389888257,-0.004572246031777416,-0.0016904992631406003,,,42081.836361216396,,37529.73178415404,0.0,37529.73178415404,218.54976962969175
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.01,0.8832430389888257,-0.005021952550544828,-0.0024049143812839902,,,32254.29742100246,,28765.263965812177,0.0,28765.263965812177,168.64117935418517
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.02,0.8932430389888257,-0.005920699227206505,-0.0034411828372118017,,,21323.589916090485,,19016.960271337502,0.0,19016.960271337502,112.9874169636106
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.05,0.9232430389888258,-0.008611568566043504,-0.0056311972970938245,,,9445.591376269858,,8423.836542001201,0.0,8423.836542001201,52.04958745315571
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.1,0.9732430389888257,-0.013078415319841996,-0.008411580248677709,,,4135.6556328354945,,3688.290722858932,0.0,3688.290722858932,24.26446739867862
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.2,1.0732430389888257,-0.021944785917415333,-0.013160041848712804,,,1527.2763995291546,,1362.0668343129448,0.0,1362.0668343129448,10.072525756784815
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,0.5,1.3732430389888257,-0.0480045328049894,-0.02677271377098725,,,330.9928418515902,,295.1884625599063,0.0,295.1884625599063,2.948369496611523
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,1.0,1.8732430389888257,-0.08963687720703506,-0.05176435449705074,,,93.33305076630518,,83.23696551143058,0.0,83.23696551143058,1.2395337598634204
mode_b_T200p0_muB450p0_xip0p31_1,dubar_to_dubar,0.32,2.0,2.873243038988826,-0.16615993698710962,-0.11164394097970073,,,24.954150356441904,,22.25479329703946,0.0,22.25479329703946,0.6321547428361722
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.0001,0.8063707829494762,0.003976618877971072,-0.00021944638879538332,0.00340757616207267,-1.5564610526972557e-6,63045.12591404909,86120.94100081646,14045.642770286635,0.9652026537041031,14279.128173116684,76.11723911611212
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.0005,0.8067707829494761,0.003940583327780245,-0.0004909502871686086,0.003407236815981813,-3.4820679054323138e-6,63414.64066739041,86138.02441179329,14127.965902305672,0.9653492084040044,14360.736031190518,76.5906452717815
