window_id,mode_key,plot_panel,plot_series,target_xi,observable,baseline_value,target_value,log_delta_vs_neighbor_mean,observable_direction,tau_mean_direction,entropy_direction,response_relation,root_tau_verdict
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,T200.0,muB450.0,0.31,eta_over_s,0.15599860305877727,0.045532036106152494,-1.2314308840112496,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,T200.0,muB450.0,0.31,zeta_over_s,0.031116945714286318,0.010266433010890417,-1.1088729066928642,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,T200.0,muB450.0,0.31,sigma_over_T,0.015398771697616855,0.0021028603370178652,-1.9909892631370212,down,down,flat,charge_transport_weighted_tau_response,channel_rate_spike_supported
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,T120.0,muB900.0,-0.09,eta_over_s,2.4214160831366196,3.0433826679421223,0.22861708917106116,up,up,down,same_direction_as_tau_mean,upstream_first_order_branch_jump_supported
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,T120.0,muB900.0,-0.09,zeta_over_s,1.5349689360926,2.368490292611734,0.4337426010736793,up,up,down,same_direction_as_tau_mean,upstream_first_order_branch_jump_supported
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,T120.0,muB900.0,-0.09,sigma_over_T,0.09785789535856149,0.07748273852259346,-0.2334611961620224,down,up,down,charge_transport_weighted_tau_response,upstream_first_order_branch_jump_supported
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,eta_over_s,0.3612629552797239,0.20102452114662103,-0.5861792047770881,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,zeta_over_s,0.1489743951322306,0.08072784101207431,-0.6126909366953226,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,sigma_over_T,0.024173657013310902,0.01140011581750969,-0.7516399723098401,down,down,flat,charge_transport_weighted_tau_response,channel_rate_spike_supported
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,0.0,eta_over_s,1.7718089757698152,2.043764618808393,0.14279246368402596,up,up,down,same_direction_as_tau_mean,upstream_first_order_branch_jump_supported
