window_id,channel,exchange_channel,sigma_scope,xi,band,ds_left,ds_right,area_invabs_den_simple,area_invabs_detM,area_abs_D_total_sq,area_sigma,prefactor,omega_bin,omega_sigma_bin,sigma_eff_bin,rate_bin,rate_func
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.25,1,0.0,0.02,0.11547052398171528,3.4808479375552232e6,22.30700032681662,1.2132128847776231,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.25,2,0.02,0.05,0.08817522046032335,677277.0039502559,4.435211387186571,0.243858739849761,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.25,3,0.05,0.1,0.2712577286658438,1.21908533781809e6,8.13880405578074,0.4533644657408114,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.25,4,0.1,0.2,0.5247832858502021,1.1893178656000162e6,8.277943833240926,0.5624354283814149,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.25,5,0.2,0.5,1.4603671893082215,1.4456001684800272e6,10.988470169093764,0.8384274924239544,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.25,6,0.5,1.0,1.8807501013656447,805870.4927440374,7.069044017439688,0.5426370680228394,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.25,7,1.0,2.0,3.171350353835781,745481.6531922602,7.373048377760271,0.7224447843655915,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,t,full_process,0.25,1,0.0,0.02,19.167157316442072,1640.9001388972567,5.06529758245128,1.2132128847776231,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,t,full_process,0.25,2,0.02,0.05,13.592720487731453,1256.2702395930535,3.6099851587518503,0.243858739849761,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,t,full_process,0.25,3,0.05,0.1,38.892832380901176,3874.8923355545967,10.381556409165881,0.4533644657408114,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,t,full_process,0.25,4,0.1,0.2,64.74568628316226,7539.182056038022,17.476407361964903,0.5624354283814149,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,t,full_process,0.25,5,0.2,0.5,130.68349203980762,21262.33136936377,36.249994919540754,0.8384274924239544,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,t,full_process,0.25,6,0.5,1.0,102.45101370283767,27996.696613799486,30.006703373450314,0.5426370680228394,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,t,full_process,0.25,7,1.0,2.0,103.52148980190898,48280.20267435617,32.75693546038284,0.7224447843655915,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.26,1,0.0,0.02,0.11183906748090762,1.2923147363890031e7,85.6682906589706,4.703499113077666,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.26,2,0.02,0.05,0.08542259088926007,676828.5414032948,4.589631185973562,0.25531940934658764,,,,,,
mode_a_muB450p0_alpha1p0_xip0p26_2,uubar_to_uubar,s,full_process,0.26,3,0.05,0.1,0.2628539939467695,1.1667327614867855e6,8.055267638484311,0.4543572893486847,,,,,,
