window_id,mode_key,plot_panel,plot_series,target_xi,observable,baseline_value,target_value,log_delta_vs_neighbor_mean,observable_direction,tau_mean_direction,entropy_direction,response_relation,root_tau_verdict
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,eta_over_s,2.2074909104039877,2.7521375355651765,0.22052135951827945,up,up,down,same_direction_as_tau_mean,phase_branch_switch_supported
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,zeta_over_s,1.4413089741207339,2.094605422997653,0.3738134828961547,up,up,down,same_direction_as_tau_mean,phase_branch_switch_supported
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,sigma_over_T,0.097141055503183,0.07718683962473394,-0.22993513133542712,down,up,down,charge_transport_weighted_tau_response,phase_branch_switch_supported
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,eta_over_s,0.3835047717970914,0.21236557595905908,-0.5910428590094366,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,zeta_over_s,0.168559455378631,0.09096292242942101,-0.6168365608092246,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,sigma_over_T,0.025624870198883834,0.012018037478256784,-0.7571547276191581,down,down,flat,charge_transport_weighted_tau_response,channel_rate_spike_supported
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,T200.0,muB450.0,0.31,eta_over_s,0.16793199316784524,0.0896643461079584,-0.6274858841142846,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,T200.0,muB450.0,0.31,zeta_over_s,0.0379786012095832,0.020444856679206754,-0.6192915313214198,down,down,flat,same_direction_as_tau_mean,channel_rate_spike_supported
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,T200.0,muB450.0,0.31,sigma_over_T,0.016643114116694124,0.007234698493553348,-0.8331078784209527,down,down,flat,charge_transport_weighted_tau_response,channel_rate_spike_supported
mode_a_muB900p0_alpha1p0_xip0p00_2,mode_a,muB900.0,alpha1.0,0.003,eta_over_s,1.6496904047689989,1.8521625790161882,0.11576628118315052,up,up,down,same_direction_as_tau_mean,phase_branch_switch_supported
mode_a_muB900p0_alpha1p0_xip0p00_2,mode_a,muB900.0,alpha1.0,0.003,zeta_over_s,1.0852067657889746,1.3530064572391725,0.22055858532758169,up,up,down,same_direction_as_tau_mean,phase_branch_switch_supported
mode_a_muB900p0_alpha1p0_xip0p00_2,mode_a,muB900.0,alpha1.0,0.003,sigma_over_T,0.08533047468160423,0.07379002366476001,-0.1453081136509863,down,up,down,charge_transport_weighted_tau_response,phase_branch_switch_supported
mode_a_muB900p0_alpha1p0_xim0p03_1,mode_a,muB900.0,alpha1.0,-0.03,eta_over_s,1.3491572018998799,1.366685217714282,0.012908156279144111,flat,flat,flat,mixed_tau_and_thermodynamic_response,weak_or_broad_tau_variation_candidate
mode_a_muB900p0_alpha1p0_xim0p03_1,mode_a,muB900.0,alpha1.0,-0.03,zeta_over_s,0.6644064391938079,0.6708641444749264,0.009672579787126588,flat,flat,flat,mixed_tau_and_thermodynamic_response,weak_or_broad_tau_variation_candidate
mode_a_muB900p0_alpha1p0_xim0p03_1,mode_a,muB900.0,alpha1.0,-0.03,sigma_over_T,0.10103496006367682,0.10257773361259831,0.015154291671213713,flat,flat,flat,charge_transport_weighted_tau_response,weak_or_broad_tau_variation_candidate
mode_a_muB900p0_alpha1p1_xip0p20_1,mode_a,muB900.0,alpha1.1,0.2,eta_over_s,0.9025845419567665,0.9146619175581686,0.013292146872037398,flat,flat,flat,mixed_tau_and_thermodynamic_response,weak_or_broad_tau_variation_candidate
mode_a_muB900p0_alpha1p1_xip0p20_1,mode_a,muB900.0,alpha1.1,0.2,zeta_over_s,0.4236896819078735,0.42894240876402207,0.012321359628387984,flat,flat,flat,mixed_tau_and_thermodynamic_response,weak_or_broad_tau_variation_candidate
mode_a_muB900p0_alpha1p1_xip0p20_1,mode_a,muB900.0,alpha1.1,0.2,sigma_over_T,0.07272920828543883,0.07381560557594073,0.014827098480782458,flat,flat,flat,charge_transport_weighted_tau_response,weak_or_broad_tau_variation_candidate
mode_a_muB0p0_alpha1p2_xim0p47_1,mode_a,muB0.0,alpha1.2,-0.47,eta_over_s,0.09552546341135396,0.09042426814911497,-0.05488016017814465,down,down,flat,same_direction_as_tau_mean,weak_or_broad_tau_variation_candidate
mode_a_muB0p0_alpha1p2_xim0p47_1,mode_a,muB0.0,alpha1.2,-0.47,zeta_over_s,0.008107695461590493,0.007298357087401778,-0.10516440134135253,down,down,flat,same_direction_as_tau_mean,weak_or_broad_tau_variation_candidate
mode_a_muB0p0_alpha1p2_xim0p47_1,mode_a,muB0.0,alpha1.2,-0.47,sigma_over_T,0.01473447158829438,0.014393501145787678,-0.023412959164465435,flat,down,flat,charge_transport_weighted_tau_response,weak_or_broad_tau_variation_candidate
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,muB450.0,alpha1.0,-0.2,eta_over_s,0.22467502119609584,0.23121374327439867,0.02868757037433814,flat,flat,flat,mixed_tau_and_thermodynamic_response,weak_or_broad_tau_variation_candidate
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,muB450.0,alpha1.0,-0.2,zeta_over_s,0.06331331046688951,0.0650844430820492,0.02758996811950729,flat,flat,flat,mixed_tau_and_thermodynamic_response,weak_or_broad_tau_variation_candidate
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,muB450.0,alpha1.0,-0.2,sigma_over_T,0.02125055776194673,0.02202706613197629,0.035888833264791566,up,flat,flat,charge_transport_weighted_tau_response,weak_or_broad_tau_variation_candidate
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,T200.0,muB0.0,-0.21,eta_over_s,0.11476671991474313,0.11943693785675608,0.03988696975584914,up,up,flat,same_direction_as_tau_mean,weak_or_broad_tau_variation_candidate
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,T200.0,muB0.0,-0.21,zeta_over_s,0.024968293149654174,0.025943878974218633,0.038328958194727494,up,up,flat,same_direction_as_tau_mean,weak_or_broad_tau_variation_candidate
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,T200.0,muB0.0,-0.21,sigma_over_T,0.011416972344459878,0.012020421082984083,0.05150590997679231,up,up,flat,charge_transport_weighted_tau_response,weak_or_broad_tau_variation_candidate
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,muB450.0,alpha1.1,0.35,eta_over_s,0.166047268783311,0.1591580392278152,-0.04237483354986975,down,down,flat,same_direction_as_tau_mean,weak_or_broad_tau_variation_candidate
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,muB450.0,alpha1.1,0.35,zeta_over_s,0.03721033648605271,0.035671024301411496,-0.04224787020483368,down,down,flat,same_direction_as_tau_mean,weak_or_broad_tau_variation_candidate
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,muB450.0,alpha1.1,0.35,sigma_over_T,0.01648687481234689,0.015640751772148676,-0.052684797202365546,down,down,flat,charge_transport_weighted_tau_response,weak_or_broad_tau_variation_candidate
