window_id,mode_key,mode,plot_panel,plot_series,xi_left,target_xi,xi_right,prev_xi,next_xi,affected_tau_fields,tau_shape,max_tau_step_factor,max_tau_rel_step,cause_verdict,evidence_score,dominant_background_driver,max_background_rel_step,phase_prev,phase_target,phase_next,phase_reference_target,phase_structure_target,phase_boundary_xi_target,phase_boundary_changed_in_local_window,seed_source_target,equilibrium_backend_target,m_u_prev,m_u_target,m_u_next,Phi_prev,Phi_target,Phi_next,s_prev,s_target,s_next,top_channel_evidence,mechanism_note
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,-0.14,-0.12,-0.12,-0.13,-0.11,tau_d;tau_dbar;tau_s;tau_sbar;tau_u;tau_ubar,step_or_rapid_increase,18.4673529008471,0.9458503876885284,phase_branch_switch_supported,0.95,m_u,0.7086796498227267,quark,hadron,hadron,first_order,first_order_possible,-0.125,True,first_order_stable_multiseed_hadron,models_multi,0.4446043944155144,1.5261700534994047,1.5404349965023136,0.2532292651172192,0.13846116728368252,0.1349916877537556,2.283231821311184,0.9526058645687856,0.9192636167389523,not_primary;upstream_driver=m_u;max_background_rel_step=0.7087,phase_curr/seed_source shows an accepted branch switch; tau changes should be interpreted as downstream of the selected equilibrium branch.
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,0.25,0.26,0.27,0.25,0.27,tau_d;tau_dbar;tau_u;tau_ubar,local_tau_dip,4.270238522932277,0.7658210438059272,channel_rate_spike_supported,0.78,m_u,0.007515869526216207,hadron,hadron,hadron,crossover,crossover_possible,0.2625,True,phase_aware_continuity_hadron,models,1.0860320991851309,1.0942563874212174,1.1022755085867502,0.5099831170422963,0.5089572266004811,0.5079423195192739,6.965037930269448,6.919352665209871,6.8744486804361165,dbar:uubar_to_ddbar(0.43);ubar:uubar_to_ddbar(0.43);dbar:uubar_to_uubar(0.47);ubar:uubar_to_uubar(0.47);d:uubar_to_ddbar(0.32),"smooth background; tau jump is driven by a local channel rate/contribution spike, led by dbar:uubar_to_ddbar;ubar:uubar_to_ddbar;dbar:uubar_to_uubar;ubar:uubar_to_uubar. Denominator-chain origin remains a candidate unless deep-scanned."
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,0.3,0.31,0.32,0.3,0.32,tau_d;tau_dbar;tau_sbar;tau_u;tau_ubar,local_tau_dip,3.8430782565845036,0.73979192375626,channel_rate_spike_supported,0.78,m_u,0.019834886154621062,quark,quark,quark,crossover,no_transition,0.3125,True,phase_aware_continuity_quark,models,0.44940105303518385,0.4584952542047695,0.46766191435996474,0.6162347439028665,0.6156986871375865,0.6151629598999663,12.153617999110022,12.103266294777459,12.05321655652509,dbar:dubar_to_dubar(0.57);ubar:dubar_to_dubar(0.57);dbar:uubar_to_uubar(0.20);ubar:uubar_to_uubar(0.20);dbar:uubar_to_ddbar(0.18),"smooth background; tau jump is driven by a local channel rate/contribution spike, led by dbar:dubar_to_dubar;ubar:dubar_to_dubar;dbar:uubar_to_uubar;ubar:uubar_to_uubar. Denominator-chain origin remains a candidate unless deep-scanned."
mode_a_muB900p0_alpha1p0_xip0p00_2,mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.0,-0.003,0.003,0.003,-0.003,0.01,tau_d;tau_dbar;tau_s;tau_sbar;tau_u;tau_ubar,step_or_rapid_increase,3.7430498964049668,0.7328381860577238,phase_branch_switch_supported,0.95,m_u,0.5249261082612203,quark,hadron,hadron,first_order,first_order_possible,0.0,True,first_order_stable_multiseed_hadron,models_multi,0.6364003185598558,1.3395817569149469,1.3703981479178842,0.2654589831457642,0.1903798518327652,0.18474232851603112,2.3989701653266464,1.4531158513282283,1.3910156819088098,not_primary;upstream_driver=m_u;max_background_rel_step=0.5249,phase_curr/seed_source shows an accepted branch switch; tau changes should be interpreted as downstream of the selected equilibrium branch.
mode_a_muB900p0_alpha1p0_xim0p03_1,mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.0,-0.05,-0.03,-0.03,-0.04,-0.02,tau_dbar;tau_ubar,step_or_rapid_increase,1.5531822138885394,0.35616053862965313,weak_or_broad_tau_variation_candidate,0.45,m_u,0.06758490873660546,quark,quark,quark,first_order,first_order_possible,-0.025,True,first_order_stable_multiseed_quark,models_multi,0.47759265787775373,0.5082262418177387,0.5450643673399873,0.2790226666892627,0.2761757662022675,0.2729386544521768,2.608187182051905,2.5628191051532427,2.5121815200243427,not_primary;upstream_driver=m_u;max_background_rel_step=0.06758,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB900p0_alpha1p1_xip0p20_1,mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.1,0.18,0.2,0.2,0.19,0.21,tau_dbar;tau_ubar,step_or_rapid_increase,1.4192860400283245,0.29542039321401126,weak_or_broad_tau_variation_candidate,0.45,m_u,0.03745107744192453,quark,quark,quark,first_order,no_transition,0.2,True,phase_aware_continuity_quark,models,0.48954947726932774,0.5081695798034226,0.5279415600538082,0.34412303176445114,0.34216133605655236,0.34012290274710916,3.5450833713980776,3.505777016014135,3.465426428352635,not_primary;upstream_driver=m_u;max_background_rel_step=0.03745,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB0p0_alpha1p2_xim0p47_1,mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2,-0.48,-0.47,-0.46,-0.48,-0.46,tau_s;tau_sbar,local_tau_dip,1.2179044981687972,0.1789175575723972,weak_or_broad_tau_variation_candidate,0.45,m_u,0.015440870644366628,quark,quark,quark,crossover,no_transition,-0.46875,True,phase_aware_continuity_quark,models,0.05345182642339576,0.0542901130360535,0.05513365073430408,0.7653404672803716,0.764623915937803,0.7639201550204786,33.9860222378489,33.74374336859466,33.50713718993906,not_primary;upstream_driver=m_u;max_background_rel_step=0.01544,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,-0.21,-0.2,-0.2,-0.21,-0.19,tau_dbar;tau_ubar,step_or_rapid_increase,1.2142675746268212,0.17645828572229788,weak_or_broad_tau_variation_candidate,0.45,m_u,0.039408299691455116,quark,quark,quark,crossover,no_transition,-0.2,True,phase_aware_continuity_quark,models,0.3853348979318477,0.4011243401616969,0.41758047673413645,0.5675122425779632,0.5663184661427758,0.5651117806260338,10.110725429035522,10.029449219773106,9.948251485048564,not_primary;upstream_driver=m_u;max_background_rel_step=0.03941,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB0.0,-0.22,-0.21,-0.21,-0.22,-0.2,tau_d;tau_dbar;tau_u;tau_ubar,step_or_rapid_increase,1.1883669954027463,0.15850911051169614,weak_or_broad_tau_variation_candidate,0.45,m_u,0.0363278882394984,quark,quark,quark,crossover,no_transition,-0.2125,True,phase_aware_continuity_quark,models,0.3756405623954276,0.38980121745889473,0.40442328168971003,0.6250721712947475,0.624193637349243,0.6233120874217557,13.330930668815672,13.24028468970906,13.15018788503886,not_primary;upstream_driver=m_u;max_background_rel_step=0.03633,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.1,0.35,0.35,0.36,0.34,0.36,tau_dbar;tau_ubar,local_tau_dip,1.1720585226522948,0.1468002828586896,weak_or_broad_tau_variation_candidate,0.45,m_u,0.018993938900413156,quark,quark,quark,crossover,no_transition,0.35,True,phase_aware_continuity_quark,models,0.4547313106053185,0.46353567896983305,0.4724000068669429,0.6188423934602637,0.6183313008331024,0.6178206808890072,12.273648072959254,12.22476864792636,12.17618528184373,not_primary;upstream_driver=m_u;max_background_rel_step=0.01899,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
