window_id,scope,mode_key,plot_panel,plot_series,xi,left_xi,right_xi,diagnostic_observable,cause,source_policy,phase_reference_kinds,phase_structures,quality_flags,phase_gate_pass,action,reason,max_abs_residual_relative,recipe_source,recipe_source_sha256,canonical_data_modified
mode_b_T200p0_muB450p0_xip0p31_1,thesis/candidate,mode_b,T200.0,muB450.0,0.3100000000,0.3000000000,0.3200000000,tau_dbar,channel-rate spike; small denominator supported,historical_clean_window_revalidated_current_v2,crossover;crossover;crossover,no_transition;no_transition;no_transition,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.7211406447416934,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB0p0_alpha1p0_xip0p37_manual,journal/main,mode_a,muB0.0,alpha1.0,0.3700000000,0.3600000000,0.3800000000,tau_dbar,manual review: residual local one-point artifact in muB0 alpha_T=1.0 clean figures,historical_clean_window_revalidated_current_v2,crossover;crossover;crossover,crossover_possible;crossover_possible;crossover_possible,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.0652923238756885,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB450p0_alpha1p0_xip0p26_2,journal/main,mode_a,muB450.0,alpha1.0,0.2600000000,0.2500000000,0.2700000000,tau_ubar,channel-rate spike; small denominator supported,historical_clean_window_revalidated_current_v2,crossover;crossover;crossover,crossover_possible;crossover_possible;crossover_possible,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.7616111513647171,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB0p0_alpha1p1_xip0p48_1,journal/main,mode_a,muB0.0,alpha1.1,0.4800000000,0.4700000000,0.4900000000,tau_dbar,weak/broad variation; small denominator supported,historical_clean_window_revalidated_current_v2,crossover;crossover;crossover,no_transition;no_transition;no_transition,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.0035521790783129797,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB900p0_alpha1p1_xip0p18_1,journal/main,mode_a,muB900.0,alpha1.1,0.1800000000,0.1700000000,0.1900000000,tau_dbar,weak/broad variation; small denominator supported,historical_clean_window_revalidated_current_v2,first_order;first_order;first_order,no_transition;no_transition;no_transition,true;true;true,False,retain_raw,excluded: current v2 window touches a first-order/non-crossover row,0.0,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB450p0_alpha1p1_xip0p35_1,journal/main,mode_a,muB450.0,alpha1.1,0.3500000000,0.3400000000,0.3600000000,tau_dbar,weak/broad variation; small denominator supported,historical_clean_window_revalidated_current_v2,crossover;crossover;crossover,no_transition;no_transition;no_transition,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.0871705917154694,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB900p0_alpha1p2_xip0p49_1,journal/main,mode_a,muB900.0,alpha1.2,0.4900000000,0.4800000000,0.5000000000,tau_dbar,weak/broad variation; small denominator supported,historical_clean_window_revalidated_current_v2,first_order;first_order;first_order,no_transition;no_transition;no_transition,true;true;true,False,retain_raw,excluded: current v2 window touches a first-order/non-crossover row,0.0,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB450p0_alpha1p0_xim0p20_1,journal/main,mode_a,muB450.0,alpha1.0,-0.2000000000,-0.2100000000,-0.1900000000,tau_dbar,weak/broad variation; small denominator supported,historical_clean_window_revalidated_current_v2,crossover;crossover;crossover,no_transition;no_transition;no_transition,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.05971090943408694,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_b_T200p0_muB0p0_xim0p21_1,thesis/candidate,mode_b,T200.0,muB0.0,-0.2100000000,-0.2200000000,-0.2000000000,tau_dbar,weak/broad variation; small denominator supported,historical_clean_window_revalidated_current_v2,crossover;crossover;crossover,no_transition;no_transition;no_transition,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.05815126029107708,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
mode_a_muB0p0_alpha1p2_xim0p47_supplement,supplemental_author_review,mode_a,muB0.0,alpha1.2,-0.4700000000,-0.4800000000,-0.4600000000,tau_s,isolated strange-flavor tau dip with smooth equilibrium background,current_v2_author_reviewed_supplement,crossover;crossover;crossover,no_transition;no_transition;no_transition,false;false;false,True,apply_all_observables,applied: current target and both neighbours are crossover/non-first-order,0.17426921963062048,docs/analysis/relaxtime/phase_guided_transport/phase_guided_transport_v2_pole_sensitive_rendering/tables/paper_display_smoothing_windows_v2.csv,d98f4a7a7b681793703e6fac03c33351d5af540aadbeca57ce5fdbcb6bf75794,False
