window_id,mode_key,plot_panel,plot_series,observable,xi,v2_clean_value,trend_value,final_clean_value,relative_change_from_v2,strength,value_space,phase_policy,anchor_points,fit_method,local_residual_before,local_residual_after,protected_by_phase_gate,canonical_data_modified
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_u,-0.0500000000,6.457126621140056,6.43647740508309,6.446793745632668,-0.0016002281066565213,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.007845569471535363,-0.0058278269504352664,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_u,-0.0400000000,6.689659081353377,6.593510475074335,6.641410785938455,-0.0072123698424944056,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.002371228093367206,-0.002750514932036152,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_u,-0.0300000000,6.974672474031826,6.785910639737726,6.879644187762796,-0.01362476684358158,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.016596366698302667,0.00606455253256355,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_u,-0.0200000000,7.085522351898553,6.995780002527712,7.040508190242735,-0.0063529771582410246,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.005833018711504989,-0.00019658543253897598,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_u,-0.0100000000,7.212922598379932,7.203014841780072,7.207967017734025,-0.0006870419830957607,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.0037365654642458335,0.0030492873596503767,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_d,-0.0500000000,6.457126621140056,6.43647740508309,6.446793745632668,-0.0016002281066565213,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.007845569471535363,-0.0058278269504352664,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_d,-0.0400000000,6.689659081353377,6.593510475074335,6.641410785938455,-0.0072123698424944056,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.002371228093367206,-0.002750514932036152,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_d,-0.0300000000,6.974672474031826,6.785910639737726,6.879644187762796,-0.01362476684358158,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.016596366698302667,0.00606455253256355,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_d,-0.0200000000,7.085522351898553,6.995780002527712,7.040508190242735,-0.0063529771582410246,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.005833018711504989,-0.00019658543253897598,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_d,-0.0100000000,7.212922598379932,7.203014841780072,7.207967017734025,-0.0006870419830957607,0.5,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.0037365654642458335,0.0030492873596503767,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_ubar,-0.0500000000,0.35974787368027994,0.349877049037215,0.35626180375698624,-0.009690314184850158,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.07116373906680695,-0.0633734174202093,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_ubar,-0.0400000000,0.47238138893278364,0.42736023583922383,0.45610858300088924,-0.03444844846376853,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.07909252261014765,-0.06374590899169952,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_ubar,-0.0300000000,0.733694371462364,0.550088320629219,0.6633400516832263,-0.09589049952626859,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.18014333628165102,0.10447490794936237,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_ubar,-0.0200000000,0.8231739458260845,0.7130354518639562,0.7828137469692071,-0.04902997605976761,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.05637183954023253,0.010600934362002934,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_ubar,-0.0100000000,0.912605442358444,0.8894282814512708,0.9044255288598554,-0.00896325303238305,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.03578271497485527,0.026779050329095985,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_dbar,-0.0500000000,0.35974787368027994,0.349877049037215,0.35626180375698624,-0.009690314184850158,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.07116373906680695,-0.0633734174202093,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_dbar,-0.0400000000,0.47238138893278364,0.42736023583922383,0.45610858300088924,-0.03444844846376853,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,-0.07909252261014765,-0.06374590899169952,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_dbar,-0.0300000000,0.733694371462364,0.550088320629219,0.6633400516832263,-0.09589049952626859,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.18014333628165102,0.10447490794936237,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_dbar,-0.0200000000,0.8231739458260845,0.7130354518639562,0.7828137469692071,-0.04902997605976761,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.05637183954023253,0.010600934362002934,True,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_dbar,-0.0100000000,0.912605442358444,0.8894282814512708,0.9044255288598554,-0.00896325303238305,0.35,log,branch_local,left=-0.0600000000;right=-0.0030000000,monotone_hermite_log_blend,0.03578271497485527,0.026779050329095985,True,False
mode_a_muB900p0_alpha1p1_tau_rise_one_u_d,mode_a,muB900.0,alpha1.1,tau_u,0.1700000000,4.8110195832814675,4.824358648276702,4.818351498384146,0.00152398363294082,0.55,log,branch_local,left=0.1600000000;right=0.2200000000,monotone_hermite_log_blend,-0.0019906511164713425,-0.002939367441677554,True,False
mode_a_muB900p0_alpha1p1_tau_rise_one_u_d,mode_a,muB900.0,alpha1.1,tau_u,0.1800000000,4.8799760667850585,4.9240321287399205,4.904157894761122,0.004955316920641033,0.55,log,branch_local,left=0.1600000000;right=0.2200000000,monotone_hermite_log_blend,-0.005378986275989428,-0.0031578270603023206,True,False
mode_a_muB900p0_alpha1p1_tau_rise_one_u_d,mode_a,muB900.0,alpha1.1,tau_u,0.1900000000,4.995845898361762,5.045539772335716,5.023116650880195,0.0054586856907206955,0.55,log,branch_local,left=0.1600000000;right=0.2200000000,monotone_hermite_log_blend,-0.013175231021762324,-0.004932923646399523,True,False
mode_a_muB900p0_alpha1p1_tau_rise_one_u_d,mode_a,muB900.0,alpha1.1,tau_u,0.2000000000,5.225134610836809,5.172232012397795,5.19597157237395,-0.005581298977901105,0.55,log,branch_local,left=0.1600000000;right=0.2200000000,monotone_hermite_log_blend,0.012039668070617182,0.007490108145996155,True,False
