window_id,mode_key,plot_panel,plot_series,observable,anchor_left_xi,anchor_right_xi,interior_point_count,source_roughness,candidate_roughness,roughness_ratio,changed_point_count,max_abs_relative_change,action,reason,canonical_data_modified
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_u,-0.0600000000,-0.0030000000,5,2.5954228675981508,1.2129105065126864,0.4673267395671576,5,0.01362476684358158,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,mode_a,muB900.0,alpha1.0,tau_d,-0.0600000000,-0.0030000000,5,2.5954228675981508,1.2129105065126864,0.4673267395671576,5,0.01362476684358158,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_ubar,-0.0600000000,-0.0030000000,5,32.52308876403285,20.894981589872472,0.6424660874455488,5,0.09589049952626859,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,mode_a,muB900.0,alpha1.0,tau_dbar,-0.0600000000,-0.0030000000,5,32.52308876403285,20.894981589872472,0.6424660874455488,5,0.09589049952626859,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_one_u_d,mode_a,muB900.0,alpha1.1,tau_u,0.1600000000,0.2200000000,5,2.9523177204155697,1.4980216291992243,0.5074052900337441,5,0.005581298977901105,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_one_u_d,mode_a,muB900.0,alpha1.1,tau_d,0.1600000000,0.2200000000,5,2.9523177204155697,1.4980216291992243,0.5074052900337441,5,0.005581298977901105,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_one_ubar_dbar,mode_a,muB900.0,alpha1.1,tau_ubar,0.1600000000,0.2200000000,5,23.54423780655665,10.909264090958233,0.4633517627790948,5,0.07412146057578264,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_one_ubar_dbar,mode_a,muB900.0,alpha1.1,tau_dbar,0.1600000000,0.2200000000,5,23.54423780655665,10.909264090958233,0.4633517627790948,5,0.07412146057578264,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_two,mode_a,muB900.0,alpha1.1,tau_u,0.4100000000,0.4600000000,4,0.1512660082559676,0.14692358652350634,0.9712928120300951,4,0.00036530287361402484,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_two,mode_a,muB900.0,alpha1.1,tau_d,0.4100000000,0.4600000000,4,0.1512660082559676,0.14692358652350634,0.9712928120300951,4,0.00036530287361402484,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_two,mode_a,muB900.0,alpha1.1,tau_ubar,0.4100000000,0.4600000000,4,2.262300832091367,1.5310744125709528,0.6767775491447627,4,0.004237378538883909,applied,roughness_guard_passed,False
mode_a_muB900p0_alpha1p1_tau_rise_two,mode_a,muB900.0,alpha1.1,tau_dbar,0.4100000000,0.4600000000,4,2.262300832091367,1.5310744125709528,0.6767775491447627,4,0.004237378538883909,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,eta_over_s,-0.2300000000,-0.1900000000,3,7.562977513763418,1.264180313945217,0.16715378455702265,3,0.03633861765285272,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,zeta_over_s,-0.2300000000,-0.1900000000,3,8.240328130916856,1.526622415337763,0.18526233313574422,3,0.036934109447791984,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,sigma_over_T,-0.2300000000,-0.1900000000,3,9.566849195566709,1.9273356040368088,0.20145980820205034,3,0.04797433865085474,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,tau_u,-0.2300000000,-0.1900000000,3,10.92166540096946,2.280478240221564,0.20880315927085055,3,0.05468688850464657,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,tau_d,-0.2300000000,-0.1900000000,3,10.92166540096946,2.280478240221564,0.20880315927085055,3,0.05468688850464657,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,tau_s,-0.2300000000,-0.1900000000,3,0.607665491307058,1.2511583860380084,2.05895908840706,0,0.0,retained_v2,roughness_guard_candidate_not_smoother,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,tau_ubar,-0.2300000000,-0.1900000000,3,10.921665403545676,2.280478240209338,0.2088031592204784,3,0.05468688852202077,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,tau_dbar,-0.2300000000,-0.1900000000,3,10.921665403545676,2.280478240209338,0.2088031592204784,3,0.05468688852202077,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,tau_sbar,-0.2300000000,-0.1900000000,3,0.6076654913070412,1.251158386038042,2.0589590884071725,0,0.0,retained_v2,roughness_guard_candidate_not_smoother,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,eta,-0.2300000000,-0.1900000000,3,7.513348056201612,1.2643671307949789,0.1682827843642029,3,0.036337775449857244,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,sigma,-0.2300000000,-0.1900000000,3,9.566849195566887,1.92733560403672,0.20145980820203732,3,0.04797433865085606,applied,roughness_guard_passed,False
mode_b_T200p0_muB0p0_xim0p21_window,mode_b,T200.0,muB0.0,zeta,-0.2300000000,-0.1900000000,3,8.175336857057907,1.5268092321874853,0.1867579598104713,3,0.03693326676085724,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,eta_over_s,0.2900000000,0.3300000000,3,1.366326526461069,0.9072587764305409,0.6640131468284068,3,0.0021189304710196046,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,zeta_over_s,0.2900000000,0.3300000000,3,1.4350433299736824,0.931028272764189,0.6487806000821336,3,0.0021084179625559664,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,sigma_over_T,0.2900000000,0.3300000000,3,1.595681876851883,1.0959805437486194,0.6868415062223285,3,0.00272393749677741,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,tau_u,0.2900000000,0.3300000000,3,1.6583651705998608,1.160870792717938,0.7000091495518023,3,0.0029995541365545487,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,tau_d,0.2900000000,0.3300000000,3,1.6583651705998608,1.160870792717938,0.7000091495518023,3,0.0029995541365545487,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,tau_s,0.2900000000,0.3300000000,3,0.3269803391875433,0.212829649562307,0.6508943323354867,3,0.0004880902987574126,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,tau_ubar,0.2900000000,0.3300000000,3,3.0000010283335854,1.8852840627784015,0.6284278055149943,3,0.004325429467108788,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,tau_dbar,0.2900000000,0.3300000000,3,3.0000010283335854,1.8852840627784015,0.6284278055149943,3,0.004325429467108788,applied,roughness_guard_passed,False
mode_b_T200p0_muB450p0_xip0p31_window,mode_b,T200.0,muB450.0,tau_sbar,0.2900000000,0.3300000000,3,0.7320691342700452,0.46695088055126965,0.637850796724099,3,0.0011186761799879183,applied,roughness_guard_passed,False
