window_id,mode_key,observable,channel,exchange_channel,sigma_scope,xi,sigma_peak_ds,sigma_peak_value,simple_peak_ds,simple_peak_invabs,mixed_peak_ds,mixed_peak_invabs,dominant_denominator_branch,denominator_sigma_same_band,max_abs_D_simple_sq,max_abs_D_mixed_sq,max_abs_D_total_sq
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,mode_a,tau_sbar,usbar_to_usbar,s,full_process,-0.02,0.0001,0.4689483287806647,0.0001,133.28469889323674,,,simple_1m4KPi,true,93.51487767309948,0.0,93.51487767309948
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,mode_a,tau_sbar,usbar_to_usbar,t,full_process,-0.02,0.0001,0.4689483287806647,,,0.0001,70214.31358151164,mixed_detM,true,0.0,0.14999783633320318,0.14999783633320318
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,mode_a,tau_sbar,usbar_to_usbar,s,full_process,-0.01,0.0001,0.29679632149282714,0.0001,67.4892234699399,,,simple_1m4KPi,true,47.84938837078721,0.0,47.84938837078721
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,mode_a,tau_sbar,usbar_to_usbar,t,full_process,-0.01,0.0001,0.29679632149282714,,,0.0001,71576.96015193012,mixed_detM,true,0.0,0.18005659186444745,0.18005659186444745
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,mode_a,tau_sbar,usbar_to_usbar,s,full_process,-0.003,0.0001,0.22328040728594967,0.0001,41.522068882837694,,,simple_1m4KPi,true,29.7298029774719,0.0,29.7298029774719
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,mode_a,tau_sbar,usbar_to_usbar,t,full_process,-0.003,0.0001,0.22328040728594967,,,0.0001,72857.7057741927,mixed_detM,true,0.0,0.21123554709265882,0.21123554709265882
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,mode_a,tau_sbar,usbar_to_usbar,s,full_process,-0.02,0.0001,0.4689483287806647,0.0001,133.28469889323674,,,simple_1m4KPi,true,93.51487767309948,0.0,93.51487767309948
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,mode_a,tau_sbar,usbar_to_usbar,t,full_process,-0.02,0.0001,0.4689483287806647,,,0.0001,70214.31358151164,mixed_detM,true,0.0,0.14999783633320318,0.14999783633320318
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,mode_a,tau_sbar,usbar_to_usbar,s,full_process,-0.01,0.0001,0.29679632149282714,0.0001,67.4892234699399,,,simple_1m4KPi,true,47.84938837078721,0.0,47.84938837078721
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,mode_a,tau_sbar,usbar_to_usbar,t,full_process,-0.01,0.0001,0.29679632149282714,,,0.0001,71576.96015193012,mixed_detM,true,0.0,0.18005659186444745,0.18005659186444745
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,mode_a,tau_sbar,usbar_to_usbar,s,full_process,-0.003,0.0001,0.22328040728594967,0.0001,41.522068882837694,,,simple_1m4KPi,true,29.7298029774719,0.0,29.7298029774719
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,mode_a,tau_sbar,usbar_to_usbar,t,full_process,-0.003,0.0001,0.22328040728594967,,,0.0001,72857.7057741927,mixed_detM,true,0.0,0.21123554709265882,0.21123554709265882
