window_id,channel,xi,band,ds_left,ds_right,area_invabs_den_simple,area_invabs_detM,area_abs_D_total_sq,area_sigma,prefactor,omega_bin,omega_sigma_bin,sigma_eff_bin,rate_bin,rate_func
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,1,0.0,0.02,0.11712741579345645,3.5591608696000255e6,24.229450531318285,1.3987861179194059,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,2,0.02,0.05,0.08942120245651744,582245.4848192112,4.055161337311701,0.2368000822325701,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,3,0.05,0.1,0.27503155333599716,1.0351705658764226e6,7.355061933911102,0.434903900137342,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,4,0.1,0.2,0.5318415031076088,1.005682702645531e6,7.459875748438175,0.48346763640018786,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,5,0.2,0.5,1.478506832590129,1.2329972976903955e6,10.012293306221027,0.8933447520703188,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,6,0.5,1.0,1.9012741360451852,702646.028825284,6.596419328372576,0.5452538207402927,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,7,1.0,2.0,3.20246628215286,666618.2224558401,7.046925815738429,0.7332308181906745,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,1,0.0,0.02,0.11436663411913642,9.440964004796313e6,65.84563250856675,3.826275217547581,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,2,0.02,0.05,0.08732980727140194,582107.8025148745,4.157151495833877,0.24476137930974437,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,3,0.05,0.1,0.2686504674114062,1.0062568334630905e6,7.323754254511156,0.43685401127559936,,,,,,
