window_id,channel,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.0001,4.56975634237545,-0.4112227696128825,-0.001437887305187498,4.190511442518326e-5,-7.923673908770427e-6,5.913442560443776,5.498060434045335e8,1.370086401820058,3868.303780254015,3726.7034585832794,214.70812864049117
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.0005,4.57015634237545,-0.4112515402061132,-0.0032154678043524276,4.171240163386756e-5,-1.7718782193308458e-5,5.912326050014098,4.8688343512127763e8,1.3698277173496243,3425.4054212737865,3301.1032370663515,190.2118349758567
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.001,4.57065634237545,-0.4112875054830363,-0.0045478072594580575,4.1471510583903834e-5,-2.5059748209426035e-5,5.910930736457671,4.2591665892665356e8,1.3695044369405571,2996.273858555034,2888.7311580571168,166.4769381341978
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.005,4.57465634237545,-0.4115751358003954,-0.010177238436245494,3.954533471457137e-5,-5.6064009339075266e-5,5.89978616408719,2.1244924349998808e8,1.366922349281326,1493.7267837066915,1444.844470322395,83.37157501244161
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.01,4.57965634237545,-0.41193443613445435,-0.014406983706069371,3.714003874958656e-5,-7.933715387690375e-5,5.8859003784269674,1.3031410386833538e8,1.3637051495001151,915.6006628091928,889.2570984149324,51.39447340368733
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.02,4.5896563423754495,-0.41265221163754795,-0.02041468231762851,3.233770603075145e-5,-0.00011234262717050947,5.858278620061572,7.31711255237552e7,1.3573054601239245,513.3944957331087,502.6724813772368,29.14590225227468
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.05,4.61965634237545,-0.41479886800830434,-0.03246856071250724,1.79970874465286e-5,-0.00017830264289968453,5.77659676318754,3.1137391990096256e7,1.3383805783423515,217.560122027375,218.13141422265448,12.778019753032313
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.1,4.66965634237545,-0.4183543938455927,-0.04636444441274276,-5.683162419329864e-6,-0.00025372294062785627,5.644294509263821,1.5526111060457451e7,1.3077274491070132,107.72577175495273,112.17598924051963,6.719545656826134
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.2,4.76965634237545,-0.42538248676030377,-0.06682745520893807,-5.222171691514018e-5,-0.0003631272560054301,5.393272908219183,7.430054666902311e6,1.2495682163692317,50.828516119459664,56.76796784901671,4.653214582505551
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,0.5,5.06965634237545,-0.4458122130072033,-0.1115576781428843,-0.00018538463013584576,-0.0005931133827032078,4.734990964604922,2.589660884669762e6,1.0970507732232384,16.960044351455743,22.55260539874791,1.7367888296423761
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,1.0,5.56965634237545,-0.4777381251611972,-0.1713235692073732,-0.00038661064025039644,-0.000876543431741257,3.8822063797786064,1.0895665370656701e6,0.8994689836971353,6.6080600719052285,10.86570973331378,0.9732421738012229
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.36,2.0,6.56965634237545,-0.5340220159225366,-0.27898774867011644,-0.0007170561934741909,-0.0013099027916078439,2.754717142251503,448427.49543283484,0.6382408316106417,2.29038071167644,4.939924451793994,0.6097164412493308
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.0001,4.6228056786107,-0.41616869475578744,-0.0014528922958788448,6.37743870308445e-6,-7.984183695677839e-6,5.773722279118588,9.57680907208911e9,1.3381269495466226,67028.03002064716,66657.18335484476,3869.291323402652
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.0005,4.6232056786107,-0.41619735394371005,-0.0032490196059556517,6.1863426316447205e-6,-1.7854075384449702e-5,5.772645725740125,2.8008157085272617e9,1.3378774458436893,19601.80321442533,19499.495049037883,1132.051334860445
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.001,4.6237056786107,-0.41623318017630573,-0.00459525600486807,5.947471311240811e-6,-2.5251062573684555e-5,5.771300335641324,1.4859093237477705e9,1.3375656361199395,10398.570217738348,10348.369814604453,600.879771672612
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.005,4.6277056786107,-0.4165196987156181,-0.010283325118605547,4.037447322407335e-6,-5.6491459598879176e-5,5.760554282402983,3.1176093285961133e8,1.3350751139326331,2180.5275494552257,2176.828803242869,126.56813498784874
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.01,4.6327056786107,-0.4168776100881044,-0.014556991835261775,1.6523299402217812e-6,-7.994105597532153e-5,5.747164493445903,1.564136814264944e8,1.331971875400186,1093.2327913473612,1095.6513982156735,63.81266998350332
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.02,4.6427056786106995,-0.41759260917307106,-0.020626766215747216,-3.1096780040458104e-6,-0.00011319496633619967,5.720527603567456,7.798626668947418e7,1.3257984679387007,544.3164938715565,549.76552429132,32.12898571263794
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.05,4.6727056786107,-0.419730946043146,-0.032803612381470205,-1.7329569772608932e-5,-0.0001796422181286305,5.641744357111378,3.070155460249982e7,1.3075395389221598,213.3905923452884,220.4871898035115,13.025150820253753
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.1,4.7227056786107,-0.4232726365317896,-0.04683761545068128,-4.080942152659623e-5,-0.00025559834959290714,5.514093035784617,1.4926280919555027e7,1.2779548680711994,103.01953268671784,110.38603827391927,6.673999979682811
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.2,4.8227056786107,-0.43027317059418957,-0.06749475420894431,-8.69502046178277e-5,-0.00036572582457910824,5.271744090357063,7.076353729865839e6,1.221787695596753,48.15286995819103,55.19288796229376,4.638032112322396
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,0.5,5.1227056786107,-0.450621093783919,-0.11260405567228021,-0.00021894365325369436,-0.0005969697961682671,4.63522959821523,2.473354179246769e6,1.0742680965345701,16.11107017801169,21.85866534819187,1.7045349203377698
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,1.0,5.6227056786107,-0.4824134565905909,-0.17278344363448148,-0.00041829791264048606,-0.00088141256858327,3.808408685787183,1.0505732739195477e6,0.8826427824161356,6.33609970913715,10.568606970752334,0.9594034931699997
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,2.0,6.6227056786107,-0.5384398734700264,-0.28099896456212303,-0.0007452756344415599,-0.0013151819560950362,2.7109240162598023,437610.0741813141,0.6282880105698793,2.221728484201626,4.833952126616389,0.6041982403203822
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,0.0001,4.675114717994343,-0.4210402712168908,-0.0014676562239291186,-2.8487930783571474e-5,-8.04329837534038e-6,5.640887644626818,1.1412178986617897e9,1.3077373315017369,7946.233533982557,8143.940910736583,476.6657389580213
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,0.0005,4.675514717994343,-0.4210688212092786,-0.0032820323855292078,-2.867744229414728e-5,-1.7986249238666096e-5,5.6398486097034235,8.726758452406347e8,1.3074964501292188,6076.052496748616,6229.111376804384,364.6420469445938
