window_id,mode_key,plot_panel,plot_series,prev_xi,target_xi,next_xi,classification,primary_observable,affected_tau_fields,dominant_branch,upstream_branch_flag,display_mask_eligible,evidence_source
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,T200.0,muB450.0,0.3,0.31,0.32,pole_sensitive_supported,tau_dbar,tau_d;tau_dbar;tau_sbar;tau_u;tau_ubar,simple_1m4KPi,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.25,0.26,0.27,pole_sensitive_supported,tau_ubar,tau_d;tau_dbar;tau_u;tau_ubar,mixed_detM,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,muB0.0,alpha1.1,0.47,0.48,0.49,pole_sensitive_supported,tau_dbar,tau_d;tau_dbar;tau_u;tau_ubar,simple_1m4KPi,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,muB900.0,alpha1.1,0.17,0.18,0.19,pole_sensitive_supported,tau_dbar,tau_dbar;tau_ubar,simple_1m4KPi,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,muB450.0,alpha1.1,0.34,0.35,0.36,pole_sensitive_supported,tau_dbar,tau_d;tau_dbar;tau_u;tau_ubar,simple_1m4KPi,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,muB900.0,alpha1.2,0.48,0.49,0.5,pole_sensitive_supported,tau_dbar,tau_dbar;tau_ubar,simple_1m4KPi,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,muB450.0,alpha1.0,-0.21,-0.2,-0.19,pole_sensitive_supported,tau_dbar,tau_dbar;tau_ubar,simple_1m4KPi,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,T200.0,muB0.0,-0.22,-0.21,-0.2,pole_sensitive_supported,tau_dbar,tau_d;tau_dbar;tau_u;tau_ubar,simple_1m4KPi,False,True,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/mechanism_window_summary.csv
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,T120.0,muB900.0,-0.1,-0.09,-0.08,first_order_protected,tau_u,tau_d;tau_dbar;tau_s;tau_sbar;tau_u;tau_ubar,upstream_equilibrium_branch,True,False,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/tau_jump_window_summary.csv
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,-0.01,0.0,0.01,first_order_protected,tau_u,tau_d;tau_dbar;tau_s;tau_sbar;tau_u;tau_ubar,upstream_equilibrium_branch,True,False,docs/analysis/relaxtime/phase_guided_transport_p128_xi001_analysis/tables/tau_jump_window_summary.csv
