T_MeV,mu_MeV,eB_MeV2,status,reason,omega_fm4,pressure_fm4,baryon_rho0,n_max,nmax_rel_diff
130.000000,0.000000,8000.000000,pass,,-2.1008723470658314e+01,2.1008723470658314e+01,0.0000000000000000e+00,72,1.0748783685457237e-02
130.000000,0.000000,15000.000000,pass,,-2.0991310052475665e+01,2.0991310052475665e+01,0.0000000000000000e+00,38,1.6582643661444279e-02
130.000000,0.000000,25000.000000,pass,,-2.1047513900685772e+01,2.1047513900685772e+01,0.0000000000000000e+00,23,1.8418595519679688e-02
130.000000,0.000000,35000.000000,pass,,-2.0981247096759695e+01,2.0981247096759695e+01,0.0000000000000000e+00,16,2.2778236613703304e-02
130.000000,60.000000,8000.000000,pass,,-2.1027949530675485e+01,2.1027949530675485e+01,8.5158630648415182e-02,72,1.0744558747875561e-02
130.000000,60.000000,15000.000000,pass,,-2.1010793426298822e+01,2.1010793426298822e+01,9.0963921808412312e-02,38,1.6577046935355229e-02
130.000000,60.000000,25000.000000,pass,,-2.1067637390994726e+01,2.1067637390994726e+01,1.0401775840393758e-01,23,1.8415004542443759e-02
130.000000,60.000000,35000.000000,pass,,-2.1002182269467347e+01,2.1002182269467347e+01,1.2102094393061023e-01,16,2.2773972528686560e-02
130.000000,120.000000,8000.000000,pass,,-2.1092491328692322e+01,2.1092491328692322e+01,2.5853464155942352e-01,72,1.0729714898772332e-02
130.000000,120.000000,15000.000000,pass,,-2.1075917580229163e+01,2.1075917580229163e+01,2.6495233884142966e-01,38,1.6557303987306666e-02
130.000000,120.000000,25000.000000,pass,,-2.1134318130218805e+01,2.1134318130218805e+01,2.8141595031901012e-01,23,1.8401940602023395e-02
130.000000,120.000000,35000.000000,pass,,-2.1070893125556914e+01,2.1070893125556914e+01,3.0625033027239273e-01,16,2.2759004082618724e-02
130.000000,180.000000,8000.000000,pass,,-2.1223642389589354e+01,2.1223642389589354e+01,6.2904378391045013e-01,72,1.0697832912696824e-02
130.000000,180.000000,15000.000000,pass,,-2.1207671849217530e+01,2.1207671849217530e+01,6.3395187873470471e-01,38,1.6514520806895035e-02
130.000000,180.000000,25000.000000,pass,,-2.1267856720266135e+01,2.1267856720266135e+01,6.4630212772560436e-01,23,1.8372248909805523e-02
130.000000,180.000000,35000.000000,pass,,-2.1206725947331893e+01,2.1206725947331893e+01,6.6591345250321321e-01,16,2.2726206174755841e-02
130.000000,240.000000,8000.000000,pass,,-2.1458188795716023e+01,2.1458188795716023e+01,1.3163887346543612e+00,72,1.0639247020519986e-02
130.000000,240.000000,15000.000000,pass,,-2.1442702561480836e+01,2.1442702561480836e+01,1.3200066002370445e+00,38,1.6435295168082249e-02
130.000000,240.000000,25000.000000,pass,,-2.1504561679082776e+01,2.1504561679082776e+01,1.3290174261036694e+00,23,1.8315233977332691e-02
130.000000,240.000000,35000.000000,pass,,-2.1445259744669908e+01,2.1445259744669908e+01,1.3423269882561590e+00,16,2.2664405402683368e-02
145.000000,0.000000,8000.000000,pass,,-2.1084363583256966e+01,2.1084363583256966e+01,0.0000000000000000e+00,72,1.0762902078526029e-02
145.000000,0.000000,15000.000000,pass,,-2.1067059602130897e+01,2.1067059602130897e+01,0.0000000000000000e+00,38,1.6615765784313223e-02
145.000000,0.000000,25000.000000,pass,,-2.1123928480025846e+01,2.1123928480025846e+01,0.0000000000000000e+00,23,1.8488572951294569e-02
145.000000,0.000000,35000.000000,pass,,-2.1058001856812947e+01,2.1058001856812947e+01,0.0000000000000000e+00,16,2.2876268606671361e-02
145.000000,60.000000,8000.000000,pass,,-2.1108041678346588e+01,2.1108041678346588e+01,1.0462023885813333e-01,72,1.0759979549473884e-02
145.000000,60.000000,15000.000000,pass,,-2.1090948264413228e+01,2.1090948264413228e+01,1.0967096310947895e-01,38,1.6612985340278993e-02
145.000000,60.000000,25000.000000,pass,,-2.1148384790470331e+01,2.1148384790470331e+01,1.2126119070796340e-01,23,1.8490461365020389e-02
145.000000,60.000000,35000.000000,pass,,-2.1083145828344851e+01,2.1083145828344851e+01,1.3674023932102503e-01,16,2.2879726600385390e-02
145.000000,120.000000,8000.000000,pass,,-2.1186008596899164e+01,2.1186008596899164e+01,3.0044329268643971e-01,72,1.0749442065363846e-02
145.000000,120.000000,15000.000000,pass,,-2.1169406966044914e+01,2.1169406966044914e+01,3.0646183073922717e-01,38,1.6602344858418997e-02
145.000000,120.000000,25000.000000,pass,,-2.1228268834886453e+01,2.1228268834886453e+01,3.2166950162515340e-01,23,1.8494720676063975e-02
145.000000,120.000000,35000.000000,pass,,-2.1164755379866968e+01,2.1164755379866968e+01,3.4444038368160390e-01,16,2.2889029970801153e-02
145.000000,180.000000,8000.000000,pass,,-2.1339552522347535e+01,2.1339552522347535e+01,6.9514463313397645e-01,72,1.0726218045958323e-02
145.000000,180.000000,15000.000000,pass,,-2.1323479787658350e+01,2.1323479787658350e+01,7.0000893882652615e-01,38,1.6577210169937250e-02
145.000000,180.000000,25000.000000,pass,,-2.1384088956542058e+01,2.1384088956542058e+01,7.1228268433646758e-01,23,1.8497269557817650e-02
