"File","Line","Include","Resolved"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_adaptive_nodes.jl","11","../../../src/relaxtime/OneLoopIntegralsAniso.jl","D:\Desktop\src\relaxtime\OneLoopIntegralsAniso.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_average_scattering_rate_N60_w0cdf_pchip.jl","8","tests/perf/relaxtime/benchmark_average_scattering_rate_N60_w0cdf_pchip.jl","D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\tests\perf\relaxtime\benchmark_average_scattering_rate_N60_w0cdf_pchip.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_bulk_viscosity_derivatives.jl","19","../../../src/models/Models.jl","D:\Desktop\src\models\Models.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_struct_vs_namedtuple.jl","35","../../../src/constants/Constants_PNJL.jl","D:\Desktop\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_struct_vs_namedtuple.jl","36","../../../src/relaxtime/EffectiveCouplings.jl","D:\Desktop\src\relaxtime\EffectiveCouplings.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_struct_vs_namedtuple.jl","37","../../../src/relaxtime/RelaxationTime.jl","D:\Desktop\src\relaxtime\RelaxationTime.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_struct_vs_namedtuple.jl","38","../../../src/relaxtime/AverageScatteringRate.jl","D:\Desktop\src\relaxtime\AverageScatteringRate.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\benchmark_with_roots.jl","8","../../../src/relaxtime/OneLoopIntegralsAniso.jl","D:\Desktop\src\relaxtime\OneLoopIntegralsAniso.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_average_scattering_rate_performance.jl","15","../../../src/relaxtime/AverageScatteringRate.jl","D:\Desktop\src\relaxtime\AverageScatteringRate.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_cross_section_performance.jl","22","../../../src/constants/Constants_PNJL.jl","D:\Desktop\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_cross_section_performance.jl","23","../../../src/relaxtime/TotalCrossSection.jl","D:\Desktop\src\relaxtime\TotalCrossSection.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_cross_section_performance.jl","24","../../../src/relaxtime/ScatteringAmplitude.jl","D:\Desktop\src\relaxtime\ScatteringAmplitude.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_cross_section_performance.jl","436","../../../src/relaxtime/EffectiveCouplings.jl","D:\Desktop\src\relaxtime\EffectiveCouplings.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_cross_section_performance.jl","437","../../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_cross_section_performance.jl","448","../../../src/integration/GaussLegendre.jl","D:\Desktop\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_propagator_performance.jl","25","../../../src/constants/Constants_PNJL.jl","D:\Desktop\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_propagator_performance.jl","26","../../../src/integration/GaussLegendre.jl","D:\Desktop\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_propagator_performance.jl","27","../../../src/relaxtime/EffectiveCouplings.jl","D:\Desktop\src\relaxtime\EffectiveCouplings.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_propagator_performance.jl","28","../../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_propagator_performance.jl","29","../../../src/relaxtime/TotalPropagator.jl","D:\Desktop\src\relaxtime\TotalPropagator.jl"
"D:\Desktop\Julia_RelaxTime\benchmark\relaxtime\test_total_propagator_performance.jl","30","../../../src/relaxtime/PolarizationAniso.jl","D:\Desktop\src\relaxtime\PolarizationAniso.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\analyze_ss_scattering_issue.jl","3","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\analyze_ss_scattering_issue.jl","4","../../src/relaxtime/ScatteringAmplitude.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\ScatteringAmplitude.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_debug.jl","11","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_debug.jl","12","../../src/integration/GaussLegendre.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_debug.jl","13","../../src/relaxtime/EffectiveCouplings.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\EffectiveCouplings.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_debug.jl","14","../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_debug.jl","15","../../src/relaxtime/TotalPropagator.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\TotalPropagator.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_first_call_analysis.jl","14","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_first_call_analysis.jl","15","../../src/integration/GaussLegendre.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_first_call_analysis.jl","16","../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_first_call_analysis.jl","17","../../src/relaxtime/PolarizationAniso.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\PolarizationAniso.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_first_call_analysis.jl","18","../../src/relaxtime/PolarizationCache.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\PolarizationCache.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_overhead_analysis.jl","11","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_overhead_analysis.jl","12","../../src/integration/GaussLegendre.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_overhead_analysis.jl","13","../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_overhead_analysis.jl","14","../../src/relaxtime/PolarizationAniso.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\PolarizationAniso.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_overhead_analysis.jl","15","../../src/relaxtime/TotalPropagator.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\TotalPropagator.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_simple.jl","8","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_simple.jl","9","../../src/integration/GaussLegendre.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_simple.jl","10","../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_simple.jl","11","../../src/relaxtime/PolarizationCache.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\PolarizationCache.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_size_impact.jl","15","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_size_impact.jl","16","../../src/integration/GaussLegendre.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_size_impact.jl","17","../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_size_impact.jl","18","../../src/relaxtime/PolarizationAniso.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\PolarizationAniso.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\cache\test_cache_size_impact.jl","19","../../src/relaxtime/PolarizationCache.jl","D:\Desktop\Julia_RelaxTime\scripts\analysis\src\relaxtime\PolarizationCache.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\deep_trace_warning.jl","3","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\deep_trace_warning.jl","4","../../src/relaxtime/ScatteringAmplitude.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\ScatteringAmplitude.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\test_const_nodes.jl","5","../../src/integration/GaussLegendre.jl","D:\Desktop\Julia_RelaxTime\scripts\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\test_sequential_calls.jl","3","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\test_sequential_calls.jl","4","../../src/relaxtime/ScatteringAmplitude.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\ScatteringAmplitude.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\test_ss_recommended_params.jl","3","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\test_ss_recommended_params.jl","4","../../src/relaxtime/ScatteringAmplitude.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\ScatteringAmplitude.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\trace_ss_warning.jl","3","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\_archived\trace_ss_warning.jl","4","../../src/relaxtime/ScatteringAmplitude.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\ScatteringAmplitude.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\cache\test_cache_hit_rate.jl","17","../../src/constants/Constants_PNJL.jl","D:\Desktop\Julia_RelaxTime\scripts\src\constants\Constants_PNJL.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\cache\test_cache_hit_rate.jl","18","../../src/integration/GaussLegendre.jl","D:\Desktop\Julia_RelaxTime\scripts\src\integration\GaussLegendre.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\cache\test_cache_hit_rate.jl","19","../../src/relaxtime/EffectiveCouplings.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\EffectiveCouplings.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\cache\test_cache_hit_rate.jl","20","../../src/relaxtime/OneLoopIntegrals.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\OneLoopIntegrals.jl"
"D:\Desktop\Julia_RelaxTime\scripts\analysis\cache\test_cache_hit_rate.jl","21","../../src/relaxtime/TotalPropagator.jl","D:\Desktop\Julia_RelaxTime\scripts\src\relaxtime\TotalPropagator.jl"
